Time,S,T,T1,P,V,I
07:59,127,"22,9","27,9","594,8559676","600,4061154","0,99075601"
08:05,111,"23,5","28,5","515,2386441","580,9993116","0,886814552"
08:10,125,"24,2","29,2","583,6960721","598,0325588","0,976027247"
08:15,126,"24,8","29,8","588,9791058","595,2411033","0,989479897"
08:19,142,26,31,"670,9034692","581,3957994","1,153953073"
08:25,187,"26,4","31,4","900,059396","610,2705189","1,474853148"
08:30,178,"26,6","31,6","851,939232","578,3618337","1,473021182"
08:34,188,"26,5","31,5","904,6815376","583,2808399","1,551022211"
08:39,196,"26,2","31,2","946,0791712","614,2155074","1,540304925"
08:45,209,"26,3","31,3","1015,819773","593,1428177","1,712605704"
08:50,216,"26,8","31,8","1052,923579","608,8225118","1,729442586"
08:54,238,"27,2","32,2","1167,50909","599,1002893","1,9487707"
09:00,222,"27,6","32,6","1084,204921","599,7941414","1,807628395"
09:05,268,"27,6","32,6","1324,284997","601,2357561","2,20260519"
09:09,286,"28,8","33,8","1411,38556","625,8143316","2,255278424"
09:14,303,"29,8","34,8","1504,731046","597,502978","2,518365769"
09:20,318,"30,3","35,3","1580,401222","593,9234622","2,660950985"
09:25,334,"30,6","35,6","1665,40793","623,4067024","2,671462985"
09:29,352,"31,7","36,7","1763,88899","604,6099595","2,917399825"
09:35,370,"32,3","37,3","1858,495833","614,0769831","3,026486719"
09:40,390,"32,8","37,8","1951,784508","627,9138469","3,10836354"
09:45,406,"33,5","38,5","2043,894923","619,845224","3,29742788"
09:49,426,"34,4","39,4","2151,612261","605,6761029","3,55241399"
09:55,446,"34,5","39,5","2257,207116","606,2004826","3,723532364"
10:00,456,35,40,"2308,358726","603,7287958","3,823502774"
10:04,473,"35,6","40,6","2385,700096","625,4082488","3,814628446"
10:09,389,"36,4","41,4","1938,697626","580,9501099","3,337115517"
10:15,464,"37,5","42,5","2332,838589","585,2914231","3,985772722"
10:20,448,"36,9","41,9","2261,46583","597,9134272","3,782262996"
10:24,446,"36,3","41,3","2240,197544","586,4607221","3,819859471"
10:30,279,"37,4","42,4","1369,822037","596,8459508","2,295101501"
10:35,550,"37,3","42,3","2801,041294","608,9777694","4,599578892"
10:39,592,"38,2","43,2","3000,888437","625,5589014","4,797131701"
10:44,644,"39,3","44,3","3283,891088","597,2555133","5,49830184"
10:50,430,"40,7","45,7","2159,369286","597,9625489","3,611211588"
10:55,591,"39,7","44,7","2990,626026","622,1466743","4,806946897"
10:59,343,40,45,"1700,307404","579,6934083","2,933114953"
11:05,616,"38,3","43,3","3127,998755","625,145275","5,003634963"
11:10,300,"37,8","42,8","1475,623984","575,4966957","2,564087675"
11:15,517,"37,4","42,4","2613,217359","589,3304417","4,434214109"
11:19,586,"38,1","43,1","2966,125725","627,1568299","4,729480066"
11:25,327,"38,5","43,5","1621,268842","596,1763905","2,719444896"
11:30,687,38,43,"3518,7066","610,8910836","5,759957371"
11:34,704,"39,1","44,1","3583,727654","589,9870675","6,074247812"
11:39,737,"41,2","46,2","3759,940035","613,8998985","6,124679356"
11:45,794,"43,6","48,6","4044,513654","589,4397003","6,861624101"
11:50,768,"44,8","49,8","3902,029289","584,2322245","6,678901173"
11:54,676,"46,3","51,3","3427,857786","587,1427798","5,838201377"
12:00,818,"44,1","49,1","4167,020393","605,7566697","6,879033449"
12:05,612,"45,4","50,4","3084,406447","607,3758678","5,078249912"
12:09,841,"46,2","51,2","4265,263407","605,5382942","7,043755033"
12:14,897,"47,5","52,5","4544,998781","578,1791428","7,860883322"
12:20,885,"49,3","54,3","4473,185455","573,8370193","7,795219382"
12:25,886,"49,4","54,4","4473,29747","571,3210384","7,829743995"
12:29,884,"49,5","54,5","4468,761767","574,4665539","7,778976403"
12:35,893,"50,2","55,2","4507,615758","571,5585624","7,886533514"
12:40,902,"50,6","55,6","4554,522811","573,1717737","7,946174288"
12:45,896,"51,2","56,2","4520,091598","571,5185245","7,908915293"
12:49,1008,"52,1","57,1","5080,64845","580,4226806","8,753359611"
12:55,1022,"52,7","57,7","5144,6643","580,1475003","8,867855669"
13:00,361,"51,2","56,2","1769,760838","554,9964809","3,188778487"
13:04,594,"48,7","53,7","2979,864421","598,4773293","4,979076525"
13:09,349,"44,6","49,6","1718,598821","564,2324213","3,04590583"
13:15,1072,"43,8","48,8","5460,847305","598,335961","9,126724217"
13:20,882,"48,2","53,2","4462,996496","575,4705182","7,755386862"
13:24,1036,"51,5","56,5","5224,353116","580,2032791","9,004349516"
13:30,898,"50,8","55,8","4533,625489","573,0672159","7,911158348"
13:35,1045,"51,4","56,4","5269,677968","579,8893754","9,087384926"
13:39,852,"54,5","59,5","4269,119782","558,9182557","7,638182755"
13:44,991,55,60,"4973,979897","573,4596232","8,673635765"
13:50,993,"55,4","60,4","4980,576769","572,7858376","8,695356"
13:55,1022,"52,9","57,9","5144,118943","576,4110896","8,92439274"
13:59,747,"52,4","57,4","3754,088274","565,006825","6,644323763"
14:05,539,51,56,"2682,076071","593,7269041","4,517356469"
14:10,1221,"51,3","56,3","6107,746881","563,0686162","10,84725148"
14:15,1203,"54,9","59,9","5989,923434","556,0693163","10,77190066"
14:19,397,"55,1","60,1","1949,368288","556,3774322","3,503679652"
14:25,304,"48,6","53,6","1473,904888","582,9031086","2,528558977"
14:30,314,"43,6","48,6","1539,008878","591,9271576","2,599997075"
14:34,418,42,47,"2092,715686","595,769234","3,512627989"
14:39,1004,"45,7","50,7","5104,205428","588,1619244","8,678231651"
14:45,598,"49,6","54,6","2999,561911","595,0920241","5,040500947"
14:50,1166,"47,5","52,5","5883,932429","598,5642649","9,830076357"
14:54,553,"46,8","51,8","2767,781592","604,8548446","4,575943496"
15:00,350,"42,9","47,9","1724,760402","565,5110024","3,049914846"
15:05,419,"41,1","46,1","2092,641503","577,996673","3,62050787"
15:09,398,"40,6","45,6","1975,700194","612,2545828","3,226925938"
15:14,390,"42,7","47,7","1937,764561","600,8068334","3,225270508"
15:20,1103,"43,1","48,1","5619,527361","602,3743072","9,328962564"
15:25,1086,"45,1","50,1","5520,996336","596,2831379","9,25901805"
15:29,1030,"48,1","53,1","5219,500335","590,8732887","8,833535777"
15:35,300,48,53,"1453,974386","547,6416003","2,654974322"
15:40,767,"46,6","51,6","3887,920509","579,8549957","6,704987518"
15:45,956,50,55,"4831,745787","575,9919229","8,388565178"
15:49,939,"51,9","56,9","4732,73968","570,9643359","8,289028548"
15:55,591,"49,4","54,4","2961,757717","596,6762956","4,963759645"
16:00,991,"49,2","54,2","5017,736323","584,9591454","8,577926104"
16:04,555,"50,7","55,7","2770,590464","592,5932854","4,675365942"
16:09,648,"48,8","53,8","3271,328185","579,1053413","5,648934576"
16:15,900,"49,7","54,7","4545,194439","572,2759905","7,942311953"
16:20,832,"50,6","55,6","4191,649434","596,1480762","7,031221943"
16:24,802,"52,1","57,1","4039,289324","588,2837742","6,866225963"
16:30,316,49,54,"1538,870848","579,7194632","2,654509543"
16:35,753,"48,4","53,4","3799,426603","571,0175171","6,653782921"
16:39,810,"49,4","54,4","4095,498934","594,7003609","6,886659574"
16:44,803,"48,7","53,7","4065,442644","595,1474546","6,830983839"
16:50,810,"49,9","54,9","4086,685673","596,6645566","6,849218086"
16:55,586,"50,6","55,6","2931,462532","593,5734947","4,938668183"
16:59,837,"50,7","55,7","4220,412864","594,1764925","7,102961692"
17:05,825,"51,9","56,9","4152,567903","591,2371883","7,023522852"
17:10,767,"52,6","57,6","3864,07386","582,112638","6,638017468"
17:15,709,"51,6","56,6","3570,819124","586,3591978","6,089815147"
17:19,369,"49,6","54,6","1818,230222","574,6643606","3,1639864"
17:25,721,"46,2","51,2","3661,522585","589,2059832","6,214333679"
17:30,655,"45,4","50,4","3306,87033","608,4820341","5,434622791"
17:34,600,"45,5","50,5","3021,089406","607,1496874","4,975855986"
17:39,600,"45,7","50,7","3020,550739","606,5836871","4,979610898"
17:45,578,"46,7","51,7","2916,223634","582,0662284","5,010123405"
17:50,541,47,52,"2704,559332","564,9841562","4,786964913"
17:54,459,"46,9","51,9","2295,90157","581,725824","3,946707324"
18:00,533,"44,1","49,1","2681,074602","577,0100177","4,646495762"
18:05,478,"43,5","48,5","2404,917891","589,7227839","4,078048122"
18:09,505,"43,5","48,5","2544,998596","598,32844","4,253514333"
18:14,448,44,49,"2245,919056","585,68469","3,834689713"
18:20,474,"43,4","48,4","2384,072176","588,970495","4,047863512"
18:25,307,"42,8","47,8","1509,336818","576,3849418","2,618626388"
18:29,191,"40,5","45,5","906,7609999","551,4622927","1,644284681"
18:35,131,"37,6","42,6","605,9827093","544,9475456","1,112001906"
18:40,382,37,42,"1901,405432","618,0206261","3,076605136"
18:45,375,"38,1","43,1","1868,99628","609,8777816","3,064542334"
18:49,357,"38,3","43,3","1777,714122","586,2222521","3,032491715"
18:55,336,"38,5","43,5","1668,913806","589,3650124","2,831715101"
19:00,317,"38,3","43,3","1562,605867","574,7697177","2,718664221"
19:04,105,"37,2","42,2","477,9298476","549,9322045","0,869070485"
19:09,232,"35,4","40,4","1123,088533","569,3407421","1,972612268"
19:15,108,"34,4","39,4","493,201494","543,8170661","0,90692537"
19:20,244,34,39,"1191,157135","582,426853","2,045161772"
19:24,204,"34,6","39,6","977,9622465","599,7634966","1,630579807"
19:30,129,"34,2","39,2","599,9793483","561,6701589","1,068205848"
19:35,146,"34,1","39,1","685,7336035","576,333176","1,189821499"
19:39,148,"33,4","38,4","695,995115","563,3109846","1,235543304"
19:44,53,"32,6","37,6","226,590159","538,4606571","0,420810984"
19:50,49,"31,3","36,3","208,9391605","524,5899321","0,398290451"
19:55,50,"30,6","35,6","213,648376","521,2322843","0,409890911"
19:59,42,"30,1","35,1","176,5920998","521,4017893","0,338687176"
08:03,84,"23,7","28,7","379,6740201","577,8733403","0,657019443"
08:09,76,"23,8","28,8","340,9422346","558,6064469","0,610344253"
08:14,69,"23,8","28,8","305,2077043","540,9760692","0,564179678"
08:18,72,"23,8","28,8","321,2295302","567,2092271","0,5663334"
08:24,86,"23,9","28,9","390,1518384","565,019072","0,690510919"
08:29,153,"24,4","29,4","726,722047","605,0502273","1,201093751"
08:33,169,"24,8","29,8","810,6356542","594,1535457","1,364353811"
08:38,180,"25,2","30,2","866,4738946","591,1133961","1,465833629"
08:44,196,"25,9","30,9","947,1984471","613,1980464","1,544686016"
08:49,212,"26,2","31,2","1024,736265","580,8710345","1,764137312"
08:53,224,"27,1","32,1","1095,143915","601,7434957","1,819951396"
08:59,241,"27,5","32,5","1183,908563","606,6889759","1,951425871"
09:04,255,"28,7","33,7","1253,361065","615,9538897","2,03482937"
09:09,267,"29,4","34,4","1316,815451","596,2394649","2,208534538"
09:13,289,"29,7","34,7","1434,258759","606,2236151","2,365890611"
09:19,304,"30,5","35,5","1500,226939","627,0636174","2,392463694"
09:24,319,"31,5","36,5","1588,738528","614,2438058","2,586494993"
09:28,336,"32,1","37,1","1678,44229","612,8118844","2,738919287"
09:33,352,"32,4","37,4","1762,668658","602,5250774","2,925469369"
09:39,352,"32,7","37,7","1757,404357","593,283644","2,962165526"
09:44,386,"33,5","38,5","1930,155538","588,9661226","3,277192803"
09:48,399,"34,5","39,5","1996,071832","624,6954814","3,195271763"
09:54,425,35,40,"2145,097375","604,0815198","3,551006452"
09:59,437,"35,7","40,7","2205,98276","613,3328494","3,59671386"
10:03,447,"36,7","41,7","2256,82074","598,7015302","3,769525592"
10:08,409,"37,2","42,2","2046,907815","616,7731906","3,318736686"
10:14,482,"37,6","42,6","2434,028071","591,6059109","4,114272738"
10:19,494,"38,3","43,3","2490,081479","586,1745531","4,248020432"
10:23,480,"38,2","43,2","2421,347443","589,4746115","4,107636523"
10:29,540,"38,9","43,9","2743,888995","604,5190398","4,538962075"
10:34,545,"39,2","44,2","2769,365297","604,0299191","4,584814774"
10:39,573,"39,7","44,7","2896,080777","583,699331","4,961596876"
10:43,594,"40,4","45,4","3014,584126","589,8730695","5,110564089"
10:49,582,"40,5","45,5","2937,814686","621,3624962","4,728020605"
10:54,611,"41,7","46,7","3106,603054","595,4889393","5,216894638"
10:58,625,"42,4","47,4","3163,908993","614,3359063","5,150128717"
11:03,594,"42,4","47,4","3002,119977","613,6762213","4,892025914"
11:09,598,"41,9","46,9","3017,171939","618,2836246","4,879915656"
11:14,678,"41,2","46,2","3459,757059","601,9660309","5,74742906"
11:18,693,"42,4","47,4","3516,696243","615,8567558","5,710250329"
11:24,711,"44,1","49,1","3610,671381","608,1154705","5,937476608"
11:29,722,44,49,"3676,959123","595,8999399","6,170430431"
11:33,730,"44,8","49,8","3698,863652","610,117626","6,062541869"
11:38,747,"45,8","50,8","3785,62686","579,3637933","6,53411018"
11:44,766,"46,4","51,4","3883,022669","579,822323","6,696918202"
11:49,777,47,52,"3934,449862","577,3074908","6,815172027"
11:53,789,"47,1","52,1","4006,998602","593,7267939","6,748892998"
11:59,798,"47,1","52,1","4042,584179","577,9747275","6,994396099"
12:04,811,"46,8","51,8","4112,083559","602,4630734","6,825453277"
12:09,818,"47,6","52,6","4142,805666","600,9263141","6,894032711"
12:13,831,"47,6","52,6","4211,090296","599,9019944","7,019630431"
12:19,839,"48,5","53,5","4240,835631","600,5801489","7,061231776"
12:24,850,"48,8","53,8","4291,927648","571,2302581","7,513480925"
12:28,858,"49,4","54,4","4332,000489","598,3980597","7,239329104"
12:33,868,"48,6","53,6","4387,59661","573,378698","7,65217931"
12:39,881,"49,3","54,3","4460,474014","579,217077","7,700867587"
12:44,885,"51,2","56,2","4468,576529","574,5735602","7,777205285"
12:48,892,"52,7","57,7","4487,311661","566,2217323","7,925007828"
12:54,898,"52,6","57,6","4522,276578","569,1725718","7,945352258"
12:59,911,"52,4","57,4","4594,337915","575,6800589","7,980714017"
13:03,901,"52,8","57,8","4530,310071","565,1547682","8,016052108"
13:08,907,"53,5","58,5","4565,981225","571,6456682","7,987432564"
13:14,924,53,58,"4654,447401","572,6629532","8,127725698"
13:19,926,"53,5","58,5","4661,181325","571,8358937","8,151256988"
13:23,928,"54,9","59,9","4661,56387","569,2352595","8,189169227"
13:29,953,"53,3","58,3","4798,304002","574,1990044","8,356517454"
13:34,943,"53,6","58,6","4739,578038","566,1878387","8,371034688"
13:39,946,54,59,"4758,518511","573,406802","8,298678171"
13:43,957,"54,2","59,2","4809,36307","568,4443339","8,460569985"
13:49,970,"52,5","57,5","4889,074242","576,992587","8,473374446"
13:54,972,"53,8","58,8","4886,718241","569,1659824","8,585752472"
13:58,975,"56,2","61,2","4885,650058","569,961207","8,571899276"
14:03,996,"57,1","62,1","4981,19047","569,5319266","8,746112794"
14:09,977,"57,3","62,3","4885,985108","563,0983118","8,676966358"
14:14,958,"57,4","62,4","4788,123184","559,1982783","8,562478407"
14:18,967,"56,8","61,8","4841,455902","568,2068188","8,520587473"
14:24,975,"56,8","61,8","4880,844929","568,7500376","8,581704802"
14:29,976,57,62,"4883,315464","563,5781305","8,664842014"
14:33,1000,"56,3","61,3","5007,418865","571,4213141","8,763094308"
14:38,1001,"54,4","59,4","5028,336725","571,8453925","8,793175203"
14:44,973,"55,4","60,4","4882,088843","571,4334705","8,543582227"
14:49,236,"55,1","60,1","1120,585505","539,5856181","2,076751987"
14:53,960,"50,7","55,7","4851,658329","579,7919128","8,367930325"
14:59,966,53,58,"4865,460379","575,7214629","8,451066519"
15:04,945,"52,9","57,9","4760,998324","574,404216","8,288585271"
15:09,322,"53,6","58,6","1565,701901","557,989707","2,805969145"
15:13,183,"48,5","53,5","860,0880633","542,2930061","1,58602094"
15:19,234,"43,7","48,7","1125,198148","555,1952806","2,026670951"
15:24,378,"44,2","49,2","1869,404628","598,355612","3,124236809"
15:28,641,"49,3","54,3","3223,172024","596,6127597","5,402452381"
15:33,156,"46,1","51,1","722,9676832","529,9884516","1,364119692"
15:39,171,41,46,"804,6627505","574,3759513","1,400933916"
15:44,224,"39,6","44,6","1075,753175","591,7275958","1,817987167"
15:48,211,"38,5","43,5","1007,2308","595,2482672","1,692118828"
15:54,241,"37,7","42,7","1170,450511","572,0465485","2,046075646"
15:59,293,"37,4","42,4","1441,828585","600,957365","2,399219427"
16:03,889,"42,4","47,4","4525,32546","586,0687194","7,721492907"
16:08,878,"47,2","52,2","4446,755803","576,8090588","7,709233646"
16:14,856,"50,2","55,2","4316,069788","568,962991","7,585853309"
16:19,832,"52,5","57,5","4179,873043","562,9482593","7,424968412"
16:23,869,"53,5","58,5","4367,353841","564,7733955","7,732931252"
16:29,846,"54,6","59,6","4241,974883","560,5567979","7,567430987"
16:34,436,"54,1","59,1","2150,647418","554,3126349","3,879845565"
16:39,763,"52,7","57,7","3844,774905","577,6545704","6,655837419"
16:43,149,"45,6","50,6","689,9551856","533,9610591","1,292145137"
16:49,322,"41,6","46,6","1589,657208","588,4784277","2,701300733"
16:54,156,"39,4","44,4","732,7278989","563,5371505","1,300229982"
16:58,160,"38,1","43,1","753,7821307","558,6540867","1,349282407"
17:03,752,"37,8","42,8","3842,421218","627,0280297","6,127989556"
17:09,700,"42,9","47,9","3545,842893","580,0385475","6,113115945"
17:14,695,"46,1","51,1","3508,414767","608,3485784","5,767112626"
17:18,663,"47,8","52,8","3340,351251","601,9558296","5,549163389"
17:24,646,49,54,"3247,145203","598,9826862","5,421100272"
17:29,173,"46,7","51,7","810,3603803","539,2742033","1,502687084"
17:33,121,"42,6","47,6","553,7807994","540,3551672","1,02484594"
17:38,103,"39,3","44,3","466,7080386","544,7395378","0,856754478"
17:44,550,"37,1","42,1","2801,583466","609,6388897","4,595480231"
17:49,555,"40,2","45,2","2803,685477","583,8443529","4,802111151"
17:53,532,"42,7","47,7","2684,791574","584,1211097","4,596292668"
17:59,519,44,49,"2609,538791","577,6666786","4,517378079"
18:04,508,"44,3","49,3","2555,54584","600,1498104","4,258179868"
18:09,501,"44,7","49,7","2508,393782","605,6624732","4,141570417"
18:13,476,45,50,"2389,711783","583,8783578","4,092824731"
18:19,460,"44,3","49,3","2308,292718","589,7821865","3,913805419"
18:24,441,"44,6","49,6","2199,792289","571,9946296","3,845826823"
18:28,404,"44,6","49,6","2010,012087","594,0004779","3,38385601"
18:33,266,"42,4","47,4","1292,689364","587,1750016","2,201540189"
18:39,161,"41,1","46,1","756,6519327","560,0171714","1,351122736"
18:44,330,"39,4","44,4","1636,128321","589,8903349","2,773614389"
18:48,324,"39,1","44,1","1603,040251","598,061878","2,680391962"
18:54,274,"39,7","44,7","1338,744952","593,8899978","2,254196833"
18:59,281,"39,6","44,6","1378,884996","584,6409837","2,358515797"
19:03,270,"39,3","44,3","1317,150515","596,1947674","2,209262119"
19:08,251,"39,4","44,4","1217,532747","594,2270152","2,048935366"
19:14,204,38,43,"978,3067814","564,4321315","1,733258486"
