Time,S,T,T1,P,V,I
07:59,127,"22,9","27,9","603,976341325451","610,878408909534","0,988701405249526"
08:05,111,"23,5","28,5","520,691688646717","573,896751297128","0,907291577221589"
08:10,125,"24,2","29,2","593,246359271185","582,530256020118","1,01839578827078"
08:15,126,"24,8","29,8","597,599879104801","607,009706106738","0,984498061715866"
08:19,142,26,31,"678,571754709313","611,724982765494","1,10927585733317"
08:25,187,"26,4","31,4","916,463974757819","613,223176108286","1,49450316045456"
08:30,178,"26,6","31,6","869,389809991978","603,366491421339","1,44089839650189"
08:34,188,"26,5","31,5","921,628417641167","613,368691612737","1,50256840664286"
08:39,196,"26,2","31,2","964,388271739398","606,588261392311","1,58985646956936"
08:45,209,"26,3","31,3","1026,33176095925","630,933111112683","1,62668869787046"
08:50,216,"26,8","31,8","1069,16656675919","619,510746832765","1,72582408331943"
08:54,238,"27,2","32,2","1186,59658755845","617,881930728518","1,92042610173013"
09:00,222,"27,6","32,6","1094,52367706674","592,585600562679","1,84703049825621"
09:05,268,"27,6","32,6","1345,12222614081","627,029737710549","2,14522875908917"
09:09,286,"28,8","33,8","1439,40876030916","609,678784378285","2,36092971773159"
09:14,303,"29,8","34,8","1528,40327473855","607,797433579255","2,51465898060468"
09:20,318,"30,3","35,3","1609,22427524246","628,103493031942","2,56203681892376"
09:25,334,"30,6","35,6","1691,18924823158","605,837039464027","2,79149199878526"
09:29,352,"31,7","36,7","1791,6865915869","623,59221362568","2,87317024240842"
09:35,370,"32,3","37,3","1888,04605162743","620,528617382643","3,0426413846812"
09:40,390,"32,8","37,8","1985,4637279614","635,898687613921","3,12229568425663"
09:45,406,"33,5","38,5","2079,49560607327","617,537962970837","3,36739719784883"
09:49,426,"34,4","39,4","2171,02134510417","637,549784493463","3,40525775070109"
09:55,446,"34,5","39,5","2276,69950063411","639,167783619004","3,56197474119129"
10:00,456,35,40,"2338,84006969196","606,291373560787","3,85761726404882"
10:04,473,"35,6","40,6","2421,46905674339","636,507416793197","3,80430611310556"
10:09,389,"36,4","41,4","1982,74931756996","613,970563647075","3,22938823938421"
10:15,464,"37,5","42,5","2379,1352110394","623,623151133552","3,81502066867607"
10:20,448,"36,9","41,9","2292,11578505979","601,718657276535","3,80928155931583"
10:24,446,"36,3","41,3","2283,67447827753","604,058908905966","3,78054928850164"
10:30,279,"37,4","42,4","1387,20014121581","582,32646156085","2,38216916589639"
10:35,550,"37,3","42,3","2823,32730867795","638,164024384866","4,42414050431532"
10:39,592,"38,2","43,2","3047,32363775804","635,972727274462","4,79159483900782"
10:44,644,"39,3","44,3","3334,68216569833","606,839820730112","5,49516042254157"
10:50,430,"40,7","45,7","2183,74305840727","588,205112950447","3,7125536829382"
10:55,591,"39,7","44,7","3043,83274358659","629,164397949981","4,83789730236545"
10:59,343,40,45,"1729,7558182969","597,165752074084","2,89660921157835"
11:05,616,"38,3","43,3","3188,54767846873","607,944959259315","5,24479663809282"
11:10,300,"37,8","42,8","1504,07105814917","603,078226616076","2,49398998632174"
11:15,517,"37,4","42,4","2658,37764523279","630,555811868538","4,21592759149292"
11:19,586,"38,1","43,1","3014,83817315622","636,426332687618","4,73713612764042"
11:25,327,"38,5","43,5","1636,52993243632","581,255867220758","2,81550694750196"
11:30,687,38,43,"3573,25766100129","622,69944620329","5,73833441283444"
11:34,704,"39,1","44,1","3652,47231803686","628,783077761189","5,80879550868585"
11:39,737,"41,2","46,2","3824,46954246061","609,974311223297","6,26988624289878"
11:45,794,"43,6","48,6","4101,85492150149","621,224613308211","6,60285319291819"
11:50,768,"44,8","49,8","3963,98052421729","616,062776826267","6,43437758833327"
11:54,676,"46,3","51,3","3475,7797194067","590,266245588005","5,88849480278894"
12:00,818,"44,1","49,1","4221,37044890596","592,690442272667","7,12238657454833"
12:05,612,"45,4","50,4","3146,83931463175","606,395975514339","5,18941325750493"
12:09,841,"46,2","51,2","4341,4234546501","595,702688606758","7,28790307259466"
12:14,897,"47,5","52,5","4626,67836696885","601,072597038762","7,69737031726716"
12:20,885,"49,3","54,3","4553,92273545141","595,409429500166","7,64838867142957"
12:25,886,"49,4","54,4","4558,40024096358","595,735268591177","7,6517212951711"
12:29,884,"49,5","54,5","4529,10614765398","609,181988313808","7,43473417556282"
12:35,893,"50,2","55,2","4589,16609640184","594,121402155436","7,72429015307751"
12:40,902,"50,6","55,6","4617,6832270883","605,042002503942","7,6320044029641"
12:45,896,"51,2","56,2","4588,92173447586","579,846570219254","7,91402755515253"
12:49,1008,"52,1","57,1","5152,52247731316","596,826345619536","8,63320212844254"
12:55,1022,"52,7","57,7","5216,60239331678","596,008335358146","8,75256617037425"
13:00,361,"51,2","56,2","1801,05267859847","577,227938851215","3,12017585666918"
13:04,594,"48,7","53,7","3037,23733663028","600,535071569938","5,05755197392592"
13:09,349,"44,6","49,6","1750,1393328698","598,133658385276","2,92600041534944"
13:15,1072,"43,8","48,8","5531,81686685571","619,386272023587","8,93112604640527"
13:20,882,"48,2","53,2","4545,31627615185","598,011840608286","7,60071284128495"
13:24,1036,"51,5","56,5","5296,8644716675","598,60363159212","8,84870086333975"
13:30,898,"50,8","55,8","4596,58884715093","604,3000439684","7,60646783502682"
13:35,1045,"51,4","56,4","5340,4750589454","599,855067364095","8,9029423097361"
13:39,852,"54,5","59,5","4351,11975530362","581,181935161249","7,48667412399252"
13:44,991,55,60,"5046,7737111263","588,294163164471","8,57865677942373"
13:50,993,"55,4","60,4","5053,52766495261","587,35270732748","8,60390631031008"
13:55,1022,"52,9","57,9","5213,88284524179","596,066520531325","8,74714929567628"
13:59,747,"52,4","57,4","3820,48827246524","593,701712493656","6,43502990149463"
14:05,539,51,56,"2741,26535849399","583,354476383241","4,6991417216675"
14:10,1221,"51,3","56,3","6210,0104271354","574,899484368568","10,8019064131812"
14:15,1203,"54,9","59,9","6084,66477364325","565,681415924464","10,7563455371773"
14:19,397,"55,1","60,1","1972,1226725656","582,711830975101","3,38438756128477"
14:25,304,"48,6","53,6","1505,91527807068","571,560303564005","2,63474434575047"
14:30,314,"43,6","48,6","1568,76858819622","586,094281837848","2,67664885464664"
14:34,418,42,47,"2118,39598378138","585,930677506349","3,61543790947595"
14:39,1004,"45,7","50,7","5186,43335030575","601,919695042989","8,61648720421971"
14:45,598,"49,6","54,6","3057,23475578449","594,431079180158","5,14312737483553"
14:50,1166,"47,5","52,5","5974,18879209059","585,194224860603","10,208899094166"
14:54,553,"46,8","51,8","2818,80257217666","610,901726919889","4,61416697312153"
15:00,350,"42,9","47,9","1757,95573686238","603,680455512003","2,91206336201723"
15:05,419,"41,1","46,1","2122,56040299447","585,14601693445","3,62740297561018"
15:09,398,"40,6","45,6","2019,17367506035","592,852585675053","3,40586129477907"
15:14,390,"42,7","47,7","1972,0817695098","587,686102738427","3,35567194854624"
15:20,1103,"43,1","48,1","5688,38359528714","622,632120247648","9,13602657219905"
15:25,1086,"45,1","50,1","5591,81464337226","616,459649955135","9,07085264019993"
15:29,1030,"48,1","53,1","5291,20091198315","607,809181455292","8,70536522550433"
15:35,300,48,53,"1477,75184579359","557,858565932409","2,64897222349479"
15:40,767,"46,6","51,6","3949,81757377172","611,732054062347","6,45677719116082"
15:45,956,50,55,"4911,52966976646","590,259311316267","8,32096940379278"
15:49,939,"51,9","56,9","4810,49955884751","583,957178564636","8,23776080751622"
15:55,591,"49,4","54,4","3021,46594017286","593,76375654159","5,08866684246873"
16:00,991,"49,2","54,2","5089,748872775","603,262848259991","8,43703352105225"
16:04,555,"50,7","55,7","2827,04915549971","587,326456267018","4,81342041608022"
16:09,648,"48,8","53,8","3308,90214238354","577,472285041431","5,72997566826283"
16:15,900,"49,7","54,7","4628,18343159358","595,78035336003","7,76827131927388"
