Time,S,T,T1,P,V,I
07:59,127,"22,9","27,9","1205,276878","603,720104","1,996416667"
08:05,111,"23,5","28,5","1040,47216","602,5659291","1,726735797"
08:10,125,"24,2","29,2","1181,756448","608,6393952","1,941636472"
08:15,126,"24,8","29,8","1193,129856","598,9594987","1,992004231"
08:19,142,26,31,"1355,542827","596,9072108","2,270943963"
08:25,187,"26,4","31,4","1811,993339","593,6184966","3,05245431"
08:30,178,"26,6","31,6","1726,864918","602,5669298","2,865847482"
08:34,188,"26,5","31,5","1825,171326","596,5474597","3,05955762"
08:39,196,"26,2","31,2","1909,316227","629,7965533","3,03163969"
08:45,209,"26,3","31,3","2040,752845","635,2355469","3,212592329"
08:50,216,"26,8","31,8","2116,647811","633,1161333","3,34322204"
08:54,238,"27,2","32,2","2348,191668","635,1394286","3,697127846"
09:00,222,"27,6","32,6","2177,180364","633,0116082","3,439400378"
09:05,268,"27,6","32,6","2673,403523","619,5924328","4,314777557"
09:09,286,"28,8","33,8","2846,696511","640,8259511","4,442230385"
09:14,303,"29,8","34,8","3039,836802","628,2842002","4,838314892"
09:20,318,"30,3","35,3","3197,390747","618,5493398","5,169176557"
09:25,334,"30,6","35,6","3368,414465","623,5883717","5,40166337"
09:29,352,"31,7","36,7","3553,404355","616,6729361","5,76221875"
09:35,370,"32,3","37,3","3730,902997","608,1232647","6,135109794"
09:40,390,"32,8","37,8","3958,055616","624,0804211","6,34222046"
09:45,406,"33,5","38,5","4101,195064","641,9266186","6,388884564"
09:49,426,"34,4","39,4","4334,672935","626,9126729","6,914316973"
09:55,446,"34,5","39,5","4527,835253","607,769002","7,449927914"
10:00,456,35,40,"4644,339309","613,8645429","7,565739645"
10:04,473,"35,6","40,6","4813,830014","608,8141719","7,906895463"
10:09,389,"36,4","41,4","3923,706733","603,4747449","6,501857395"
10:15,464,"37,5","42,5","4714,887745","606,4852765","7,774117407"
10:20,448,"36,9","41,9","4554,877804","611,8356822","7,444609617"
10:24,446,"36,3","41,3","4521,702709","635,0009954","7,120780505"
10:30,279,"37,4","42,4","2765,891469","599,084381","4,616864598"
10:35,550,"37,3","42,3","5637,522384","619,6517398","9,097888414"
10:39,592,"38,2","43,2","6072,904109","615,3484564","9,869049066"
10:44,644,"39,3","44,3","6612,889091","627,2871289","10,54204492"
10:50,430,"40,7","45,7","4339,984584","596,7384383","7,272842346"
10:55,591,"39,7","44,7","6057,384228","618,0842071","9,800257245"
10:59,343,40,45,"3429,255847","595,4503494","5,759096204"
11:05,616,"38,3","43,3","6327,757304","626,8204651","10,09500751"
11:10,300,"37,8","42,8","2985,191778","610,3974036","4,890570898"
11:15,517,"37,4","42,4","5268,168766","605,6255577","8,698722667"
11:19,586,"38,1","43,1","6014,327961","620,6447495","9,69045169"
11:25,327,"38,5","43,5","3269,915385","605,3524019","5,401672439"
11:30,687,38,43,"7064,688457","635,2182673","11,1216708"
11:34,704,"39,1","44,1","7226,397091","635,2768658","11,37519321"
11:39,737,"41,2","46,2","7568,290725","625,6548333","12,09659116"
11:45,794,"43,6","48,6","8116,296732","596,7094185","13,60175737"
11:50,768,"44,8","49,8","7845,685379","596,2970442","13,15734407"
11:54,676,"46,3","51,3","6897,639937","607,4965019","11,35420519"
12:00,818,"44,1","49,1","8389,569721","609,6044368","13,76231736"
12:05,612,"45,4","50,4","6227,300315","594,9351214","10,46719229"
12:09,841,"46,2","51,2","8603,144244","603,2527222","14,26126054"
12:14,897,"47,5","52,5","9146,137526","612,3381877","14,93641538"
12:20,885,"49,3","54,3","9003,321289","607,6155384","14,81746387"
12:25,886,"49,4","54,4","9016,418513","605,9473918","14,87987016"
12:29,884,"49,5","54,5","8995,141003","605,6079038","14,85307729"
12:35,893,"50,2","55,2","9067,524483","606,9734736","14,93891394"
12:40,902,"50,6","55,6","9151,358158","606,4766135","15,08938342"
12:45,896,"51,2","56,2","9095,306492","601,3113194","15,12578626"
12:49,1008,"52,1","57,1","10213,01885","585,7260663","17,43651074"
12:55,1022,"52,7","57,7","10347,05303","587,1380898","17,62286114"
13:00,361,"51,2","56,2","3574,767069","579,4089452","6,169678771"
13:04,594,"48,7","53,7","6023,644718","600,8397295","10,02537686"
13:09,349,"44,6","49,6","3464,031733","577,8470658","5,994720643"
13:15,1072,"43,8","48,8","10965,24615","601,5946342","18,22696801"
13:20,882,"48,2","53,2","8980,228658","612,0712151","14,67186895"
13:24,1036,"51,5","56,5","10502,13296","587,4810615","17,87654726"
13:30,898,"50,8","55,8","9105,284909","606,7216952","15,00735013"
13:35,1045,"51,4","56,4","10592,33576","597,041439","17,74137449"
13:39,852,"54,5","59,5","8601,955611","595,3756746","14,44794602"
13:44,991,55,60,"10000,33405","579,5921402","17,25408844"
13:50,993,"55,4","60,4","10016,09313","580,4581201","17,25549663"
13:55,1022,"52,9","57,9","10335,98166","581,6942928","17,76875206"
13:59,747,"52,4","57,4","7563,915651","582,2509707","12,99081673"
14:05,539,51,56,"5434,587367","589,376996","9,220901739"
14:10,1221,"51,3","56,3","12327,17431","586,1207888","21,03179847"
14:15,1203,"54,9","59,9","12043,01215","566,4870748","21,25911196"
14:19,397,"55,1","60,1","3928,074888","576,3932363","6,814921899"
14:25,304,"48,6","53,6","2990,541033","582,7487613","5,131784453"
14:30,314,"43,6","48,6","3113,114122","598,1576037","5,204504804"
14:34,418,42,47,"4217,466271","607,6932423","6,940123697"
14:39,1004,"45,7","50,7","10251,68195","616,2360331","16,63596641"
14:45,598,"49,6","54,6","6052,128461","586,3137353","10,32233785"
14:50,1166,"47,5","52,5","11849,22682","606,8587958","19,5255089"
14:54,553,"46,8","51,8","5589,670165","614,2094689","9,100592627"
15:00,350,"42,9","47,9","3483,1886","582,879296","5,975831743"
15:05,419,"41,1","46,1","4220,853354","619,419124","6,814212204"
15:09,398,"40,6","45,6","3997,958013","620,8755862","6,439225671"
15:14,390,"42,7","47,7","3901,366547","585,0163933","6,668815765"
15:20,1103,"43,1","48,1","11300,60278","612,8843705","18,43839283"
15:25,1086,"45,1","50,1","11093,01093","613,7749302","18,07341809"
15:29,1030,"48,1","53,1","10478,93866","590,2152381","17,75443599"
15:35,300,48,53,"2950,781927","577,1293801","5,112860355"
15:40,767,"46,6","51,6","7823,137177","593,7785593","13,17517626"
15:45,956,50,55,"9711,7729","586,8560914","16,54881502"
15:49,939,"51,9","56,9","9507,299926","602,8706557","15,77004924"
15:55,591,"49,4","54,4","5973,529832","582,9806481","10,24653194"
16:00,991,"49,2","54,2","10085,62537","593,1579935","17,00326975"
16:04,555,"50,7","55,7","5603,528917","591,2817475","9,476918476"
16:09,648,"48,8","53,8","6586,154308","599,2400541","10,99084459"
16:15,900,"49,7","54,7","9146,964974","607,5877535","15,05455783"
16:20,832,"50,6","55,6","8462,211166","595,8895656","14,20097222"
16:24,802,"52,1","57,1","8137,521213","588,7120498","13,82258307"
16:30,316,49,54,"3114,15257","583,3422974","5,338465227"
