,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipAccumulation,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,-1.92,0.0,-3.58,0.88,clear-night,311.3,,0.0,0.0,,1032.9,Klar,-1.92,1577919600,0,16.093,156,0.74,0.53
1,-2.05,0.0,-3.79,0.88,clear-night,314.6,,0.0,0.0,,1032.6,Klar,-2.05,1577923200,0,16.093,193,0.85,0.69
2,0.42,0.2,-0.27,0.95,clear-night,315.4,,0.0149,0.01,rain,1032.1,Klar,0.42,1577926800,0,16.093,105,1.02,0.78
3,-0.21,0.44,-0.92,0.95,partly-cloudy-night,316.1,,0.0099,0.01,rain,1031.6,Leicht bewölkt,-0.21,1577930400,0,16.093,163,1.38,0.85
4,-0.77,0.62,-1.45,0.95,partly-cloudy-night,317.0,,0.0081,0.01,rain,1031.3,Überwiegend bewölkt,-0.77,1577934000,0,16.093,186,1.76,1.02
5,-1.01,0.72,-1.8,0.94,partly-cloudy-night,318.3,,0.0102,0.01,rain,1031.3,Überwiegend bewölkt,-1.01,1577937600,0,16.093,191,2.2,1.23
6,-3.03,0.75,-1.96,0.93,partly-cloudy-night,319.5,,0.0165,0.01,rain,1031.4,Überwiegend bewölkt,-0.92,1577941200,0,16.093,189,2.66,1.65
7,-3.33,0.78,-2.36,0.89,partly-cloudy-night,318.3,,0.0198,0.02,rain,1031.5,Überwiegend bewölkt,-0.81,1577944800,0,16.093,205,3.0,1.95
8,-3.86,0.79,-2.82,0.88,partly-cloudy-night,319.4,,0.0161,0.02,rain,1031.6,Überwiegend bewölkt,-1.1,1577948400,0,16.093,198,3.28,2.1
9,-4.28,0.77,-2.86,0.89,partly-cloudy-day,321.0,0.005,0.0105,0.02,snow,1031.7,Überwiegend bewölkt,-1.33,1577952000,0,16.093,188,3.48,2.22
10,-4.27,0.73,-2.71,0.9,partly-cloudy-day,323.1,0.0036,0.0072,0.03,snow,1031.7,Überwiegend bewölkt,-1.21,1577955600,0,16.093,182,3.61,2.33
11,-3.66,0.69,-2.25,0.89,partly-cloudy-day,326.0,0.0029,0.0062,0.05,snow,1031.5,Überwiegend bewölkt,-0.66,1577959200,0,16.093,180,3.62,2.36
12,-2.61,0.64,-1.79,0.86,partly-cloudy-day,329.4,,0.0051,0.05,rain,1031.0,Überwiegend bewölkt,0.22,1577962800,1,16.093,180,3.55,2.35
13,-1.8,0.56,-1.46,0.84,partly-cloudy-day,333.5,,0.0051,0.05,rain,1030.5,Leicht bewölkt,0.92,1577966400,1,16.093,182,3.6,2.37
14,-1.73,0.47,-0.87,0.87,partly-cloudy-day,338.4,,0.0,0.0,,1030.1,Leicht bewölkt,0.98,1577970000,0,16.093,182,4.27,2.37
15,-1.18,0.35,-0.86,0.86,partly-cloudy-day,343.8,,0.0,0.0,,1029.3,Leicht bewölkt,1.29,1577973600,0,16.093,183,4.68,2.2
16,-0.8,0.29,-0.75,0.85,clear-day,348.0,,0.0,0.0,,1028.6,Klar,1.57,1577977200,0,16.093,184,5.08,2.15
17,-0.81,0.24,-0.69,0.85,clear-night,350.4,,0.0,0.0,,1028.4,Klar,1.61,1577980800,0,16.093,185,5.36,2.2
18,-1.11,0.28,-0.82,0.85,clear-night,351.6,,0.0054,0.04,rain,1028.6,Klar,1.51,1577984400,0,16.093,185,5.62,2.37
19,-0.97,0.35,-0.77,0.84,partly-cloudy-night,347.0,,0.01,0.04,rain,1028.4,Leicht bewölkt,1.66,1577988000,0,16.093,176,5.58,2.42
20,-0.61,0.55,-0.36,0.84,partly-cloudy-night,348.4,,0.0076,0.03,rain,1028.3,Leicht bewölkt,2.06,1577991600,0,16.093,178,6.15,2.52
21,-0.29,0.8,-0.28,0.82,partly-cloudy-night,350.4,,0.0,0.0,,1028.0,Überwiegend bewölkt,2.4,1577995200,0,16.093,183,6.88,2.62
22,-0.12,0.99,-0.19,0.82,cloudy,350.2,,0.0,0.0,,1027.7,Stark bewölkt,2.65,1577998800,0,16.093,187,7.49,2.77
23,-0.09,0.99,-0.17,0.81,cloudy,346.0,,0.0,0.0,,1027.4,Stark bewölkt,2.75,1578002400,0,16.093,192,7.88,2.87
