,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,16.33,0.0,14.25,0.87,clear-night,302.0,0.0,0.0,,1021.3,Klar,16.33,1596751200,0,16.093,112,1.96,1.38
1,15.93,0.0,13.97,0.88,clear-night,302.4,0.0,0.0,,1021.6,Klar,15.93,1596754800,0,16.093,110,1.85,1.34
2,15.55,0.0,13.75,0.89,clear-night,302.7,0.0,0.0,,1021.5,Klar,15.55,1596758400,0,16.093,107,1.77,1.32
3,15.98,0.02,13.8,0.87,clear-night,299.8,0.0,0.0,,1021.1,Klar,15.98,1596762000,0,16.093,107,1.95,1.65
4,15.13,0.04,13.67,0.91,clear-night,299.6,0.0,0.0,,1021.2,Klar,15.13,1596765600,0,16.093,108,1.71,1.38
5,14.97,0.05,13.61,0.92,clear-night,299.5,0.0062,0.01,rain,1021.1,Klar,14.97,1596769200,0,16.093,107,1.75,1.23
6,15.42,0.05,13.86,0.9,clear-night,299.8,0.0,0.0,,1021.2,Klar,15.42,1596772800,0,16.093,103,2.2,1.24
7,16.35,0.04,14.29,0.88,clear-day,300.4,0.0,0.0,,1021.3,Klar,16.35,1596776400,0,16.093,98,2.91,1.37
8,17.56,0.03,14.58,0.83,clear-day,301.3,0.0,0.0,,1021.6,Klar,17.56,1596780000,1,16.093,93,4.59,1.85
9,19.35,0.02,15.18,0.77,clear-day,301.6,0.0,0.0,,1021.6,Klar,19.35,1596783600,2,16.093,92,5.42,2.42
10,21.55,0.01,15.73,0.7,clear-day,301.6,0.0,0.0,,1021.4,Klar,21.53,1596787200,4,16.093,91,6.16,3.1
11,23.34,0.0,16.2,0.64,clear-day,301.8,0.0,0.0,,1021.0,Klar,23.28,1596790800,5,16.093,91,6.58,3.6
12,24.53,0.0,16.6,0.62,clear-day,302.4,0.0116,0.01,rain,1020.6,Klar,24.42,1596794400,7,16.093,91,6.49,3.78
13,25.42,0.01,16.81,0.59,clear-day,303.1,0.0196,0.01,rain,1020.1,Klar,25.29,1596798000,8,16.093,91,6.09,3.77
14,26.41,0.01,16.9,0.56,clear-day,303.7,0.034,0.01,rain,1019.8,Klar,26.26,1596801600,8,16.093,92,5.78,3.74
15,27.78,0.01,16.5,0.52,clear-day,306.9,0.1002,0.01,rain,1019.8,Klar,27.24,1596805200,7,16.093,96,4.18,2.67
16,28.13,0.01,16.4,0.5,clear-day,306.6,0.0,0.0,,1019.6,Klar,27.69,1596808800,5,16.093,96,4.4,2.91
17,27.29,0.0,16.64,0.54,clear-day,306.4,0.0,0.0,,1019.5,Klar,26.61,1596812400,3,16.093,96,4.68,3.04
18,26.17,0.0,16.66,0.56,clear-day,306.6,0.0,0.0,,1019.6,Klar,26.04,1596816000,2,16.093,99,5.13,2.95
19,25.05,0.0,16.31,0.59,clear-day,306.8,0.0,0.0,,1019.8,Klar,24.97,1596819600,1,16.093,103,5.63,2.75
20,23.84,0.0,16.55,0.64,clear-day,305.5,0.0,0.0,,1020.0,Klar,23.74,1596823200,0,16.093,108,4.51,2.52
21,22.48,0.0,16.43,0.69,clear-night,304.9,0.0,0.0,,1020.3,Klar,22.38,1596826800,0,16.093,114,3.92,2.24
22,21.02,0.0,16.18,0.74,clear-night,304.2,0.0051,0.01,rain,1020.6,Klar,20.93,1596830400,0,16.093,117,3.13,1.98
23,19.68,0.0,15.66,0.78,clear-night,303.6,0.0,0.0,,1020.9,Klar,19.63,1596834000,0,16.093,121,2.47,1.73
