,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windSpeed
0,-8.02,0.75,-5.3,0.98,-5.03,1547852400,0,10.003,58,1.81
1,-7.73,0.75,-4.99,0.95,-4.34,1547856000,0,10.003,69,2.15
2,-8.82,0.75,-5.34,1.0,-5.34,1547859600,0,10.003,41,2.09
3,-8.01,0.75,-5.3,0.95,-4.65,1547863200,0,10.003,20,2.09
4,-6.73,0.44,-7.37,0.95,-6.73,1547866800,0,10.003,327,0.81
5,-9.63,0.44,-6.69,0.95,-6.04,1547870400,0,8.763,20,2.09
6,-7.35,0.19,-7.35,1.0,-7.35,1547874000,0,8.203,21,0.99
7,-11.17,0.19,-7.35,1.0,-7.35,1547877600,0,8.296,41,2.09
8,-6.35,0.44,-6.35,1.0,-6.35,1547881200,0,8.142,69,0.85
9,-8.82,0.75,-6.0,0.95,-5.34,1547884800,0,8.452,90,2.09
10,-8.23,0.44,-6.31,0.88,-4.65,1547888400,0,8.763,133,2.25
11,-8.66,0.83,-6.31,0.88,-4.65,1547892000,1,8.763,140,2.6
12,-9.03,0.83,-6.31,0.88,-4.65,1547895600,1,8.452,163,2.95
13,-8.42,1.0,-6.31,0.88,-4.65,1547899200,1,8.296,170,2.41
14,-8.01,1.0,-6.31,0.88,-4.65,1547902800,1,8.763,140,2.09
15,-7.5,1.0,-6.31,0.88,-4.65,1547906400,0,8.763,131,1.76
16,-3.66,0.75,-6.31,0.82,-3.66,1547910000,0,9.07,137,1.19
17,-6.42,0.75,-6.31,0.86,-4.34,1547913600,0,9.383,97,1.35
18,-9.48,0.36,-7.0,0.88,-5.34,1547917200,0,9.07,80,2.6
19,-8.83,0.36,-7.0,0.93,-6.04,1547920800,0,9.691,88,1.6
20,-9.47,0.44,-7.31,0.98,-7.04,1547924400,0,9.383,114,1.35
21,-9.82,0.19,-7.99,0.95,-7.35,1547928000,0,8.763,99,1.35
22,-7.35,0.19,-7.35,1.0,-7.35,1547931600,0,8.452,171,0.5
23,-8.35,,-8.98,0.95,-8.35,1547935200,0,8.142,110,1.0
