,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipAccumulation,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,0.49,0.91,2.07,0.78,rain,291.1,,1.7005,0.76,rain,1003.7,Regen und Sturm,5.64,1581375600,0,12.402,280,25.93,9.79
1,-0.41,0.91,1.9,0.8,rain,290.9,,2.1604,0.79,rain,1004.0,Regen und Sturm,5.0,1581379200,0,6.977,259,26.01,10.0
2,-0.85,0.93,1.14,0.78,rain,293.0,,2.8585,0.76,rain,1005.4,Regen und Sturm,4.55,1581382800,0,6.576,192,21.93,9.46
3,-2.32,0.97,-0.01,0.78,rain,295.5,,1.5132,0.65,rain,1007.1,Regen und Sturm,3.46,1581386400,0,9.525,343,22.21,9.54
4,-3.51,1.0,-1.09,0.77,rain,297.3,,0.792,0.5,rain,1008.4,Leichter Regen möglich und Sturm,2.52,1581390000,0,11.788,279,22.04,9.38
5,-4.11,0.99,-1.82,0.76,rain,297.3,,0.4041,0.41,rain,1009.3,Leichter Regen möglich und frische Brise,1.88,1581393600,0,12.215,321,20.91,8.63
6,-4.34,0.97,-2.22,0.77,snow,296.6,0.0912,0.1957,0.3,snow,1009.9,Leichter Schneefall möglich und frische Brise,1.42,1581397200,0,11.934,216,19.36,7.62
7,-4.26,0.96,-2.31,0.79,snow,291.9,0.6854,1.0506,0.43,snow,1010.6,Schneefall,0.9,1581400800,0,8.033,265,12.41,5.89
8,-4.1,0.93,-2.04,0.79,snow,289.7,0.5948,0.9811,0.39,snow,1011.2,Schneefall,1.18,1581404400,0,9.493,312,13.71,6.31
9,-3.67,0.89,-1.68,0.77,snow,287.6,0.3991,0.8862,0.39,snow,1011.8,Schneefall,1.85,1581408000,0,11.985,220,16.79,7.32
10,-3.38,0.87,-1.5,0.76,rain,287.1,,0.8104,0.37,rain,1012.1,Leichter Regen möglich und frische Brise,2.28,1581411600,1,13.064,262,18.86,8.06
11,-3.28,0.88,-1.65,0.75,snow,289.1,0.3,0.7211,0.37,snow,1012.2,Schneefall und frische Brise,2.42,1581415200,1,11.192,267,18.46,8.29
12,-3.77,0.92,-1.62,0.77,snow,292.8,0.3615,0.6545,0.45,snow,1012.1,Schneefall,2.05,1581418800,2,7.917,268,17.08,8.28
13,-3.32,0.94,-1.43,0.76,snow,293.7,0.102,0.1971,0.3,snow,1012.2,Leichter Schneefall möglich und frische Brise,2.32,1581422400,2,4.43,265,17.95,8.01
14,-2.93,0.89,-1.23,0.76,wind,298.9,0.0683,0.1494,0.2,snow,1012.0,Frische Brise und stark bewölkt,2.58,1581426000,1,5.207,186,17.94,7.87
15,-3.28,0.82,-1.36,0.77,wind,305.1,0.0608,0.1187,0.2,snow,1012.2,Frische Brise und überwiegend bewölkt,2.26,1581429600,1,7.91,321,18.01,7.69
16,-3.47,0.77,-1.26,0.79,wind,310.2,0.0581,0.113,0.2,snow,1012.6,Frische Brise und überwiegend bewölkt,2.09,1581433200,0,10.862,270,17.86,7.62
17,-3.76,0.76,-1.75,0.78,partly-cloudy-day,312.7,0.0553,0.0993,0.16,snow,1013.3,Überwiegend bewölkt,1.72,1581436800,0,15.729,322,17.1,7.13
18,-3.86,0.76,-2.24,0.77,partly-cloudy-night,313.9,0.0534,0.0896,0.13,snow,1014.3,Überwiegend bewölkt,1.43,1581440400,0,16.093,175,16.09,6.51
19,-4.04,0.79,-2.52,0.76,partly-cloudy-night,315.8,0.0508,0.0859,0.11,snow,1015.1,Überwiegend bewölkt,1.25,1581444000,0,16.093,256,15.67,6.38
20,-4.33,0.85,-2.64,0.75,partly-cloudy-night,324.7,0.0265,0.0457,0.1,snow,1015.6,Überwiegend bewölkt,1.23,1581447600,0,16.093,257,16.31,6.99
21,-4.69,0.93,-2.52,0.75,wind,324.1,0.1029,0.1886,0.19,snow,1015.8,Frische Brise und stark bewölkt,1.35,1581451200,0,12.328,267,18.74,8.32
22,-4.94,0.98,-2.54,0.75,wind,325.5,0.1838,0.3268,0.22,snow,1016.2,Frische Brise und stark bewölkt,1.34,1581454800,0,8.34,255,19.93,9.0
23,-5.06,0.99,-2.66,0.76,wind,331.6,0.1814,0.2792,0.18,snow,1017.0,Frische Brise und stark bewölkt,1.1,1581458400,0,11.841,253,18.51,8.46
