,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,5.02,0.0,-0.28,0.69,clear-night,354.0,0,0,1026.3,Klar,5.02,1588802400,0,16.093,122,1.02,1.0
1,4.49,0.0,-0.57,0.7,clear-night,352.2,0,0,1026.0,Klar,4.49,1588806000,0,16.093,134,1.02,1.02
2,4.01,0.0,-0.83,0.71,clear-night,350.6,0,0,1026.0,Klar,4.01,1588809600,0,16.093,142,1.05,1.05
3,3.81,0.0,0.26,0.78,clear-night,350.4,0,0,1026.3,Klar,3.81,1588813200,0,16.093,124,1.17,1.13
4,3.14,0.0,-0.17,0.79,clear-night,348.9,0,0,1026.6,Klar,3.14,1588816800,0,16.093,134,1.22,1.16
5,3.38,0.0,-0.27,0.77,clear-night,347.6,0,0,1026.4,Klar,3.38,1588820400,0,16.093,145,1.23,1.15
6,3.87,0.0,0.05,0.76,clear-day,346.4,0,0,1026.6,Klar,3.87,1588824000,0,16.093,148,1.16,1.13
7,5.0,0.0,0.8,0.74,clear-day,345.4,0,0,1026.2,Klar,5.0,1588827600,0,16.093,147,1.12,1.11
8,7.08,0.0,0.96,0.65,clear-day,344.7,0,0,1025.7,Klar,7.08,1588831200,1,16.093,143,1.21,1.15
9,9.13,0.0,1.01,0.56,clear-day,343.1,0,0,1025.4,Klar,9.46,1588834800,2,16.093,138,1.51,1.41
10,11.55,0.0,1.32,0.49,clear-day,342.8,0,0,1024.8,Klar,11.55,1588838400,3,16.093,124,2.39,2.01
11,13.22,0.0,1.6,0.45,clear-day,343.2,0,0,1024.4,Klar,13.22,1588842000,5,16.093,116,2.95,2.37
12,14.48,0.0,2.01,0.43,clear-day,344.6,0,0,1024.2,Klar,14.48,1588845600,6,16.093,109,2.78,2.37
13,15.52,0.0,2.18,0.41,clear-day,346.7,0,0,1023.8,Klar,15.52,1588849200,7,16.093,104,2.28,2.15
14,16.65,0.0,2.26,0.38,clear-day,346.3,0,0,1023.6,Klar,16.65,1588852800,7,16.093,102,1.95,1.95
15,18.37,0.0,0.52,0.3,clear-day,348.0,0,0,1023.2,Klar,18.37,1588856400,6,16.093,133,1.34,1.26
16,19.05,0.0,0.81,0.29,clear-day,349.9,0,0,1022.5,Klar,19.05,1588860000,4,16.093,92,1.37,1.25
17,17.84,0.0,1.56,0.34,clear-day,351.0,0,0,1021.9,Klar,17.84,1588863600,3,16.093,65,1.43,1.27
18,17.54,0.02,2.47,0.36,clear-day,351.3,0,0,1021.4,Klar,17.54,1588867200,1,16.093,72,1.51,1.3
19,16.84,0.04,3.31,0.4,clear-day,350.9,0,0,1021.1,Klar,16.84,1588870800,0,16.093,96,1.77,1.37
20,15.61,0.05,3.93,0.46,clear-day,349.6,0,0,1021.1,Klar,15.61,1588874400,0,16.093,118,2.06,1.45
21,13.75,0.05,4.09,0.52,clear-night,347.0,0,0,1021.3,Klar,13.75,1588878000,0,16.093,128,1.89,1.43
22,11.81,0.05,3.96,0.59,clear-night,342.9,0,0,1021.8,Klar,11.81,1588881600,0,16.093,137,2.09,1.6
23,10.25,0.09,3.57,0.63,clear-night,340.1,0,0,1022.0,Klar,10.25,1588885200,0,16.093,147,2.26,1.73
