,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,-1.64,0.75,1.68,0.95,2.34,1552518000,0,9.691,225,,4.37
1,-2.69,0.75,1.68,0.95,2.34,1552521600,0,9.691,236,10.8,6.48
2,-1.45,0.75,1.68,0.95,2.34,1552525200,0,9.07,230,,4.06
3,-1.83,0.53,0.99,0.95,1.64,1552528800,0,9.07,230,,3.37
4,-2.41,0.75,0.99,0.95,1.64,1552532400,0,9.07,230,,4.22
5,-2.73,0.75,0.69,0.93,1.64,1552536000,0,10.003,222,,4.76
6,-2.73,0.75,0.69,0.93,1.64,1552539600,0,10.003,218,,4.76
7,-2.34,0.75,1.64,1.0,1.64,1552543200,0,7.927,223,,4.11
8,-1.36,0.75,1.68,0.93,2.65,1552546800,0,8.625,234,,4.56
9,-0.95,0.75,1.68,0.89,3.33,1552550400,1,10.003,222,,5.41
10,-1.36,0.75,1.68,0.87,3.65,1552554000,2,10.003,228,13.9,7.35
11,-1.35,0.61,0.69,0.81,3.65,1552557600,3,10.003,222,11.3,7.32
12,-1.7,0.83,1.68,0.89,3.33,1552561200,3,9.07,207,,7.17
13,-3.16,0.75,1.68,0.93,2.65,1552564800,3,9.07,218,13.53,8.81
14,-2.86,0.75,1.68,0.93,2.65,1552568400,3,10.003,213,18.0,7.94
15,-1.87,0.83,1.68,0.89,3.33,1552572000,2,10.003,215,14.52,7.63
16,-2.5,0.83,1.68,0.89,3.33,1552575600,1,10.003,224,16.46,9.57
17,-2.79,0.83,1.68,0.89,3.33,1552579200,0,10.003,224,17.46,10.61
18,-2.37,0.53,1.68,0.89,3.33,1552582800,0,10.003,234,14.86,9.17
19,-2.2,0.53,1.68,0.89,3.33,1552586400,0,10.003,229,15.17,8.62
20,-2.82,0.75,2.37,0.98,2.65,1552590000,0,10.003,236,14.36,7.82
21,-1.04,0.75,2.37,0.91,3.65,1552593600,0,10.003,235,15.99,6.52
22,-1.23,0.36,2.0,0.89,3.65,1552597200,0,10.003,235,,7.02
23,-0.7,0.36,2.0,0.89,3.65,1552600800,0,10.003,245,,5.72
