,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,16.64,0.44,7.41,0.54,16.64,1558821600,0,10.003,25.0,,2.51
1,14.22,0.0,7.82,0.65,14.22,1558825200,0,10.003,11.0,,0.87
2,12.22,0.0,7.41,0.72,12.22,1558828800,0,10.003,359.0,,2.68
3,11.22,0.0,7.41,0.77,11.22,1558832400,0,10.003,345.0,,1.5
4,9.43,0.0,7.41,0.85,9.81,1558836000,0,10.003,341.0,,1.5
5,9.81,0.0,7.41,0.85,9.81,1558839600,0,10.003,,,0.0
6,7.94,0.0,6.41,0.85,8.81,1558843200,0,10.003,302.0,,1.85
7,10.22,0.0,8.42,0.89,10.22,1558846800,0,10.003,294.0,,1.3
8,13.81,0.0,9.0,0.73,13.81,1558850400,1,10.003,230.0,,0.62
9,15.64,0.08,9.99,0.69,15.64,1558854000,2,10.003,235.0,,1.75
10,18.22,0.19,9.41,0.56,18.22,1558857600,4,10.003,246.0,,3.1
11,18.81,0.08,9.0,0.53,18.81,1558861200,6,10.003,257.0,,3.98
12,20.23,0.18,9.0,0.48,20.23,1558864800,7,10.003,225.0,,5.47
13,20.23,0.29,8.83,0.48,20.23,1558868400,7,10.003,236.0,7.7,5.04
14,21.23,0.19,8.0,0.43,21.23,1558872000,8,10.003,237.0,,4.51
15,22.23,0.0,7.41,0.38,22.23,1558875600,7,10.003,244.0,7.7,5.35
16,22.81,0.44,6.83,0.36,22.81,1558879200,5,10.003,247.0,10.8,4.69
17,23.22,0.0,6.41,0.34,23.22,1558882800,4,10.003,244.0,,4.47
18,22.64,0.0,5.41,0.33,22.64,1558886400,2,10.003,240.0,,3.72
19,22.23,0.75,6.0,0.35,22.23,1558890000,1,10.003,227.0,,4.8
20,21.23,1.0,8.0,0.43,21.23,1558893600,0,10.003,233.0,,5.25
21,20.23,1.0,9.0,0.48,20.23,1558897200,0,10.003,253.0,,3.43
22,19.23,1.0,9.0,0.52,19.23,1558900800,0,10.003,256.0,,2.6
23,17.22,0.75,9.41,0.6,17.22,1558904400,0,10.003,256.0,,2.3
