,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,-3.75,0.06,-10.64,0.59,clear-night,325.7,0,0,1036.6,Klar,-3.75,1579734000,0,16.093,110,1.97,1.33
1,-6.06,0.06,-10.86,0.58,clear-night,325.7,0,0,1036.6,Klar,-3.85,1579737600,0,16.093,110,2.22,1.45
2,-5.63,0.13,-8.75,0.66,clear-night,317.5,0,0,1036.7,Klar,-3.28,1579741200,0,16.093,117,2.75,1.58
3,-6.17,0.09,-9.46,0.64,clear-night,316.1,0,0,1036.1,Klar,-3.7,1579744800,0,16.093,118,2.44,1.61
4,-6.74,0.12,-9.9,0.64,clear-night,315.0,0,0,1035.4,Klar,-4.19,1579748400,0,16.093,121,2.3,1.62
5,-7.28,0.14,-9.66,0.67,clear-night,313.8,0,0,1034.9,Klar,-4.53,1579752000,0,16.093,119,2.45,1.71
6,-7.46,0.15,-8.94,0.71,clear-night,312.8,0,0,1034.4,Klar,-4.48,1579755600,0,16.093,114,2.75,1.85
7,-7.04,0.21,-8.18,0.73,clear-night,312.3,0,0,1034.2,Klar,-3.98,1579759200,0,16.093,111,3.26,1.96
8,-7.17,0.2,-7.34,0.78,clear-night,310.9,0,0,1033.9,Klar,-3.99,1579762800,0,16.093,109,3.87,2.05
9,-6.85,0.16,-6.44,0.8,clear-day,312.1,0,0,1033.6,Klar,-3.56,1579766400,0,16.093,110,4.26,2.19
10,-5.81,0.11,-5.79,0.79,clear-day,312.7,0,0,1033.0,Klar,-2.57,1579770000,0,16.093,111,4.6,2.28
11,-4.26,0.06,-5.08,0.75,clear-day,312.0,0,0,1032.5,Klar,-1.18,1579773600,1,16.093,108,4.87,2.36
12,-2.26,0.06,-4.53,0.69,clear-day,310.6,0,0,1031.6,Klar,0.54,1579777200,1,16.093,107,5.08,2.38
13,-0.72,0.01,-4.15,0.64,clear-day,309.6,0,0,1030.9,Klar,1.86,1579780800,1,16.093,105,5.18,2.4
14,-0.52,0.0,-4.13,0.65,clear-day,318.1,0,0,1030.4,Klar,1.78,1579784400,1,16.093,103,4.66,2.12
15,-0.94,0.0,-4.06,0.67,clear-day,320.4,0,0,1029.3,Klar,1.46,1579788000,0,16.093,103,4.81,2.16
16,-2.97,0.0,-3.86,0.76,clear-day,322.0,0,0,1028.5,Klar,-0.23,1579791600,0,16.093,107,4.77,2.2
17,-3.81,0.05,-3.9,0.81,clear-night,322.1,0,0,1028.3,Klar,-0.98,1579795200,0,16.093,111,4.42,2.17
18,-4.69,0.11,-3.8,0.86,clear-night,321.6,0,0,1028.6,Klar,-1.83,1579798800,0,16.093,114,3.88,2.08
19,-5.23,0.11,-4.18,0.89,clear-night,318.3,0,0,1028.9,Klar,-2.56,1579802400,0,16.093,120,2.43,1.85
20,-5.38,0.1,-4.22,0.9,clear-night,321.1,0,0,1029.0,Klar,-2.78,1579806000,0,16.093,129,2.17,1.78
21,-5.57,0.13,-4.57,0.88,clear-night,325.3,0,0,1028.4,Klar,-2.92,1579809600,0,16.093,140,2.13,1.8
22,-5.46,0.12,-4.85,0.86,clear-night,328.4,0,0,1028.3,Klar,-2.84,1579813200,0,16.093,149,2.18,1.78
23,-5.65,0.07,-5.23,0.85,clear-night,328.9,0,0,1028.1,Klar,-2.99,1579816800,0,16.093,157,2.23,1.8
