,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,20.37,0.0,10.46,0.53,clear-night,301.4,0,0,1018.8,Klar,20.37,1596664800,0,16.093,94,3.93,1.47
1,19.41,0.0,10.68,0.57,clear-night,301.6,0,0,1019.2,Klar,19.41,1596668400,0,16.093,75,2.71,0.89
2,18.92,0.0,11.7,0.63,clear-night,299.0,0,0,1019.2,Klar,18.92,1596672000,0,16.093,303,1.41,1.01
3,17.94,0.06,11.94,0.68,clear-night,298.3,0,0,1019.6,Klar,17.94,1596675600,0,16.093,358,0.93,0.76
4,16.94,0.15,11.89,0.72,clear-night,297.8,0,0,1019.8,Klar,16.94,1596679200,0,16.093,43,0.71,0.66
5,16.44,0.2,11.85,0.74,clear-night,298.2,0,0,1020.0,Klar,16.44,1596682800,0,16.093,59,0.75,0.64
6,16.39,0.18,11.81,0.74,clear-night,300.3,0,0,1020.3,Klar,16.39,1596686400,0,16.093,58,1.27,0.83
7,16.91,0.14,11.85,0.72,clear-day,303.3,0,0,1020.5,Klar,16.91,1596690000,0,16.093,64,2.07,1.09
8,17.88,0.1,11.75,0.67,clear-day,306.0,0,0,1020.7,Klar,17.88,1596693600,1,16.093,68,3.08,1.46
9,20.01,0.06,11.74,0.59,clear-day,306.3,0,0,1021.0,Klar,20.01,1596697200,2,16.093,76,3.2,1.64
10,22.82,0.03,11.61,0.49,clear-day,305.5,0,0,1021.2,Klar,22.82,1596700800,3,16.093,81,3.03,1.7
11,25.05,0.0,11.27,0.42,clear-day,304.6,0,0,1021.2,Klar,25.05,1596704400,5,16.093,83,2.92,1.76
12,26.55,0.0,10.82,0.37,clear-day,303.7,0,0,1020.9,Klar,26.55,1596708000,6,16.093,86,3.0,1.88
13,27.66,0.0,10.21,0.34,clear-day,302.6,0,0,1020.4,Klar,27.66,1596711600,7,16.093,90,3.13,2.1
14,28.92,0.0,9.38,0.3,clear-day,308.6,0,0,1020.2,Klar,28.92,1596715200,7,16.093,79,2.73,2.12
15,29.74,0.0,9.34,0.28,clear-day,308.8,0,0,1019.9,Klar,29.74,1596718800,6,16.093,81,2.77,2.2
16,30.45,0.0,9.5,0.27,clear-day,308.6,0,0,1019.5,Klar,30.45,1596722400,5,16.093,94,2.87,2.48
17,29.89,0.0,10.01,0.29,clear-day,308.2,0,0,1019.2,Klar,29.89,1596726000,3,16.093,98,3.03,2.48
18,30.05,0.03,10.69,0.3,clear-day,307.9,0,0,1019.1,Klar,30.05,1596729600,2,16.093,95,3.36,2.46
19,29.74,0.08,10.74,0.31,clear-day,307.5,0,0,1019.2,Klar,29.74,1596733200,1,16.093,91,3.76,2.22
20,29.1,0.13,11.16,0.33,clear-day,304.2,0,0,1019.1,Klar,29.1,1596736800,0,16.093,82,3.35,1.71
21,27.8,0.1,11.61,0.37,clear-night,304.1,0,0,1019.5,Klar,27.8,1596740400,0,16.093,76,2.59,1.48
22,25.86,0.05,12.09,0.42,clear-night,304.5,0,0,1019.8,Klar,25.86,1596744000,0,16.093,63,1.53,1.29
23,24.18,0.01,12.56,0.48,clear-night,304.8,0,0,1020.2,Klar,24.18,1596747600,0,16.093,51,1.22,1.22
