,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,-3.96,0.15,-8.91,0.68,clear-night,355.8,0,0,1038.7,Klar,-3.96,1579647600,0,16.093,133,1.38,1.18
1,-3.4,0.07,-7.37,0.74,clear-night,354.8,0,0,1038.9,Klar,-3.4,1579651200,0,16.093,142,1.26,1.15
2,-3.57,0.07,-7.78,0.73,clear-night,350.9,0,0,1037.8,Klar,-3.57,1579654800,0,16.093,148,1.21,1.15
3,-3.98,0.08,-8.42,0.71,clear-night,346.2,0,0,1036.7,Klar,-3.98,1579658400,0,16.093,154,1.25,1.22
4,-4.63,0.09,-9.08,0.71,clear-night,341.3,0,0,1035.8,Klar,-4.63,1579662000,0,16.093,152,1.28,1.28
5,-5.15,0.12,-9.55,0.71,clear-night,336.0,0,0,1035.6,Klar,-5.15,1579665600,0,16.093,130,1.22,1.22
6,-5.49,0.06,-9.88,0.71,clear-night,330.6,0,0,1035.5,Klar,-5.49,1579669200,0,16.093,92,1.02,1.01
7,-5.58,0.05,-10.02,0.71,clear-night,326.1,0,0,1036.3,Klar,-5.58,1579672800,0,16.093,210,0.84,0.75
8,-4.63,0.35,-9.81,0.67,partly-cloudy-night,317.3,0,0,1036.6,Leicht bewölkt,-4.63,1579676400,0,16.093,37,1.01,0.77
9,-4.63,0.0,-9.23,0.7,clear-day,314.9,0,0,1036.9,Klar,-4.63,1579680000,0,16.093,120,0.86,0.8
10,-3.14,0.24,-8.65,0.66,clear-day,312.8,0,0,1036.8,Klar,-3.14,1579683600,0,16.093,161,0.83,0.83
11,-1.58,0.05,-7.54,0.64,clear-day,310.7,0,0,1036.8,Klar,-1.58,1579687200,1,16.093,99,0.71,0.63
12,0.5,0.05,-6.04,0.62,clear-day,308.8,0,0,1036.0,Klar,0.5,1579690800,1,16.093,223,0.91,0.83
13,1.64,0.06,-4.78,0.62,clear-day,307.1,0,0,1035.6,Klar,1.64,1579694400,1,16.093,269,1.06,0.79
14,1.36,0.04,-4.27,0.66,clear-day,311.5,0,0,1035.8,Klar,1.36,1579698000,1,16.093,65,1.18,1.15
15,0.95,0.01,-3.77,0.71,clear-day,309.0,0,0,1035.3,Klar,0.95,1579701600,0,16.093,23,1.55,1.13
16,-0.52,0.0,-3.78,0.79,clear-day,308.8,0,0,1035.1,Klar,-0.52,1579705200,0,16.093,14,1.81,1.08
17,-1.18,0.0,-4.26,0.8,clear-night,312.3,0,0,1035.4,Klar,-1.18,1579708800,0,16.093,27,1.76,1.08
18,-2.11,0.0,-5.05,0.8,clear-night,318.0,0,0,1036.1,Klar,-2.11,1579712400,0,16.093,87,1.56,0.95
19,-2.83,0.0,-7.17,0.72,clear-night,317.7,0,0,1036.9,Klar,-2.83,1579716000,0,16.093,112,1.52,0.96
20,-3.13,0.0,-8.12,0.68,clear-night,320.2,0,0,1036.8,Klar,-3.13,1579719600,0,16.093,134,1.45,0.96
21,-3.25,0.0,-9.14,0.64,clear-night,322.3,0,0,1036.3,Klar,-3.25,1579723200,0,16.093,134,1.41,0.98
22,-3.33,0.0,-9.74,0.61,clear-night,324.0,0,0,1036.1,Klar,-3.33,1579726800,0,16.093,122,1.45,1.05
23,-3.57,0.02,-10.31,0.6,clear-night,325.1,0,0,1036.2,Klar,-3.57,1579730400,0,16.093,113,1.66,1.19
