,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,18.87,0.75,16.69,0.88,18.65,1565042400,0,10.003,334.0,,1.5
1,17.31,0.75,15.0,0.87,17.27,1565046000,0,10.003,277.0,,1.35
2,17.06,0.44,15.31,0.9,16.95,1565049600,0,10.003,140.0,,0.5
3,16.35,0.75,15.0,0.92,16.26,1565053200,0,10.003,,,
4,16.35,0.75,15.0,0.92,16.26,1565056800,0,10.003,180.0,,2.6
5,16.4,0.75,15.31,0.94,16.26,1565060400,0,10.003,191.0,,1.5
6,16.7,0.75,15.31,0.92,16.57,1565064000,0,10.003,221.0,,4.11
7,16.51,0.75,16.0,0.98,16.26,1565067600,0,10.003,230.0,,2.6
8,18.48,0.75,16.0,0.86,18.33,1565071200,1,10.003,190.0,,1.97
9,19.81,0.75,16.0,0.79,19.72,1565074800,2,10.003,196.0,,3.02
10,21.46,0.36,16.0,0.71,21.4,1565078400,3,10.003,230.0,,4.6
11,23.14,0.27,16.0,0.64,23.1,1565082000,5,10.003,230.0,,5.09
12,25.1,0.27,15.31,0.55,25.1,1565085600,6,10.003,230.0,,4.06
13,24.71,0.27,15.31,0.56,24.71,1565089200,7,10.003,213.0,,4.41
14,26.41,0.27,14.62,0.48,26.41,1565092800,7,10.003,221.0,,4.71
15,25.78,0.44,16.0,0.55,25.72,1565096400,6,10.003,200.0,,6.7
16,26.1,0.27,15.31,0.51,26.1,1565100000,5,10.003,206.0,,4.53
17,26.1,0.36,15.0,0.5,26.1,1565103600,3,10.003,219.0,8.8,4.56
18,25.41,0.36,15.31,0.54,25.41,1565107200,2,10.003,212.0,,3.21
19,25.1,0.36,15.31,0.55,25.1,1565110800,1,10.003,208.0,,3.07
20,24.18,0.36,17.0,0.65,24.03,1565114400,0,10.003,220.0,,3.68
21,22.42,0.36,16.31,0.69,22.33,1565118000,0,10.003,185.0,,2.8
22,21.17,0.53,16.69,0.76,21.02,1565121600,0,10.003,186.0,,3.1
23,19.75,0.53,16.07,0.8,19.65,1565125200,0,10.003,263.0,,3.6
