,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windSpeed
0,20.12,,15.0,0.72,20.12,1560895200,0,10.003,,
1,19.12,,15.0,0.77,19.12,1560898800,0,10.003,,
2,18.13,,15.0,0.82,18.12,1560902400,0,10.003,,
3,18.13,,15.0,0.82,18.12,1560906000,0,10.003,350.0,2.09
4,18.13,,15.0,0.82,18.12,1560909600,0,10.003,41.0,1.0
5,17.22,0.0,14.41,0.84,17.22,1560913200,0,10.003,71.0,0.87
6,16.64,0.0,14.41,0.87,16.64,1560916800,0,7.657,80.0,0.62
7,18.23,0.75,15.0,0.81,18.22,1560920400,0,10.003,,0.0
8,21.7,0.44,16.0,0.7,21.64,1560924000,1,10.003,110.0,0.62
9,23.33,0.0,16.58,0.66,23.22,1560927600,3,10.003,170.0,2.6
10,24.74,0.0,16.58,0.61,24.63,1560931200,4,10.003,185.0,3.01
11,27.13,0.0,15.59,0.51,26.64,1560934800,6,10.003,201.0,2.99
12,29.23,0.0,12.24,0.35,29.23,1560938400,8,10.003,228.0,4.89
13,29.64,0.0,12.41,0.35,29.64,1560942000,9,10.003,189.0,3.22
14,30.64,0.75,12.17,0.32,30.64,1560945600,5,10.003,184.0,3.22
15,31.65,0.44,12.17,0.3,31.65,1560949200,6,10.003,216.0,4.31
16,31.23,0.33,12.17,0.31,31.23,1560952800,5,10.003,223.0,5.06
17,31.23,0.19,13.17,0.33,31.23,1560956400,4,10.003,260.0,4.4
18,30.64,0.08,13.41,0.35,30.64,1560960000,2,10.003,248.0,6.5
19,30.64,0.19,12.0,0.32,30.64,1560963600,1,10.003,241.0,5.35
20,30.12,0.33,12.0,0.33,30.12,1560967200,0,10.003,232.0,4.11
21,27.21,0.66,13.0,0.41,27.21,1560970800,0,10.003,222.0,2.89
22,24.63,0.52,14.59,0.54,24.63,1560974400,0,10.003,237.0,3.3
23,24.46,0.66,14.59,0.54,24.46,1560978000,0,10.003,263.0,2.93
