,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windSpeed
0,14.27,0.9,14.0,0.99,14.22,1569448800,0,10.003,186,2.72
1,14.27,0.9,14.0,0.99,14.22,1569452400,0,10.003,195,2.51
2,14.22,0.9,13.59,0.96,14.22,1569456000,0,10.003,191,0.87
3,14.22,0.77,13.59,0.96,14.22,1569459600,0,10.003,195,2.3
4,14.22,0.9,13.59,0.96,14.22,1569463200,0,10.003,191,1.28
5,14.22,0.9,13.59,0.96,14.22,1569466800,0,10.003,191,1.28
6,14.22,0.9,13.59,0.96,14.22,1569470400,0,10.003,180,2.51
7,13.81,0.77,13.0,0.95,13.81,1569474000,0,10.003,191,1.28
8,14.22,0.9,13.0,0.92,14.22,1569477600,0,10.003,180,1.28
9,15.22,0.9,13.59,0.9,15.22,1569481200,0,10.003,186,3.9
10,15.22,0.9,13.59,0.9,15.22,1569484800,1,6.013,186,3.81
11,15.31,0.9,14.59,0.96,15.22,1569488400,2,7.314,186,3.3
12,15.37,0.9,15.0,0.99,15.22,1569492000,3,5.177,180,3.81
13,16.41,1.0,15.59,0.96,16.22,1569495600,3,10.003,186,4.6
14,16.41,1.0,15.59,0.96,16.22,1569499200,3,7.657,180,4.31
15,17.51,0.9,16.58,0.96,17.22,1569502800,2,8.831,209,3.6
16,18.29,0.9,15.41,0.84,18.22,1569506400,2,10.003,191,4.01
17,17.41,0.9,16.0,0.93,17.22,1569510000,1,10.003,190,3.72
18,17.41,1.0,16.0,0.93,17.22,1569513600,0,10.003,185,3.22
19,17.51,1.0,16.58,0.96,17.22,1569517200,0,10.003,189,3.22
20,17.51,0.9,16.58,0.96,17.22,1569520800,0,10.003,186,3.81
21,17.26,0.52,15.0,0.87,17.22,1569524400,0,10.003,230,4.6
22,16.81,0.9,14.0,0.84,16.81,1569528000,0,10.003,211,3.52
23,17.22,0.9,14.0,0.81,17.22,1569531600,0,10.003,213,3.43
