,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windSpeed
0,16.95,0.19,8.62,0.58,16.95,1562104800,0,10.003,7,2.25
1,16.95,0.44,8.62,0.58,16.95,1562108400,0,10.003,2,2.09
2,15.26,0.75,9.0,0.66,15.26,1562112000,0,10.003,26,2.09
3,14.95,0.75,9.0,0.68,14.95,1562115600,0,10.003,21,2.25
4,14.64,0.75,8.69,0.68,14.64,1562119200,0,10.003,350,2.09
5,13.64,0.75,9.0,0.74,13.64,1562122800,0,10.003,2,2.44
6,13.33,0.75,9.0,0.75,13.33,1562126400,0,10.003,4,2.25
7,14.03,0.75,9.0,0.72,14.03,1562130000,0,10.003,24,1.69
8,15.33,0.75,9.0,0.66,15.33,1562133600,1,10.003,45,2.0
9,16.33,0.75,8.69,0.61,16.33,1562137200,2,10.003,35,2.72
10,18.02,0.75,9.69,0.58,18.02,1562140800,3,10.003,41,2.56
11,19.34,0.75,9.31,0.52,19.34,1562144400,5,10.003,35,3.44
12,20.65,0.75,9.69,0.49,20.65,1562148000,5,10.003,41,3.41
13,21.33,0.75,9.0,0.45,21.33,1562151600,6,10.003,41,3.57
14,22.33,0.75,9.69,0.45,22.33,1562155200,6,10.003,41,3.1
15,23.33,0.75,9.0,0.4,23.33,1562158800,5,10.003,37,3.25
16,22.64,0.75,9.31,0.43,22.64,1562162400,4,10.003,0,3.6
17,23.33,0.44,9.31,0.41,23.33,1562166000,4,10.003,27,3.29
18,23.33,0.19,8.62,0.39,23.33,1562169600,2,10.003,347,3.3
19,22.64,0.19,7.62,0.38,22.64,1562173200,1,10.003,14,2.95
20,21.95,0.19,8.31,0.42,21.95,1562176800,0,10.003,8,3.79
21,20.27,0.19,7.62,0.44,20.27,1562180400,0,10.003,18,3.44
22,18.96,0.44,7.24,0.47,18.96,1562184000,0,10.003,20,2.26
23,17.65,0.44,7.24,0.5,17.65,1562187600,0,10.003,37,1.69
