,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,11.81,0.29,6.0,0.68,11.81,1557525600,0,10.003,30.0,,1.64
1,11.22,0.44,6.99,0.75,11.22,1557529200,0,10.003,,,0.0
2,11.63,0.44,8.0,0.78,11.63,1557532800,0,10.003,11.0,,1.49
3,10.63,0.62,9.0,0.9,10.63,1557536400,0,10.003,41.0,,1.08
4,10.22,0.9,9.0,0.92,10.22,1557540000,0,10.003,42.0,,3.13
5,10.22,1.0,8.42,0.89,10.22,1557543600,0,8.349,49.0,,3.72
6,10.22,0.75,8.42,0.89,10.22,1557547200,0,7.76,59.0,,5.18
7,10.22,0.9,9.0,0.92,10.22,1557550800,0,7.727,70.0,,5.54
8,10.22,0.9,9.0,0.92,10.22,1557554400,1,7.727,64.0,,4.6
9,10.81,0.9,9.0,0.89,10.81,1557558000,2,9.587,57.0,7.7,4.4
10,10.81,0.9,9.0,0.89,10.81,1557561600,3,10.003,31.0,,3.63
11,11.22,0.9,9.58,0.9,11.22,1557565200,4,10.003,30.0,,1.9
12,11.22,0.9,9.0,0.86,11.22,1557568800,4,10.003,10.0,,3.72
13,11.22,0.9,9.58,0.9,11.22,1557572400,5,10.003,10.0,,3.72
14,11.22,0.9,8.59,0.84,11.22,1557576000,4,10.003,7.0,,5.54
15,10.63,0.9,8.0,0.84,10.63,1557579600,4,10.003,0.0,9.3,5.18
16,10.63,0.9,7.59,0.81,10.63,1557583200,3,10.003,5.0,,4.97
17,10.63,0.75,8.0,0.84,10.63,1557586800,3,10.003,355.0,,4.68
18,10.63,0.31,7.59,0.81,10.63,1557590400,2,10.003,346.0,,5.08
19,10.63,0.42,7.59,0.81,10.63,1557594000,1,10.003,352.0,,4.38
20,10.63,0.44,7.59,0.81,10.63,1557597600,0,10.003,11.0,,4.47
21,10.22,0.29,6.58,0.78,10.22,1557601200,0,10.003,353.0,,3.33
22,8.85,0.18,6.0,0.78,9.64,1557604800,0,10.003,0.0,,1.9
23,6.68,0.08,5.41,0.86,7.64,1557608400,0,10.003,310.0,,1.75
