,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windSpeed
0,3.33,0.75,3.33,1.0,3.33,1546297200,0,3.388,255,0.81
1,3.33,0.75,3.33,1.0,3.33,1546300800,0,3.197,224,1.16
2,3.33,0.75,3.33,1.0,3.33,1546304400,0,1.858,226,0.99
3,0.43,0.75,3.33,1.0,3.33,1546308000,0,2.336,221,3.1
4,0.07,0.75,3.33,1.0,3.33,1546311600,0,4.258,221,3.6
5,1.01,0.75,3.33,1.0,3.33,1546315200,0,7.23,226,2.41
6,0.18,1.0,3.0,0.98,3.33,1546318800,0,7.769,240,3.44
7,0.31,0.75,3.0,0.98,3.33,1546322400,0,7.769,236,3.25
8,0.57,0.44,2.31,0.93,3.33,1546326000,0,7.862,229,2.91
9,0.45,0.75,2.0,0.91,3.33,1546329600,0,8.017,226,3.07
10,0.43,0.75,2.69,0.96,3.33,1546333200,0,7.956,251,3.1
11,0.41,0.75,2.69,0.89,4.34,1546336800,1,8.452,255,5.21
12,0.63,0.75,2.69,0.89,4.34,1546340400,1,8.452,257,4.75
13,-0.02,0.75,2.69,0.91,3.95,1546344000,1,8.452,268,5.09
14,-0.02,0.75,2.69,0.91,3.95,1546347600,1,8.452,260,5.09
15,0.85,0.75,2.0,0.83,4.64,1546351200,0,10.003,243,5.09
16,0.54,0.75,2.0,0.85,4.34,1546354800,0,8.452,253,4.94
17,-0.69,0.75,2.69,0.93,3.65,1546358400,0,8.452,250,5.7
18,-1.41,0.75,2.37,0.96,2.96,1546362000,0,5.693,246,5.41
19,-0.71,0.75,2.37,0.91,3.65,1546365600,0,5.693,244,5.75
20,-1.79,0.75,2.37,0.96,2.96,1546369200,0,7.074,245,6.24
21,-1.32,0.75,2.37,0.96,2.96,1546372800,0,10.003,240,5.22
22,-1.18,0.75,2.69,0.96,3.33,1546376400,0,9.07,262,5.9
23,-3.07,0.75,2.0,0.95,2.65,1546380000,0,8.452,270,8.54
