,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windSpeed
0,19.45,0.66,16.83,0.86,19.23,1566165600,0,10.003,248.0,2.3
1,18.43,0.57,16.41,0.89,18.22,1566169200,0,10.003,300.0,0.87
2,17.39,0.18,15.82,0.92,17.22,1566172800,0,10.003,210.0,0.62
3,17.89,0.52,15.41,0.86,17.81,1566176400,0,10.003,200.0,0.62
4,17.33,0.19,15.41,0.89,17.22,1566180000,0,10.003,230.0,0.87
5,16.23,0.52,14.41,0.89,16.22,1566183600,0,10.003,200.0,0.62
6,16.22,0.44,15.0,0.93,16.12,1566187200,0,10.003,210.0,1.5
7,15.83,0.62,14.41,0.91,15.81,1566190800,0,10.003,,0.0
8,16.38,0.9,15.41,0.95,16.22,1566194400,0,10.003,191.0,0.62
9,18.29,0.66,15.41,0.84,18.22,1566198000,1,10.003,222.0,1.96
10,19.23,0.52,14.83,0.76,19.23,1566201600,2,10.003,223.0,1.96
11,21.23,0.19,13.83,0.63,21.23,1566205200,4,8.831,217.0,3.19
12,22.23,0.33,13.0,0.56,22.23,1566208800,5,10.003,222.0,3.1
13,22.81,0.08,10.82,0.47,22.81,1566212400,6,10.003,228.0,4.4
14,24.22,0.19,9.0,0.38,24.22,1566216000,6,10.003,237.0,4.47
15,23.63,0.44,9.41,0.4,23.63,1566219600,5,10.003,264.0,3.48
16,24.81,0.75,8.83,0.36,24.81,1566223200,3,10.003,240.0,4.6
17,25.22,0.19,8.42,0.34,25.22,1566226800,3,10.003,244.0,4.4
18,24.63,0.75,8.42,0.36,24.63,1566230400,1,10.003,259.0,3.43
19,23.63,0.0,8.0,0.37,23.63,1566234000,0,10.003,260.0,3.72
20,22.64,0.0,9.0,0.42,22.64,1566237600,0,10.003,290.0,3.01
21,19.81,0.0,9.83,0.53,19.81,1566241200,0,10.003,324.0,2.51
22,17.81,0.0,9.83,0.6,17.81,1566244800,0,10.003,290.0,1.28
23,17.4,0.19,10.24,0.63,17.4,1566248400,0,10.003,281.0,0.87
