,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windSpeed
0,14.64,,12.0,0.84,14.64,1564869600,0,8.763,110.0,0.5
1,13.64,,11.69,0.88,13.64,1564873200,0,8.452,290.0,1.04
2,12.27,,11.31,0.94,12.27,1564876800,0,8.452,,0.0
3,11.96,,10.3,0.9,11.96,1564880400,0,8.452,,0.0
4,11.26,,10.3,0.94,11.26,1564884000,0,8.452,341.0,0.34
5,10.95,,10.3,0.96,10.95,1564887600,0,8.452,281.0,0.69
6,10.26,,10.26,1.0,10.26,1564891200,0,8.452,80.0,0.69
7,11.33,0.44,11.33,1.0,11.33,1564894800,0,9.383,,0.0
8,12.64,0.75,11.69,0.94,12.64,1564898400,1,10.003,,0.0
9,16.02,0.75,12.69,0.81,16.02,1564902000,2,10.003,120.0,0.34
10,18.72,0.36,13.38,0.71,18.72,1564905600,3,10.003,191.0,0.5
11,20.34,0.27,13.31,0.64,20.34,1564909200,5,10.003,80.0,1.0
12,22.02,0.19,12.0,0.53,22.02,1564912800,7,10.003,258.0,1.5
13,23.02,0.27,10.62,0.45,23.02,1564916400,7,10.003,70.0,2.44
14,24.03,0.19,10.99,0.44,24.03,1564920000,7,10.003,126.0,2.26
15,24.34,0.19,9.99,0.4,24.34,1564923600,7,10.003,41.0,2.09
16,25.33,0.19,9.0,0.36,25.33,1564927200,5,10.003,90.0,2.44
17,25.33,0.19,8.38,0.34,25.33,1564930800,3,10.003,102.0,2.09
18,25.33,0.19,8.0,0.33,25.33,1564934400,2,10.003,90.0,1.0
19,25.33,0.44,7.69,0.33,25.33,1564938000,1,10.003,230.0,2.09
20,23.95,0.44,9.38,0.4,23.95,1564941600,0,10.003,26.0,1.69
21,21.27,0.44,9.99,0.49,21.27,1564945200,0,10.003,82.0,1.5
22,19.27,0.44,10.38,0.56,19.27,1564948800,0,10.003,113.0,1.16
23,18.96,0.75,10.38,0.57,18.96,1564952400,0,10.003,1.0,1.5
