,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windSpeed
0,1.26,0.53,0.63,0.96,1.26,1550703600,0,10.003,240,0.5
1,-0.06,0.36,0.99,0.98,1.26,1550707200,0,10.003,273,1.34
2,-0.42,0.27,-0.42,1.0,-0.42,1550710800,0,10.003,270,1.0
3,-3.06,0.27,-0.42,1.0,-0.42,1550714400,0,9.383,221,2.09
4,-1.03,0.44,-1.03,1.0,-1.03,1550718000,0,9.07,30,0.65
5,-1.03,0.58,-1.03,1.0,-1.03,1550721600,0,8.142,0,0.34
6,-3.46,0.44,-1.74,1.0,-1.74,1550725200,0,5.383,148,1.34
7,-3.78,0.36,-1.03,1.0,-1.03,1550728800,0,7.449,210,2.09
8,-2.06,0.19,-2.06,1.0,-2.06,1550732400,0,7.986,251,0.31
9,0.64,0.36,0.01,0.96,0.64,1550736000,0,8.452,240,1.0
10,0.53,0.19,1.38,0.91,2.65,1550739600,1,9.383,260,2.09
11,4.84,0.19,2.37,0.76,6.34,1550743200,2,10.003,221,2.09
12,8.37,0.27,3.07,0.65,9.4,1550746800,2,10.003,156,2.15
13,11.33,0.27,4.07,0.61,11.33,1550750400,2,10.003,170,1.84
14,12.33,0.27,3.39,0.54,12.33,1550754000,2,10.003,292,2.31
15,12.64,0.44,4.07,0.56,12.64,1550757600,1,10.003,270,3.1
16,11.57,0.53,3.76,0.59,11.57,1550761200,1,10.003,344,3.6
17,11.26,0.36,4.07,0.61,11.26,1550764800,0,10.003,344,2.09
18,10.57,0.36,3.39,0.61,10.57,1550768400,0,10.003,337,2.6
19,8.58,0.44,2.69,0.67,8.58,1550772000,0,10.003,247,1.16
20,8.27,0.44,3.0,0.69,8.27,1550775600,0,10.003,320,0.5
21,6.18,0.53,3.7,0.8,6.96,1550779200,0,10.003,230,1.5
22,5.37,0.36,3.7,0.81,6.65,1550782800,0,10.003,243,1.91
23,6.0,0.75,3.7,0.78,7.33,1550786400,0,10.003,244,2.09
