,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,28.36,0.97,17.94,0.56,cloudy,294.8,0.064,0.07,rain,1014.8,Stark bewölkt,27.47,1597096800,0,16.093,68,5.98,2.66
1,27.88,0.9,18.38,0.6,cloudy,293.9,0.0161,0.03,rain,1015.1,Stark bewölkt,26.85,1597100400,0,16.093,55,5.21,2.77
2,26.5,0.84,18.72,0.64,partly-cloudy-night,292.9,0.0,0.0,,1015.3,Überwiegend bewölkt,26.17,1597104000,0,16.093,45,4.67,2.79
3,25.97,0.66,19.22,0.68,partly-cloudy-night,296.0,0.0,0.0,,1014.8,Überwiegend bewölkt,25.58,1597107600,0,16.093,54,5.83,2.89
4,25.26,0.44,18.82,0.69,partly-cloudy-night,294.9,0.0,0.0,,1014.4,Leicht bewölkt,24.91,1597111200,0,16.093,58,5.93,2.98
5,24.23,0.75,18.3,0.71,partly-cloudy-night,289.2,0.0,0.0,,1014.4,Überwiegend bewölkt,23.93,1597114800,0,16.093,58,5.16,2.91
6,24.77,0.18,18.49,0.69,clear-night,293.6,0.0,0.0,,1014.5,Klar,24.46,1597118400,0,16.093,63,5.69,3.0
7,24.81,0.15,18.55,0.7,clear-day,293.4,0.0,0.0,,1015.1,Klar,24.49,1597122000,0,16.093,64,5.37,3.03
8,25.31,0.15,18.54,0.67,clear-day,293.3,0.0069,0.01,rain,1015.5,Klar,25.0,1597125600,1,16.093,65,5.01,3.0
9,26.4,0.13,18.16,0.62,clear-day,291.5,0.0,0.0,,1016.0,Klar,26.13,1597129200,2,16.093,70,4.51,2.89
10,28.52,0.14,17.97,0.56,clear-day,291.1,0.0051,0.02,rain,1016.2,Klar,27.64,1597132800,3,16.093,79,4.2,2.83
11,29.74,0.14,17.69,0.5,clear-day,290.8,0.0083,0.02,rain,1016.3,Klar,29.02,1597136400,5,16.093,86,3.92,2.65
12,30.83,0.15,17.41,0.46,clear-day,290.7,0.0051,0.02,rain,1016.2,Klar,30.27,1597140000,6,16.093,89,3.63,2.56
13,32.03,0.14,17.08,0.42,clear-day,290.4,0.0,0.0,,1016.0,Klar,31.6,1597143600,7,16.093,93,3.37,2.5
14,32.89,0.14,16.66,0.38,clear-day,290.4,0.0,0.0,,1015.8,Klar,32.62,1597147200,7,16.093,95,3.16,2.5
15,33.95,0.26,15.39,0.33,clear-day,295.7,0.0,0.0,,1015.3,Klar,33.95,1597150800,6,16.093,78,2.28,1.64
16,34.62,0.44,14.73,0.3,partly-cloudy-day,296.3,0.0,0.0,,1014.8,Leicht bewölkt,34.62,1597154400,4,16.093,83,2.06,1.83
17,34.48,0.59,14.73,0.31,partly-cloudy-day,295.6,0.0,0.0,,1014.2,Leicht bewölkt,34.48,1597158000,3,16.093,99,2.28,2.28
18,33.91,0.64,15.23,0.33,partly-cloudy-day,292.4,0.062,0.06,rain,1014.0,Überwiegend bewölkt,33.91,1597161600,1,16.093,82,3.34,2.56
19,32.6,0.65,15.52,0.36,partly-cloudy-day,287.6,0.268,0.13,rain,1014.0,Überwiegend bewölkt,32.6,1597165200,1,15.41,47,4.63,3.08
20,31.28,0.68,16.37,0.41,partly-cloudy-day,284.3,0.6379,0.2,rain,1014.2,Überwiegend bewölkt,31.16,1597168800,0,11.541,30,5.61,3.33
21,30.14,0.79,15.79,0.42,partly-cloudy-night,290.4,0.987,0.21,rain,1014.7,Überwiegend bewölkt,30.14,1597172400,0,13.277,89,5.41,3.31
22,28.63,0.88,16.81,0.5,cloudy,288.7,0.6881,0.23,rain,1015.3,Stark bewölkt,28.14,1597176000,0,16.093,101,3.49,2.94
23,26.63,0.96,17.67,0.59,cloudy,287.9,0.4441,0.23,rain,1015.8,Stark bewölkt,26.41,1597179600,0,16.093,108,2.62,2.59
