,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipAccumulation,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,-3.16,0.79,-3.17,0.77,partly-cloudy-night,427.3,0.14,0.1813,0.15,snow,1007.0,Überwiegend bewölkt,0.39,1580252400,0,16.093,242,11.32,3.15
1,-3.2,0.83,-2.96,0.79,partly-cloudy-night,427.7,0.2333,0.2977,0.19,snow,1006.7,Überwiegend bewölkt,0.33,1580256000,0,16.093,231,11.17,3.11
2,-3.29,0.89,-1.79,0.81,snow,426.5,0.2109,0.3717,0.28,snow,1006.3,Leichter Schneefall möglich,1.1,1580259600,0,11.885,204,12.71,4.55
3,-3.86,0.95,-1.84,0.79,snow,420.6,0.2086,0.4,0.31,snow,1006.7,Leichter Schneefall möglich,1.39,1580263200,0,8.425,293,14.95,6.36
4,-4.92,1.0,-2.13,0.8,snow,415.2,0.3343,0.4833,0.32,snow,1007.4,Schneefall,0.94,1580266800,0,6.295,268,16.35,7.5
5,-5.26,1.0,-2.68,0.78,snow,411.5,0.35,0.4651,0.3,snow,1008.4,Schneefall,0.66,1580270400,0,6.002,187,16.08,7.47
6,-5.64,1.0,-3.42,0.77,cloudy,408.5,0.3161,0.3749,0.22,snow,1009.8,Stark bewölkt,0.17,1580274000,0,6.36,325,14.98,6.87
7,-5.74,0.99,-3.75,0.77,cloudy,404.2,0.0094,0.0104,0.07,snow,1010.9,Stark bewölkt,-0.27,1580277600,0,9.099,276,13.09,5.88
8,-5.35,0.93,-3.67,0.77,cloudy,402.2,0.0046,0.0052,0.08,snow,1011.5,Stark bewölkt,-0.1,1580281200,0,12.745,347,12.33,5.56
9,-4.71,0.84,-3.45,0.76,partly-cloudy-day,400.5,0.0056,0.0068,0.1,snow,1012.0,Überwiegend bewölkt,0.35,1580284800,0,16.093,169,11.75,5.4
10,-4.09,0.79,-3.26,0.74,partly-cloudy-day,397.2,0.0125,0.0167,0.11,snow,1012.6,Überwiegend bewölkt,0.82,1580288400,0,16.093,259,11.55,5.37
11,-3.21,0.8,-3.16,0.71,partly-cloudy-day,390.8,0.0348,0.056,0.15,snow,1012.7,Überwiegend bewölkt,1.58,1580292000,1,16.093,267,11.97,5.52
12,-2.35,0.84,-2.85,0.69,partly-cloudy-day,382.7,0.0822,0.1732,0.22,snow,1012.8,Überwiegend bewölkt,2.35,1580295600,1,16.093,268,12.78,5.74
13,-1.73,0.87,-2.18,0.72,snow,374.8,0.1669,0.3393,0.39,snow,1012.8,Leichter Schneefall möglich,2.33,1580299200,1,16.093,262,12.16,4.5
14,-1.28,0.87,-1.71,0.72,rain,371.6,,0.3,0.39,rain,1012.7,Leichter Regen möglich,2.79,1580302800,1,14.762,232,12.8,4.73
15,-1.89,0.87,-1.39,0.75,rain,370.5,,0.2585,0.41,rain,1012.7,Leichter Regen möglich,2.51,1580306400,0,11.672,307,13.62,5.21
16,-3.39,0.86,-1.09,0.83,snow,369.4,0.1751,0.2839,0.47,snow,1013.0,Leichter Schneefall möglich,1.47,1580310000,0,10.185,268,14.23,5.59
17,-3.6,0.87,-1.06,0.84,snow,368.5,0.1593,0.2762,0.48,snow,1014.1,Leichter Schneefall möglich,1.36,1580313600,0,11.546,219,14.53,5.75
18,-3.52,0.89,-0.88,0.85,snow,367.7,0.1229,0.2368,0.44,snow,1015.4,Leichter Schneefall möglich,1.44,1580317200,0,14.511,327,14.64,5.8
19,-3.29,0.89,-0.86,0.85,cloudy,364.0,0.0249,0.0491,0.14,snow,1016.7,Stark bewölkt,1.44,1580320800,0,16.093,278,13.68,5.32
20,-3.27,0.86,-1.03,0.84,partly-cloudy-night,359.3,0.0187,0.04,0.13,snow,1017.5,Überwiegend bewölkt,1.39,1580324400,0,16.093,295,13.54,5.18
21,-3.16,0.82,-1.18,0.83,partly-cloudy-night,353.3,0.018,0.041,0.13,snow,1018.1,Überwiegend bewölkt,1.41,1580328000,0,16.093,241,13.4,5.01
22,-3.13,0.8,-1.35,0.82,partly-cloudy-night,347.6,0.0239,0.052,0.14,snow,1018.7,Überwiegend bewölkt,1.34,1580331600,0,16.093,268,13.19,4.79
23,-2.97,0.8,-1.38,0.82,partly-cloudy-night,342.8,0.0219,0.0502,0.14,snow,1019.3,Überwiegend bewölkt,1.33,1580335200,0,16.093,319,12.82,4.5
