,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,6.38,0.0,5.32,0.93,clear-night,331.7,0.0,0.0,,1023.7,Klar,6.38,1579215600,0,16.093,115,1.26,0.9
1,6.07,0.0,4.83,0.92,clear-night,333.3,0.0,0.0,,1023.2,Klar,6.07,1579219200,0,16.093,114,1.2,0.72
2,5.64,0.14,4.81,0.94,clear-night,331.3,0.0,0.0,,1023.3,Klar,5.64,1579222800,0,16.093,149,1.38,0.66
3,5.1,0.32,4.41,0.95,partly-cloudy-night,329.7,0.0062,0.03,rain,1022.9,Leicht bewölkt,5.1,1579226400,0,16.093,149,1.34,0.68
4,4.58,0.43,4.03,0.96,partly-cloudy-night,328.9,0.0094,0.04,rain,1022.3,Leicht bewölkt,4.58,1579230000,0,16.093,145,1.37,0.79
5,4.0,0.41,3.57,0.97,partly-cloudy-night,329.5,0.0051,0.02,rain,1022.3,Leicht bewölkt,4.0,1579233600,0,16.093,145,1.34,1.0
6,3.34,0.32,3.1,0.98,partly-cloudy-night,330.7,0.0,0.0,,1021.9,Leicht bewölkt,3.34,1579237200,0,16.093,150,1.41,1.25
7,1.84,0.25,2.79,0.97,clear-night,331.6,0.0,0.0,,1021.3,Klar,3.18,1579240800,0,16.093,158,1.88,1.52
8,1.56,0.34,2.31,0.94,partly-cloudy-night,333.4,0.0,0.0,,1021.0,Leicht bewölkt,3.18,1579244400,0,16.093,162,2.87,1.73
9,1.54,0.49,2.38,0.93,partly-cloudy-day,333.1,0.0051,0.03,rain,1020.7,Leicht bewölkt,3.42,1579248000,0,16.093,173,4.64,1.99
10,1.81,0.64,2.87,0.93,partly-cloudy-day,333.7,0.0094,0.03,rain,1020.1,Überwiegend bewölkt,3.96,1579251600,0,16.093,181,5.97,2.34
11,3.07,0.68,3.55,0.89,partly-cloudy-day,336.0,0.0,0.0,,1019.9,Überwiegend bewölkt,5.16,1579255200,0,16.093,185,6.32,2.52
12,4.48,0.71,3.98,0.84,partly-cloudy-day,339.3,0.0,0.0,,1019.4,Überwiegend bewölkt,6.45,1579258800,1,16.093,187,6.23,2.68
13,5.66,0.74,4.22,0.79,partly-cloudy-day,341.9,0.0,0.0,,1019.0,Überwiegend bewölkt,7.6,1579262400,1,16.093,191,6.01,2.95
14,6.34,0.82,4.69,0.78,partly-cloudy-day,345.0,0.0121,0.09,rain,1018.3,Überwiegend bewölkt,8.25,1579266000,1,16.093,198,7.23,3.11
15,7.75,0.97,5.54,0.77,cloudy,348.5,0.0486,0.08,rain,1017.8,Stark bewölkt,9.3,1579269600,0,16.093,203,8.91,2.87
16,7.4,0.99,5.78,0.8,cloudy,353.3,0.1016,0.15,rain,1017.3,Stark bewölkt,9.03,1579273200,0,16.093,209,10.03,2.91
17,7.23,0.99,5.88,0.81,cloudy,360.9,0.1165,0.22,rain,1017.8,Stark bewölkt,8.9,1579276800,0,16.093,215,10.02,2.93
18,7.22,0.99,6.31,0.84,rain,369.7,0.2106,0.4,rain,1018.2,Nieselregen möglich,8.83,1579280400,0,16.093,216,9.48,2.82
19,7.31,0.99,6.46,0.85,rain,376.7,0.2449,0.43,rain,1018.6,Leichter Regen möglich,8.84,1579284000,0,16.093,217,9.12,2.71
20,6.88,0.97,5.96,0.84,rain,377.2,0.2176,0.41,rain,1019.1,Nieselregen möglich,8.57,1579287600,0,16.093,225,9.36,2.86
21,6.19,0.98,5.83,0.86,cloudy,380.3,0.0244,0.11,rain,1019.5,Stark bewölkt,8.1,1579291200,0,16.093,239,9.73,3.06
22,5.56,0.73,5.33,0.86,partly-cloudy-night,382.3,0.0099,0.07,rain,1020.7,Überwiegend bewölkt,7.52,1579294800,0,16.093,252,9.89,2.96
23,5.09,0.92,4.11,0.81,cloudy,382.5,0.0097,0.06,rain,1020.8,Stark bewölkt,7.2,1579298400,0,16.093,251,9.66,3.1
