,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipAccumulation,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,-5.56,0.9,-3.66,0.8,cloudy,417.6,0.0667,0.0685,0.08,snow,1011.7,Stark bewölkt,-0.71,1582758000,0,5.817,240,11.79,4.59
1,-5.75,0.89,-3.72,0.8,cloudy,411.0,0.0725,0.0739,0.07,snow,1011.9,Stark bewölkt,-0.76,1582761600,0,5.255,262,11.78,4.81
2,-5.88,0.86,-3.78,0.8,partly-cloudy-night,402.0,0.141,0.1425,0.11,snow,1012.0,Überwiegend bewölkt,-0.85,1582765200,0,7.981,258,11.24,4.85
3,-5.68,0.83,-3.68,0.81,partly-cloudy-night,391.6,0.121,0.1239,0.09,snow,1011.9,Überwiegend bewölkt,-0.75,1582768800,0,16.093,251,11.2,4.7
4,-5.93,0.78,-3.89,0.81,partly-cloudy-night,383.1,0.096,0.0954,0.08,snow,1011.9,Überwiegend bewölkt,-1.04,1582772400,0,16.093,246,11.22,4.53
5,-6.13,0.7,-4.27,0.81,partly-cloudy-night,377.7,0.0607,0.0583,0.07,snow,1011.9,Überwiegend bewölkt,-1.41,1582776000,0,16.093,241,11.43,4.14
6,-6.3,0.6,-4.66,0.81,partly-cloudy-night,374.3,0.0361,0.0334,0.05,snow,1011.9,Überwiegend bewölkt,-1.86,1582779600,0,16.093,232,11.72,3.66
7,-6.02,0.56,-4.75,0.81,partly-cloudy-night,369.8,0.0144,0.0133,0.02,snow,1011.3,Leicht bewölkt,-1.86,1582783200,0,16.093,223,11.15,3.32
8,-5.36,0.67,-4.56,0.78,partly-cloudy-day,369.2,0.0063,0.0062,0.02,snow,1010.5,Überwiegend bewölkt,-1.27,1582786800,0,16.093,218,10.42,3.38
9,-4.43,0.85,-4.24,0.75,partly-cloudy-day,370.4,,0.0,0.0,,1009.2,Überwiegend bewölkt,-0.34,1582790400,0,16.093,215,9.45,3.63
10,-3.7,0.98,-4.01,0.72,cloudy,371.2,,0.0,0.0,,1008.1,Stark bewölkt,0.4,1582794000,1,16.093,209,8.87,3.88
11,-3.21,1.0,-4.01,0.7,cloudy,370.8,0.0152,0.0198,0.15,snow,1006.3,Stark bewölkt,0.86,1582797600,1,16.093,200,8.96,3.97
12,-2.69,1.0,-3.82,0.69,cloudy,370.1,0.0679,0.0965,0.2,snow,1004.1,Stark bewölkt,1.34,1582801200,2,16.093,189,9.44,4.07
13,-2.74,0.99,-3.35,0.71,snow,359.6,0.1722,0.2267,0.29,snow,1001.9,Leichter Schneefall möglich,1.38,1582804800,2,16.093,176,8.84,4.22
14,-2.82,0.99,-3.5,0.69,snow,360.8,0.3781,0.5423,0.36,snow,1000.1,Schneefall,1.58,1582808400,2,11.988,168,9.9,4.78
15,-3.84,1.0,-2.75,0.76,snow,364.4,0.8898,1.1791,0.47,snow,997.7,Schneefall,1.03,1582812000,1,5.065,160,11.47,5.38
16,-5.73,1.0,-1.76,0.89,snow,368.9,1.6812,1.8769,0.51,snow,995.6,Schneefall,-0.16,1582815600,0,0.496,163,13.37,6.17
17,-4.99,1.0,-0.54,0.91,snow,374.0,1.5716,2.2157,0.65,snow,993.5,Schneefall,0.81,1582819200,0,1.176,198,15.9,7.27
18,-3.6,1.0,0.64,0.89,rain,380.0,,2.2965,0.7,rain,991.9,Regen und frische Brise,2.25,1582822800,0,3.167,244,18.77,8.57
19,-3.26,1.0,1.3,0.9,rain,386.8,,2.2114,0.7,rain,991.9,Regen und frische Brise,2.83,1582826400,0,4.462,247,20.91,9.9
20,-4.44,1.0,0.47,0.89,rain,396.7,,1.1358,0.64,rain,994.9,Regen und Sturm,2.09,1582830000,0,5.62,173,21.91,10.56
21,-6.42,1.0,-1.48,0.85,snow,408.2,0.7018,1.0431,0.6,snow,999.3,Schneefall und Sturm,0.7,1582833600,0,2.478,8,21.23,11.02
22,-7.83,1.0,-2.78,0.84,snow,412.3,0.9748,1.0681,0.48,snow,1003.3,Schneefall und frische Brise,-0.36,1582837200,0,0.131,284,20.1,11.03
23,-7.99,1.0,-3.08,0.84,snow,402.6,1.1086,1.1533,0.43,snow,1006.3,Schneefall und frische Brise,-0.66,1582840800,0,0.058,273,18.54,10.25
