,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,2.59,0.19,-1.69,0.59,5.64,1557784800,0,10.003,54,,4.11
1,3.26,0.19,-2.0,0.58,5.64,1557788400,0,10.003,60,,3.02
2,1.29,,-2.0,0.63,4.34,1557792000,0,10.003,43,,3.6
3,2.51,,-2.68,0.62,4.02,1557795600,0,10.003,42,,1.76
4,2.28,,-2.0,0.68,3.33,1557799200,0,10.003,25,,1.34
5,2.04,0.19,-2.0,0.68,3.33,1557802800,0,10.003,6,,1.5
6,-1.18,0.19,-2.0,0.77,1.64,1557806400,0,10.003,341,,2.6
7,1.28,0.19,-2.0,0.66,3.71,1557810000,0,10.003,341,,2.6
8,3.3,0.19,-1.01,0.62,5.72,1557813600,1,10.003,41,,3.1
9,5.21,0.19,-1.01,0.57,7.03,1557817200,2,10.003,48,,2.62
10,6.94,0.19,-0.61,0.51,9.02,1557820800,4,10.003,44,,3.72
11,10.02,0.19,-2.3,0.42,10.02,1557824400,6,10.003,31,,6.05
12,10.02,0.44,-1.63,0.44,10.02,1557828000,6,10.003,44,,5.44
13,10.33,0.75,-1.63,0.43,10.33,1557831600,5,10.003,47,,6.7
14,11.02,0.75,-2.25,0.39,11.02,1557835200,5,10.003,50,,6.54
15,10.64,0.75,-2.3,0.4,10.64,1557838800,5,10.003,30,,6.73
16,12.02,0.44,-1.32,0.4,12.02,1557842400,5,10.003,31,,6.05
17,11.02,0.44,-2.61,0.38,11.02,1557846000,3,10.003,25,,6.73
18,10.64,0.19,-2.92,0.39,10.64,1557849600,2,10.003,38,,6.54
19,6.85,0.19,-3.61,0.38,9.95,1557853200,1,10.003,30,11.3,7.08
20,6.62,0.44,-3.3,0.41,9.33,1557856800,0,10.003,30,,5.36
21,4.67,0.19,-2.3,0.49,7.65,1557860400,0,10.003,27,,4.94
22,4.26,0.19,-1.32,0.57,6.72,1557864000,0,10.003,32,,3.48
23,2.09,0.19,-0.31,0.66,5.64,1557867600,0,10.003,60,,5.1
