,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipAccumulation,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,-12.69,0.17,-11.4,0.73,clear-night,334.5,,0.0,0.0,,1008.6,Klar,-7.32,1612911600,0,16.093,37,6.35,3.37
1,-13.19,0.17,-11.79,0.73,clear-night,334.9,,0.0,0.0,,1007.6,Klar,-7.77,1612915200,0,16.093,42,6.72,3.33
2,-13.59,0.3,-12.17,0.71,clear-night,336.2,,0.0,0.0,,1007.2,Klar,-7.83,1612918800,0,16.093,40,6.47,3.65
3,-14.26,0.42,-12.67,0.71,partly-cloudy-night,336.9,,0.0,0.0,,1006.6,Leicht bewölkt,-8.39,1612922400,0,16.093,38,6.41,3.65
4,-14.99,0.89,-12.94,0.73,cloudy,337.5,,0.0,0.0,,1006.3,Stark bewölkt,-8.99,1612926000,0,16.093,38,6.48,3.64
5,-15.59,0.9,-13.33,0.73,cloudy,337.9,,0.0,0.0,,1006.6,Stark bewölkt,-9.4,1612929600,0,16.093,39,6.81,3.75
6,-15.93,0.91,-13.61,0.72,cloudy,341.2,,0.0,0.0,,1007.1,Stark bewölkt,-9.59,1612933200,0,16.093,39,7.25,3.86
7,-14.64,0.78,-11.84,0.78,partly-cloudy-night,342.8,0.033,0.0184,0.01,snow,1007.1,Überwiegend bewölkt,-8.72,1612936800,0,16.093,38,6.43,3.62
8,-14.31,0.92,-12.07,0.75,cloudy,349.3,0.0474,0.0271,0.01,snow,1007.4,Stark bewölkt,-8.37,1612940400,0,16.093,39,6.52,3.73
9,-14.31,0.95,-12.34,0.72,cloudy,351.8,0.0635,0.0366,0.01,snow,1008.0,Stark bewölkt,-8.21,1612944000,0,16.093,37,6.62,3.93
10,-13.45,0.95,-12.13,0.7,cloudy,354.7,0.0726,0.0438,0.02,snow,1008.7,Stark bewölkt,-7.54,1612947600,0,16.093,39,6.39,3.89
11,-12.24,0.83,-11.11,0.7,partly-cloudy-day,359.1,0.0738,0.0476,0.02,snow,1009.3,Überwiegend bewölkt,-6.53,1612951200,1,16.093,40,6.05,3.92
12,-11.24,0.8,-10.12,0.7,partly-cloudy-day,363.1,0.0639,0.046,0.02,snow,1009.9,Überwiegend bewölkt,-5.59,1612954800,1,16.093,38,6.33,4.12
13,-10.85,0.71,-9.9,0.69,partly-cloudy-day,368.8,,0.0,0.0,,1010.7,Überwiegend bewölkt,-5.16,1612958400,1,16.093,32,6.88,4.28
14,-8.97,0.54,-9.84,0.62,partly-cloudy-day,367.8,,0.0,0.0,,1011.0,Leicht bewölkt,-3.7,1612962000,1,16.093,26,6.93,4.19
15,-8.41,0.8,-9.28,0.62,partly-cloudy-day,359.0,,0.0,0.0,,1011.4,Überwiegend bewölkt,-3.11,1612965600,1,16.093,29,7.36,4.41
16,-8.58,0.9,-8.97,0.65,cloudy,361.6,,0.0,0.0,,1012.3,Stark bewölkt,-3.25,1612969200,0,16.093,31,7.28,4.41
17,-8.67,0.6,-9.01,0.66,partly-cloudy-day,364.5,,0.0,0.0,,1013.4,Überwiegend bewölkt,-3.65,1612972800,0,16.093,27,7.39,3.87
18,-8.83,0.34,-8.97,0.7,partly-cloudy-night,363.1,,0.0,0.0,,1014.7,Leicht bewölkt,-4.4,1612976400,0,16.093,24,6.64,3.04
19,-9.04,0.35,-8.83,0.74,partly-cloudy-night,355.2,0.0657,0.0491,0.02,snow,1015.8,Leicht bewölkt,-4.86,1612980000,0,14.178,17,6.76,2.72
20,-8.82,0.15,-8.42,0.77,clear-night,369.9,0.0694,0.0512,0.01,snow,1016.5,Klar,-5.05,1612983600,0,13.745,14,6.45,2.35
21,-8.55,0.19,-8.47,0.77,clear-night,389.3,0.0586,0.0429,0.01,snow,1017.6,Klar,-5.13,1612987200,0,13.569,16,6.2,2.08
22,-8.59,0.46,-8.55,0.78,partly-cloudy-night,395.9,0.0537,0.0385,0.01,snow,1018.7,Leicht bewölkt,-5.38,1612990800,0,14.017,14,5.92,1.91
23,-8.02,0.61,-8.88,0.77,partly-cloudy-night,396.0,0.0663,0.0473,0.01,snow,1020.1,Überwiegend bewölkt,-5.4,1612994400,0,14.498,9,5.34,1.56
