,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,13.64,0.0,10.41,0.81,13.64,1560376800,0,10.003,161,,1.49
1,12.64,0.0,9.83,0.83,12.64,1560380400,0,10.003,260,,0.87
2,12.22,0.0,9.83,0.85,12.22,1560384000,0,10.003,61,,1.85
3,11.22,0.75,9.83,0.91,11.22,1560387600,0,10.003,62,,1.94
4,11.63,0.52,9.83,0.89,11.63,1560391200,0,10.003,131,,0.21
5,12.64,0.66,10.41,0.86,12.64,1560394800,0,10.003,36,,1.75
6,11.63,0.19,10.41,0.92,11.63,1560398400,0,10.003,275,,1.64
7,13.64,0.19,11.41,0.86,13.64,1560402000,0,10.003,240,,0.62
8,15.05,0.08,11.83,0.81,15.05,1560405600,1,10.003,200,,1.28
9,17.05,0.08,10.41,0.65,17.05,1560409200,3,10.003,209,,2.51
10,18.12,0.19,10.99,0.63,18.12,1560412800,4,10.003,210,,4.6
11,19.64,0.08,9.99,0.54,19.64,1560416400,6,10.003,210,,3.72
12,20.81,0.52,10.58,0.52,20.81,1560420000,6,10.003,207,,4.68
13,21.23,0.19,9.99,0.49,21.23,1560423600,8,10.003,216,,4.31
14,22.64,0.52,10.58,0.46,22.64,1560427200,6,10.003,200,,4.22
15,22.39,0.52,9.99,0.45,22.39,1560430800,6,10.003,232,,4.31
16,23.22,0.19,8.42,0.39,23.22,1560434400,6,10.003,228,8.8,4.6
17,23.63,0.44,8.42,0.38,23.63,1560438000,4,10.003,217,,5.25
18,23.63,0.0,6.41,0.33,23.63,1560441600,2,10.003,243,8.8,5.91
19,23.63,0.0,6.99,0.34,23.63,1560445200,1,10.003,245,,3.52
20,22.64,0.08,7.41,0.38,22.64,1560448800,0,10.003,247,,4.27
21,20.23,0.0,7.82,0.45,20.23,1560452400,0,10.003,269,,2.09
22,17.4,0.0,8.42,0.56,17.4,1560456000,0,10.003,354,,2.89
23,17.22,0.0,9.0,0.58,17.22,1560459600,0,10.003,28,,2.73
