,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windSpeed
0,5.64,,2.07,0.78,5.64,1553382000,0.0,10.003,268.0,0.5
1,2.96,,0.69,0.85,2.96,1553385600,0.0,10.003,251.0,0.5
2,2.96,,0.69,0.85,2.96,1553389200,0.0,10.003,264.0,0.5
3,1.95,,1.38,0.96,1.95,1553392800,0.0,8.625,161.0,1.0
4,1.64,,1.06,0.96,1.64,1553396400,0.0,6.206,20.0,0.15
5,2.34,0.44,1.75,0.96,2.34,1553400000,0.0,6.206,270.0,0.5
6,0.64,0.44,0.64,1.0,0.64,1553403600,0.0,5.864,176.0,0.5
7,0.34,0.36,-0.24,0.96,0.34,1553407200,0.0,4.277,,0.0
8,0.36,0.36,0.37,0.91,1.64,1553410800,1.0,4.691,96.0,1.35
9,4.64,0.36,2.37,0.85,4.64,1553414400,2.0,5.587,230.0,0.5
10,7.65,0.19,4.07,0.78,7.65,1553418000,3.0,6.553,341.0,1.0
11,11.65,,4.38,0.61,11.65,1553425200,,8.625,342.0,1.91
12,14.26,0.19,4.38,0.51,14.26,1553432400,4.0,9.31,319.0,2.6
13,14.19,,4.07,0.51,14.19,1553439600,,,,
14,12.89,0.19,4.07,0.55,12.89,1553443200,1.0,10.003,317.0,5.61
15,11.57,0.44,5.0,0.64,11.57,1553446800,0.0,9.691,324.0,6.58
16,7.88,0.19,5.0,0.71,9.95,1553450400,0.0,9.383,317.0,4.14
17,7.28,0.27,4.69,0.75,8.95,1553454000,0.0,9.383,289.0,2.95
18,6.33,0.19,4.01,0.76,7.96,1553457600,0.0,9.383,270.0,2.6
19,5.83,0.36,4.01,0.78,7.65,1553461200,0.0,9.07,286.0,2.79
20,5.35,0.58,3.7,0.78,7.33,1553464800,0.0,9.07,295.0,2.95
