,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipAccumulation,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,-3.07,0.95,-2.68,0.8,cloudy,354.4,0.0616,0.1151,0.05,snow,999.5,Stark bewölkt,0.4,1612738800,0,16.093,42,3.95,3.06
1,-3.95,0.97,-2.24,0.85,cloudy,350.2,0.1013,0.149,0.07,snow,999.2,Stark bewölkt,-0.08,1612742400,0,16.093,36,4.89,3.41
2,-4.65,0.97,-2.81,0.85,cloudy,350.5,,0.1081,0.05,rain,998.9,Stark bewölkt,-0.63,1612746000,0,16.093,38,5.39,3.46
3,-5.27,0.98,-3.28,0.85,cloudy,351.0,,0.1201,0.05,rain,998.9,Stark bewölkt,-1.0,1612749600,0,16.093,41,5.52,3.68
4,-5.81,0.98,-3.58,0.85,cloudy,352.2,0.0692,0.1281,0.05,snow,998.8,Stark bewölkt,-1.41,1612753200,0,9.262,42,5.32,3.73
5,-6.74,0.99,-4.13,0.86,cloudy,353.4,0.1097,0.1155,0.04,snow,999.0,Stark bewölkt,-2.04,1612756800,0,12.327,38,5.88,3.94
6,-7.77,0.98,-4.74,0.87,cloudy,357.3,0.0765,0.0839,0.04,snow,998.9,Stark bewölkt,-2.94,1612760400,0,9.244,38,5.85,3.84
7,-7.98,0.96,-5.23,0.86,cloudy,359.8,0.0618,0.0631,0.03,snow,999.1,Stark bewölkt,-3.26,1612764000,0,16.093,36,5.41,3.62
8,-8.11,0.96,-5.55,0.85,cloudy,364.2,0.0361,0.0365,0.03,snow,998.9,Stark bewölkt,-3.37,1612767600,0,16.093,39,5.27,3.61
9,-7.94,0.93,-5.91,0.81,cloudy,370.3,0.0248,0.0257,0.02,snow,999.2,Stark bewölkt,-3.14,1612771200,0,16.093,42,5.23,3.73
10,-7.94,0.94,-6.29,0.79,cloudy,372.3,0.0198,0.0201,0.02,snow,999.0,Stark bewölkt,-3.15,1612774800,0,16.093,40,5.2,3.73
11,-7.35,0.95,-6.25,0.77,cloudy,377.2,0.0326,0.0331,0.03,snow,999.0,Stark bewölkt,-2.73,1612778400,1,16.093,41,5.1,3.64
12,-6.67,0.95,-6.02,0.75,cloudy,380.3,0.0768,0.073,0.04,snow,998.8,Stark bewölkt,-2.12,1612782000,1,16.093,43,5.02,3.71
13,-5.76,0.96,-4.96,0.78,cloudy,377.9,0.1086,0.1043,0.1,snow,999.1,Stark bewölkt,-1.6,1612785600,1,12.335,47,4.48,3.39
14,-5.99,0.95,-5.19,0.77,cloudy,380.0,0.1176,0.1109,0.1,snow,998.7,Stark bewölkt,-1.77,1612789200,1,13.981,41,4.45,3.41
15,-5.7,0.94,-5.02,0.77,cloudy,382.0,0.0739,0.072,0.08,snow,998.7,Stark bewölkt,-1.48,1612792800,1,16.093,41,4.64,3.48
16,-6.05,0.93,-4.95,0.79,cloudy,382.2,0.0491,0.0466,0.07,snow,998.8,Stark bewölkt,-1.83,1612796400,0,16.093,39,4.78,3.38
17,-6.03,0.96,-5.29,0.77,cloudy,381.5,0.0504,0.048,0.06,snow,999.3,Stark bewölkt,-1.86,1612800000,0,16.093,36,5.06,3.33
18,-6.56,0.94,-5.65,0.79,cloudy,375.6,0.0589,0.0535,0.06,snow,999.8,Stark bewölkt,-2.43,1612803600,0,12.544,35,4.93,3.14
19,-7.07,0.98,-5.45,0.83,cloudy,365.7,0.0523,0.0455,0.06,snow,1000.6,Stark bewölkt,-2.93,1612807200,0,3.943,33,5.03,3.04
20,-7.01,0.97,-5.37,0.83,cloudy,359.6,0.048,0.042,0.04,snow,1000.9,Stark bewölkt,-2.93,1612810800,0,3.39,31,4.99,2.99
21,-7.31,0.88,-5.87,0.82,cloudy,355.3,0.0308,0.0262,0.03,snow,1001.3,Stark bewölkt,-3.27,1612814400,0,6.795,31,4.96,2.88
22,-7.51,0.91,-6.65,0.79,cloudy,351.5,0.0213,0.0178,0.02,snow,1001.6,Stark bewölkt,-3.58,1612818000,0,13.566,34,4.64,2.72
23,-8.1,0.88,-7.62,0.76,cloudy,349.2,0.0131,0.0106,0.01,snow,1002.1,Stark bewölkt,-3.97,1612821600,0,16.093,40,4.49,2.83
