,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,-9.27,0.0,-11.09,0.63,clear-night,373.0,0,0,1041.6,Klar,-5.09,1613257200,0,16.093,51,6.97,2.69
1,-9.32,0.0,-11.57,0.61,clear-night,359.8,0,0,1041.8,Klar,-5.19,1613260800,0,16.093,58,6.34,2.62
2,-9.9,0.01,-11.89,0.61,clear-night,355.2,0,0,1041.3,Klar,-5.47,1613264400,0,16.093,63,6.83,2.84
3,-10.11,0.01,-11.68,0.62,clear-night,356.3,0,0,1041.1,Klar,-5.51,1613268000,0,16.093,60,6.96,2.98
4,-10.69,0.02,-12.04,0.63,clear-night,354.9,0,0,1040.7,Klar,-6.05,1613271600,0,16.093,58,7.16,2.93
5,-11.53,0.02,-12.24,0.65,clear-night,353.5,0,0,1040.7,Klar,-6.84,1613275200,0,16.093,59,7.39,2.83
6,-12.18,0.08,-11.98,0.7,clear-night,359.1,0,0,1040.5,Klar,-7.39,1613278800,0,16.093,59,6.97,2.83
7,-11.67,0.05,-12.6,0.65,clear-night,358.1,0,0,1041.0,Klar,-7.15,1613282400,0,16.093,56,5.96,2.64
8,-11.66,0.0,-12.67,0.64,clear-day,358.2,0,0,1040.9,Klar,-7.02,1613286000,0,16.093,56,6.06,2.76
9,-11.31,0.0,-12.69,0.61,clear-day,356.8,0,0,1041.0,Klar,-6.37,1613289600,0,16.093,63,6.23,3.15
10,-10.42,0.0,-12.56,0.58,clear-day,355.6,0,0,1041.0,Klar,-5.52,1613293200,1,16.093,67,6.33,3.28
11,-8.12,0.0,-11.9,0.54,clear-day,355.2,0,0,1040.8,Klar,-3.88,1613296800,1,16.093,67,5.64,2.96
12,-5.87,0.0,-10.95,0.5,clear-day,352.3,0,0,1041.1,Klar,-1.97,1613300400,2,16.093,69,5.68,3.01
13,-4.05,0.01,-9.64,0.5,clear-day,354.3,0,0,1041.5,Klar,-0.45,1613304000,2,16.093,72,6.03,3.01
14,-1.45,0.67,-9.13,0.44,partly-cloudy-day,356.5,0,0,1040.7,Überwiegend bewölkt,1.71,1613307600,1,16.093,74,6.1,3.01
15,-0.76,0.67,-7.86,0.47,partly-cloudy-day,354.7,0,0,1040.0,Überwiegend bewölkt,2.24,1613311200,1,16.093,81,5.88,2.93
16,-2.54,0.5,-6.99,0.56,partly-cloudy-day,356.9,0,0,1039.1,Leicht bewölkt,0.84,1613314800,0,16.093,86,6.65,3.06
17,-3.76,0.56,-6.93,0.61,partly-cloudy-day,355.8,0,0,1038.9,Leicht bewölkt,-0.25,1613318400,0,16.093,87,7.64,2.96
18,-3.83,0.67,-6.88,0.62,partly-cloudy-night,357.3,0,0,1038.5,Überwiegend bewölkt,-0.55,1613322000,0,16.093,83,7.49,2.66
19,-4.49,0.57,-7.07,0.65,partly-cloudy-night,353.3,0,0,1038.3,Leicht bewölkt,-1.34,1613325600,0,16.093,82,7.77,2.39
20,-5.12,0.57,-7.05,0.67,partly-cloudy-night,353.9,0,0,1037.9,Leicht bewölkt,-1.82,1613329200,0,16.093,82,7.27,2.45
21,-5.61,0.73,-7.49,0.67,partly-cloudy-night,352.7,0,0,1037.5,Überwiegend bewölkt,-2.27,1613332800,0,16.093,79,5.58,2.41
22,-6.19,0.8,-8.57,0.64,partly-cloudy-night,354.4,0,0,1037.2,Überwiegend bewölkt,-2.8,1613336400,0,16.093,78,4.58,2.37
23,-6.69,0.82,-9.95,0.59,partly-cloudy-night,353.6,0,0,1037.1,Überwiegend bewölkt,-3.09,1613340000,0,16.093,85,5.64,2.5
