,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,4.15,0.88,4.98,0.82,rain,326.0,0.4114,0.4,rain,1015.3,Leichter Regen möglich,7.85,1580598000,0,16.093,258,16.5,7.09
1,3.95,0.85,4.92,0.83,rain,323.8,0.5758,0.39,rain,1015.9,Leichter Regen möglich,7.64,1580601600,0,16.093,260,16.01,6.86
2,4.2,0.77,4.83,0.83,partly-cloudy-night,325.9,0.2849,0.2,rain,1016.5,Überwiegend bewölkt,7.6,1580605200,0,16.093,260,16.05,5.98
3,3.92,0.67,4.64,0.83,partly-cloudy-night,326.8,0.1214,0.15,rain,1017.2,Überwiegend bewölkt,7.37,1580608800,0,16.093,260,15.36,5.94
4,3.72,0.62,4.46,0.83,partly-cloudy-night,326.9,0.0912,0.15,rain,1017.6,Überwiegend bewölkt,7.16,1580612400,0,16.093,257,14.71,5.77
5,3.8,0.63,4.37,0.83,partly-cloudy-night,325.3,0.0703,0.15,rain,1017.6,Überwiegend bewölkt,7.07,1580616000,0,16.093,251,14.08,5.29
6,3.74,0.68,4.06,0.83,partly-cloudy-night,323.2,0.0434,0.12,rain,1017.4,Überwiegend bewölkt,6.81,1580619600,0,16.093,245,13.46,4.69
7,3.7,0.74,4.06,0.84,partly-cloudy-night,321.2,0.0415,0.12,rain,1017.1,Überwiegend bewölkt,6.62,1580623200,0,16.093,238,13.07,4.3
8,4.09,0.83,4.44,0.85,partly-cloudy-day,318.4,0.0512,0.23,rain,1016.5,Überwiegend bewölkt,6.83,1580626800,0,16.093,230,11.59,4.02
9,4.32,0.93,4.9,0.85,rain,318.0,0.2186,0.52,rain,1015.8,Nieselregen möglich,7.22,1580630400,0,16.093,230,12.91,4.54
10,4.41,1.0,5.27,0.86,rain,317.9,0.4006,0.64,rain,1015.1,Leichter Regen möglich,7.48,1580634000,1,16.093,230,14.08,5.06
11,4.31,1.0,5.7,0.88,rain,318.1,0.4021,0.66,rain,1014.4,Leichter Regen,7.56,1580637600,1,16.093,229,14.72,5.55
12,4.6,1.0,6.46,0.9,rain,318.5,0.3273,0.62,rain,1013.6,Leichter Regen möglich,7.93,1580641200,1,16.093,228,15.21,6.06
13,5.01,1.0,7.06,0.91,rain,319.1,0.2877,0.58,rain,1012.9,Leichter Regen möglich,8.38,1580644800,1,16.093,229,15.85,6.53
14,6.56,1.0,7.81,0.88,rain,318.6,0.3004,0.51,rain,1011.7,Leichter Regen möglich,9.63,1580648400,1,16.093,239,16.6,6.67
15,10.15,1.0,8.62,0.9,rain,320.5,0.3553,0.51,rain,1011.5,Leichter Regen möglich und frische Brise,10.15,1580652000,1,16.093,256,17.61,7.29
16,10.49,1.0,9.19,0.92,rain,321.7,0.4145,0.49,rain,1011.7,Leichter Regen möglich und frische Brise,10.49,1580655600,0,16.093,255,18.15,7.59
17,10.55,1.0,9.21,0.91,rain,321.5,0.3711,0.45,rain,1012.4,Leichter Regen möglich und frische Brise,10.55,1580659200,0,16.093,201,17.95,7.38
18,10.6,1.0,9.08,0.9,rain,320.6,0.3117,0.43,rain,1013.5,Leichter Regen möglich,10.6,1580662800,0,16.093,312,17.28,6.9
19,10.44,1.0,9.03,0.91,rain,319.5,0.3528,0.51,rain,1014.4,Leichter Regen möglich,10.44,1580666400,0,16.093,268,16.43,6.46
20,10.29,1.0,8.81,0.91,rain,317.5,0.5746,0.68,rain,1014.8,Leichter Regen,10.29,1580670000,0,16.093,264,14.2,5.74
21,10.03,1.0,8.51,0.9,rain,316.5,1.3586,0.84,rain,1014.9,Regen,10.03,1580673600,0,11.397,267,13.97,5.77
22,6.96,1.0,7.98,0.89,rain,315.9,2.1446,0.86,rain,1015.1,Regen,9.68,1580677200,0,6.996,274,13.58,5.61
23,6.84,1.0,7.58,0.88,rain,316.0,2.1668,0.86,rain,1015.2,Regen,9.4,1580680800,0,6.405,246,12.6,5.0
