,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windSpeed
0,15.81,0.0,11.41,0.75,15.81,1560722400,0,10.003,341,0.87
1,13.64,0.0,11.41,0.86,13.64,1560726000,0,10.003,20,0.87
2,13.81,0.0,11.41,0.85,13.81,1560729600,0,10.003,356,2.44
3,13.23,0.0,10.82,0.85,13.23,1560733200,0,10.003,11,1.28
4,13.64,0.0,10.82,0.83,13.64,1560736800,0,10.003,0,1.08
5,13.05,0.0,10.82,0.86,13.05,1560740400,0,10.003,20,1.28
6,13.05,0.0,10.82,0.86,13.05,1560744000,0,10.003,80,0.87
7,14.64,0.0,12.41,0.87,14.64,1560747600,0,10.003,41,1.49
8,17.4,0.0,13.59,0.78,17.4,1560751200,1,10.003,46,1.96
9,19.81,0.0,14.0,0.69,19.81,1560754800,3,10.003,86,2.98
10,21.23,0.08,14.0,0.63,21.23,1560758400,4,10.003,105,2.89
11,22.64,0.08,13.59,0.57,22.64,1560762000,6,10.003,95,3.3
12,23.63,0.19,12.0,0.48,23.63,1560765600,7,10.003,87,3.81
13,24.63,0.08,12.59,0.47,24.63,1560769200,8,10.003,92,3.3
14,25.64,0.0,12.0,0.43,25.64,1560772800,9,10.003,96,3.6
15,26.64,0.19,12.0,0.4,26.64,1560776400,7,10.003,129,3.13
16,26.64,0.75,10.99,0.38,26.64,1560780000,4,10.003,110,4.51
17,27.21,0.75,11.58,0.38,27.21,1560787200,2,10.003,125,4.22
18,26.64,0.19,10.41,0.36,26.64,1560790800,1,10.003,104,4.31
19,26.23,0.0,10.99,0.39,26.23,1560794400,0,10.003,124,3.6
20,24.63,0.0,12.0,0.45,24.63,1560798000,0,10.003,140,1.96
21,23.22,0.0,12.41,0.51,23.22,1560801600,0,10.003,99,1.85
22,19.81,0.0,12.41,0.62,19.81,1560805200,0,10.003,41,2.09
