,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,18.15,0.7,9.92,0.59,partly-cloudy-night,299.4,0.0074,0.02,rain,1010.1,Überwiegend bewölkt,18.15,1598565600,0,16.093,153,4.56,1.91
1,17.78,0.71,9.79,0.59,partly-cloudy-night,300.2,0.0,0.0,,1009.3,Überwiegend bewölkt,17.78,1598569200,0,16.093,168,6.03,1.69
2,18.14,0.73,10.67,0.62,partly-cloudy-night,299.9,0.0056,0.04,rain,1008.2,Überwiegend bewölkt,18.14,1598572800,0,16.093,205,7.65,1.4
3,18.29,0.76,11.58,0.65,partly-cloudy-night,300.4,0.0282,0.05,rain,1007.4,Überwiegend bewölkt,18.29,1598576400,0,16.093,212,8.3,2.0
4,17.98,0.78,12.78,0.72,partly-cloudy-night,301.0,0.1065,0.13,rain,1006.9,Überwiegend bewölkt,17.98,1598580000,0,16.093,208,8.61,2.82
5,17.64,0.78,13.59,0.77,partly-cloudy-night,301.5,0.1836,0.17,rain,1006.5,Überwiegend bewölkt,17.64,1598583600,0,16.093,206,8.67,3.55
6,17.41,0.76,13.97,0.8,partly-cloudy-night,301.7,0.1837,0.19,rain,1006.4,Überwiegend bewölkt,17.41,1598587200,0,16.093,213,8.32,3.7
7,17.23,0.68,14.62,0.85,partly-cloudy-day,301.7,0.1634,0.23,rain,1006.5,Überwiegend bewölkt,17.23,1598590800,0,16.093,224,7.71,3.41
8,17.51,0.61,14.54,0.83,partly-cloudy-day,301.8,0.132,0.09,rain,1006.5,Überwiegend bewölkt,17.51,1598594400,0,16.093,224,6.49,3.2
9,18.31,0.58,14.59,0.79,partly-cloudy-day,300.9,0.0741,0.07,rain,1006.3,Leicht bewölkt,18.31,1598598000,1,16.093,223,5.8,3.44
10,19.49,0.53,14.21,0.72,partly-cloudy-day,299.9,0.0417,0.05,rain,1006.0,Leicht bewölkt,19.49,1598601600,2,16.093,223,5.18,3.76
11,20.52,0.53,13.67,0.65,partly-cloudy-day,299.7,0.0614,0.05,rain,1005.6,Leicht bewölkt,20.52,1598605200,3,16.093,222,5.07,4.06
12,21.49,0.56,12.92,0.58,partly-cloudy-day,301.1,0.0719,0.06,rain,1005.2,Leicht bewölkt,21.49,1598608800,4,16.093,222,5.84,4.38
13,22.24,0.62,12.26,0.53,partly-cloudy-day,303.5,0.0681,0.05,rain,1004.6,Überwiegend bewölkt,22.24,1598612400,4,16.093,221,7.11,4.73
14,23.14,0.68,11.77,0.49,partly-cloudy-day,305.2,0.0539,0.05,rain,1004.1,Überwiegend bewölkt,23.14,1598616000,4,16.093,221,8.17,5.0
15,23.51,0.76,10.96,0.45,partly-cloudy-day,305.3,0.0051,0.03,rain,1003.5,Überwiegend bewölkt,23.51,1598619600,4,16.093,212,7.57,4.77
16,24.11,0.87,10.26,0.42,partly-cloudy-day,304.3,0.0083,0.03,rain,1003.2,Überwiegend bewölkt,24.11,1598623200,3,16.093,222,7.35,4.87
17,22.51,0.95,9.62,0.44,cloudy,303.8,0.0094,0.03,rain,1003.0,Stark bewölkt,22.51,1598626800,2,16.093,228,7.38,4.89
18,22.33,0.96,9.3,0.43,cloudy,304.6,0.0051,0.03,rain,1002.9,Stark bewölkt,22.33,1598630400,1,16.093,233,7.8,4.59
19,21.83,0.94,9.19,0.44,cloudy,306.1,0.0,0.0,,1003.0,Stark bewölkt,21.83,1598634000,0,16.093,235,8.47,4.27
20,20.95,0.92,9.74,0.49,cloudy,308.3,0.0,0.0,,1003.0,Stark bewölkt,20.95,1598637600,0,16.093,226,8.32,3.56
21,20.0,0.83,9.79,0.52,partly-cloudy-night,309.9,0.0,0.0,,1003.2,Überwiegend bewölkt,20.0,1598641200,0,16.093,225,8.63,3.27
22,18.98,0.75,9.89,0.56,partly-cloudy-night,311.5,0.0,0.0,,1003.3,Überwiegend bewölkt,18.98,1598644800,0,16.093,226,8.87,3.17
23,17.91,0.67,9.85,0.59,partly-cloudy-night,313.0,0.0,0.0,,1003.5,Überwiegend bewölkt,17.91,1598648400,0,16.093,223,8.91,2.84
