,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windSpeed
0,16.26,0.19,9.31,0.63,16.26,1562277600,0,10.003,311.0,1.5
1,15.26,0.19,8.93,0.66,15.26,1562281200,0,10.003,288.0,1.76
2,14.26,0.19,9.62,0.74,14.26,1562284800,0,10.003,,0.0
3,13.26,0.19,9.31,0.77,13.26,1562288400,0,10.003,161.0,0.69
4,12.27,0.19,8.62,0.78,12.27,1562292000,0,10.003,341.0,0.34
5,11.26,0.19,9.31,0.88,11.26,1562295600,0,10.003,350.0,0.69
6,11.26,0.44,9.31,0.88,11.26,1562299200,0,10.003,131.0,0.34
7,11.96,0.44,9.31,0.84,11.96,1562302800,0,10.003,179.0,0.99
8,15.02,0.44,10.99,0.77,15.02,1562306400,1,10.003,221.0,1.5
9,17.03,0.44,10.3,0.65,17.03,1562310000,2,10.003,240.0,2.09
10,19.65,0.44,10.99,0.57,19.65,1562313600,4,10.003,230.0,2.6
11,20.27,0.44,11.69,0.58,20.27,1562317200,5,10.003,356.0,2.6
12,22.64,0.75,9.69,0.44,22.64,1562320800,5,10.003,293.0,2.25
13,23.64,0.44,9.0,0.39,23.64,1562324400,7,10.003,343.0,2.79
14,25.64,0.19,9.69,0.37,25.64,1562328000,8,10.003,281.0,3.1
15,26.34,0.19,9.38,0.34,26.34,1562331600,7,10.003,295.0,2.6
16,26.65,0.19,9.06,0.33,26.65,1562335200,6,10.003,348.0,4.32
17,26.96,0.19,8.38,0.31,26.96,1562338800,4,10.003,2.0,2.79
18,27.27,0.44,7.38,0.28,27.27,1562342400,2,10.003,325.0,4.11
19,26.65,0.44,8.07,0.31,26.65,1562346000,1,10.003,5.0,3.13
20,25.95,0.44,8.38,0.33,25.95,1562349600,0,10.003,319.0,2.95
21,23.57,0.44,9.0,0.4,23.57,1562353200,0,10.003,5.0,1.6
22,21.95,0.44,9.99,0.47,21.95,1562356800,0,10.003,134.0,1.34
23,19.27,0.44,10.99,0.59,19.27,1562360400,0,10.003,220.0,1.5
