,apparentTemperature,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windSpeed
0,8.98,1.38,0.58,9.26,1555711200,0.0,10.003,7.0,1.34
1,8.45,1.38,0.59,8.95,1555714800,0.0,10.003,332.0,1.5
2,7.96,1.38,0.63,7.96,1555718400,0.0,10.003,354.0,1.16
3,5.26,1.68,0.69,6.96,1555722000,0.0,10.003,329.0,2.44
4,5.23,0.69,0.69,5.95,1555725600,0.0,10.003,287.0,1.35
5,3.77,0.99,0.76,4.95,1555729200,0.0,10.003,294.0,1.6
6,5.64,0.01,0.67,5.64,1555732800,0.0,10.003,341.0,1.16
7,4.95,0.69,0.74,4.95,1555736400,,10.003,2.0,0.65
8,9.79,3.07,0.63,9.79,1555740000,,10.003,,0.0
9,10.72,2.37,0.56,10.72,1555743600,,10.003,90.0,1.04
10,13.02,3.7,0.53,13.02,1555747200,,10.003,66.0,3.13
11,15.71,3.7,0.45,15.71,1555750800,,10.003,69.0,3.44
12,17.4,3.7,0.4,17.4,1555754400,,10.003,83.0,4.14
13,18.72,3.31,0.36,18.72,1555758000,,10.003,65.0,5.21
14,19.72,1.61,0.3,19.72,1555761600,,10.003,63.0,4.75
15,20.34,1.61,0.29,20.34,1555765200,,10.003,90.0,4.94
16,21.33,0.69,0.25,21.33,1555768800,,10.003,101.0,4.6
17,21.33,0.99,0.26,21.33,1555772400,,10.003,90.0,4.94
18,20.65,-0.39,0.24,20.65,1555776000,,10.003,85.0,4.06
19,20.34,0.01,0.26,20.34,1555779600,,10.003,77.0,4.11
20,17.65,0.01,0.3,17.65,1555783200,,10.003,71.0,3.22
21,15.64,-1.01,0.32,15.64,1555786800,0.0,10.003,88.0,1.84
22,13.64,-0.31,0.38,13.64,1555790400,0.0,10.003,60.0,1.15
23,11.26,-0.61,0.44,11.26,1555794000,0.0,10.003,339.0,1.69
