,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windSpeed
0,11.22,0.0,7.41,0.77,11.22,1560031200,0,10.003,74.0,1.75
1,10.22,0.0,6.99,0.8,10.22,1560034800,0,10.003,11.0,1.5
2,9.23,0.0,6.41,0.83,9.23,1560038400,0,10.003,161.0,0.62
3,8.81,0.19,6.41,0.85,8.81,1560042000,0,10.003,,0.0
4,7.56,0.19,6.58,0.88,8.4,1560045600,0,10.003,79.0,1.75
5,7.22,0.0,5.82,0.91,7.22,1560049200,0,10.003,,0.0
6,7.56,0.0,6.99,0.88,8.81,1560052800,0,10.003,359.0,2.3
7,10.63,0.0,8.0,0.84,10.63,1560056400,0,10.003,30.0,1.08
8,13.64,0.0,8.59,0.72,13.64,1560060000,1,10.003,11.0,1.08
9,16.81,0.0,9.17,0.61,16.81,1560063600,3,10.003,11.0,1.28
10,18.81,0.0,7.82,0.49,18.81,1560067200,4,10.003,84.0,3.19
11,20.23,0.08,6.99,0.42,20.23,1560070800,6,10.003,60.0,3.1
12,21.64,0.19,6.41,0.37,21.64,1560074400,7,10.003,77.0,2.93
13,22.23,0.19,7.41,0.38,22.23,1560078000,8,10.003,58.0,4.11
14,23.63,0.19,8.42,0.38,23.63,1560081600,8,10.003,53.0,3.9
15,23.63,0.19,8.0,0.37,23.63,1560085200,7,10.003,52.0,3.92
16,24.22,0.44,8.0,0.36,24.22,1560088800,5,10.003,81.0,4.8
17,24.22,0.19,9.0,0.38,24.22,1560092400,4,10.003,105.0,3.01
18,24.22,0.0,9.0,0.38,24.22,1560096000,2,10.003,105.0,3.22
19,23.63,0.44,9.58,0.41,23.63,1560099600,1,10.003,86.0,4.11
20,23.22,0.19,9.58,0.42,23.22,1560103200,0,10.003,65.0,3.52
21,22.64,0.19,9.99,0.45,22.64,1560106800,0,10.003,60.0,3.72
22,22.05,0.19,9.99,0.46,22.05,1560110400,0,10.003,63.0,2.81
23,20.06,0.19,10.41,0.54,20.06,1560114000,0,10.003,109.0,2.6
