,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,0.36,0.08,0.99,0.85,3.22,1557007200,0,10.003,335,,3.01
1,-0.77,0.08,0.99,0.92,2.22,1557010800,0,10.003,336,,2.93
2,1.18,0.19,0.42,0.82,3.22,1557014400,0,10.003,330,,2.11
3,-0.35,0.0,0.01,0.83,2.63,1557018000,0,10.003,351,,3.01
4,-2.05,0.0,-0.41,0.85,1.8,1557021600,0,10.003,350,,3.98
5,-1.8,0.0,-0.41,0.88,1.4,1557025200,0,10.003,349,,2.98
6,-2.48,0.0,-0.82,0.88,0.98,1557028800,0,10.003,0,,3.19
7,-1.48,0.0,-0.41,0.85,1.8,1557032400,0,10.003,348,,3.19
8,1.09,0.0,0.99,0.83,3.64,1557036000,1,10.003,3,,2.73
9,5.64,0.08,0.99,0.72,5.64,1557039600,2,10.003,281,,0.62
10,5.82,0.44,0.16,0.61,7.22,1557043200,3,10.003,359,,2.15
11,4.77,0.77,0.59,0.61,7.64,1557046800,4,10.003,315,,4.68
12,5.31,0.62,0.16,0.59,7.64,1557050400,5,10.003,346,,3.6
13,6.66,0.62,-0.41,0.52,8.81,1557054000,5,10.003,357,,3.77
14,10.4,0.52,0.59,0.51,10.4,1557057600,6,10.003,353,,2.68
15,6.97,0.66,-0.41,0.51,9.23,1557061200,5,10.003,0,,4.19
16,10.22,0.66,-0.41,0.48,10.22,1557064800,4,10.003,350,,3.27
17,10.22,0.66,-0.82,0.46,10.22,1557068400,3,10.003,2,,3.43
18,10.63,0.66,0.16,0.48,10.63,1557072000,1,10.003,354,,2.6
19,7.35,0.66,0.75,0.56,9.05,1557075600,1,10.003,320,,3.03
20,6.22,0.62,2.17,0.66,8.05,1557079200,0,10.003,289,,2.93
21,6.35,0.77,3.0,0.72,7.64,1557082800,0,10.003,311,9.8,2.09
22,5.03,0.66,3.42,0.79,6.81,1557086400,0,10.003,305,,2.51
23,4.32,0.77,2.83,0.76,6.81,1557090000,0,10.003,330,,3.56
