,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,17.57,0.53,14.69,0.83,17.57,1562450400,0,10.003,248,,4.63
1,16.6,0.75,14.69,0.89,16.57,1562454000,0,8.625,281,,2.25
2,16.24,0.36,14.69,0.91,16.2,1562457600,0,10.003,230,,1.84
3,15.89,0.75,14.0,0.89,15.89,1562461200,0,10.003,260,,2.25
4,15.57,0.36,14.0,0.9,15.57,1562464800,0,10.003,270,,2.41
5,15.57,0.36,13.31,0.86,15.57,1562468400,0,10.003,280,,2.6
6,15.26,0.36,13.31,0.88,15.26,1562472000,0,10.003,230,,2.6
7,14.96,0.36,14.0,0.94,14.95,1562475600,0,10.003,186,,1.19
8,16.26,0.75,13.62,0.84,16.26,1562479200,1,10.003,246,10.8,3.25
9,16.33,0.75,14.0,0.86,16.33,1562482800,2,10.003,275,,3.25
10,17.03,0.36,13.31,0.79,17.03,1562486400,4,10.003,260,,2.31
11,17.71,0.53,13.62,0.77,17.71,1562490000,5,10.003,240,,3.1
12,18.98,0.75,15.31,0.79,18.96,1562493600,5,10.003,304,,4.06
13,19.27,0.75,14.31,0.73,19.27,1562497200,6,10.003,296,,3.41
14,20.96,0.53,13.62,0.63,20.96,1562500800,7,10.003,282,,3.91
15,20.96,0.36,13.31,0.62,20.96,1562504400,7,10.003,332,,5.24
16,21.64,0.53,13.0,0.58,21.64,1562508000,5,10.003,324,,4.9
17,20.96,0.53,12.38,0.58,20.96,1562511600,4,10.003,339,,4.14
18,19.88,0.36,12.07,0.61,19.88,1562515200,2,10.003,328,,6.24
19,18.58,0.36,11.38,0.63,18.58,1562518800,1,10.003,345,,4.58
20,17.57,0.36,12.69,0.73,17.57,1562522400,0,10.003,345,,3.13
21,17.27,0.36,12.0,0.71,17.27,1562526000,0,10.003,334,,3.3
22,16.26,0.36,12.0,0.76,16.26,1562529600,0,10.003,11,,1.35
23,15.95,0.53,12.69,0.81,15.95,1562533200,0,10.003,331,,2.26
