,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,1.09,1.0,-0.76,0.7,4.23,1546642800,0,10.003,260,,3.72
1,1.28,1.0,-0.35,0.72,4.23,1546646400,0,10.003,264,,3.43
2,0.69,1.0,0.23,0.75,4.23,1546650000,0,10.003,266,,4.4
3,0.06,0.9,0.83,0.81,3.82,1546653600,0,9.587,244,,4.6
4,-0.41,0.9,0.23,0.77,3.82,1546657200,0,10.003,251,,5.55
5,-1.25,0.9,1.25,0.87,3.22,1546660800,0,8.588,250,,5.76
6,-1.12,1.0,0.83,0.84,3.22,1546664400,0,10.003,244,,5.47
7,-0.27,1.0,0.83,0.81,3.82,1546668000,0,10.003,250,,5.26
8,-0.17,1.0,0.83,0.81,3.82,1546671600,0,10.003,248,,5.06
9,0.78,1.0,1.82,0.81,4.81,1546675200,0,10.003,248,,5.7
10,1.44,0.9,2.24,0.8,5.4,1546678800,0,10.003,249,8.21,5.91
11,3.4,0.9,2.24,0.73,6.81,1546682400,0,10.003,276,,5.45
12,4.69,0.9,1.67,0.63,8.23,1546686000,1,10.003,307,10.3,6.91
13,4.95,0.9,1.67,0.63,8.23,1546689600,1,10.003,311,10.8,6.12
14,4.69,0.9,1.67,0.63,8.23,1546693200,0,10.003,306,11.17,6.91
15,4.73,0.9,1.67,0.63,8.23,1546696800,0,10.003,300,10.92,6.79
16,4.17,0.9,2.24,0.69,7.64,1546700400,0,10.003,307,8.8,6.21
17,3.8,0.9,1.67,0.68,7.22,1546704000,0,10.003,305,,5.76
18,3.39,0.9,1.06,0.65,7.22,1546707600,0,10.003,311,8.8,6.91
19,3.45,0.9,1.06,0.65,7.22,1546711200,0,10.003,310,,6.74
20,3.53,0.9,1.67,0.68,7.22,1546714800,0,10.003,308,9.3,6.5
21,3.31,0.9,1.25,0.66,7.22,1546718400,0,10.003,310,12.9,7.17
22,4.02,0.75,1.25,0.66,7.22,1546722000,0,10.003,320,9.8,5.21
23,3.46,0.75,1.25,0.66,7.22,1546725600,0,10.003,322,12.25,6.7
