,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,-0.63,0.02,-3.98,0.78,clear-night,311.7,0,0,1039.2,Klar,-0.63,1579647600,0,16.093,2,0.78,0.74
1,-0.45,0.0,-2.98,0.83,clear-night,310.5,0,0,1039.4,Klar,-0.45,1579651200,0,16.093,359,0.72,0.63
2,-0.67,0.6,-3.33,0.82,partly-cloudy-night,307.7,0,0,1038.3,Überwiegend bewölkt,-0.67,1579654800,0,16.093,351,1.07,0.86
3,-1.51,0.64,-3.9,0.84,partly-cloudy-night,305.1,0,0,1037.7,Überwiegend bewölkt,-1.51,1579658400,0,16.093,19,1.66,1.15
4,-1.57,0.11,-4.21,0.82,clear-night,303.9,0,0,1037.0,Klar,-1.57,1579662000,0,16.093,26,2.02,1.27
5,-1.87,0.1,-4.5,0.82,clear-night,304.3,0,0,1036.8,Klar,-1.87,1579665600,0,16.093,19,1.8,1.13
6,-2.3,0.08,-4.78,0.83,clear-night,306.1,0,0,1036.7,Klar,-2.3,1579669200,0,16.093,9,1.29,0.9
7,-2.57,0.06,-4.93,0.84,clear-night,309.1,0,0,1036.9,Klar,-2.57,1579672800,0,16.093,359,0.99,0.72
8,-3.63,0.25,-5.85,0.85,clear-night,307.4,0,0,1037.1,Klar,-3.63,1579676400,0,16.093,55,1.35,0.85
9,-3.13,0.04,-5.6,0.83,clear-day,313.6,0,0,1037.2,Klar,-3.13,1579680000,0,16.093,209,1.37,0.9
10,-2.96,0.46,-5.31,0.84,partly-cloudy-day,318.3,0,0,1037.4,Leicht bewölkt,-2.96,1579683600,0,16.093,236,1.41,0.82
11,-1.03,0.02,-5.17,0.73,clear-day,320.3,0,0,1037.4,Klar,-1.03,1579687200,1,16.093,247,1.44,0.69
12,0.3,0.02,-4.81,0.69,clear-day,320.8,0,0,1037.4,Klar,0.3,1579690800,1,16.093,125,1.46,0.95
13,1.58,0.02,-4.8,0.63,clear-day,321.1,0,0,1037.1,Klar,1.58,1579694400,1,16.093,129,1.41,1.05
14,1.85,0.07,-5.34,0.59,clear-day,327.7,0,0,1037.1,Klar,1.85,1579698000,1,16.093,138,1.03,0.97
15,2.32,0.67,-5.49,0.56,partly-cloudy-day,327.6,0,0,1036.5,Überwiegend bewölkt,2.32,1579701600,0,16.093,172,0.79,0.77
16,1.11,0.75,-5.02,0.64,partly-cloudy-day,328.2,0,0,1036.2,Überwiegend bewölkt,1.11,1579705200,0,16.093,176,0.6,0.51
17,1.26,0.8,-4.99,0.63,partly-cloudy-night,330.5,0,0,1036.4,Überwiegend bewölkt,1.26,1579708800,0,16.093,68,0.62,0.58
18,1.04,0.83,-4.92,0.64,partly-cloudy-night,333.7,0,0,1036.8,Überwiegend bewölkt,1.04,1579712400,0,16.093,76,0.8,0.73
19,0.27,0.82,-6.81,0.59,partly-cloudy-night,329.4,0,0,1037.4,Überwiegend bewölkt,0.27,1579716000,0,16.093,72,1.01,0.74
20,0.42,0.83,-6.54,0.6,partly-cloudy-night,328.8,0,0,1037.3,Überwiegend bewölkt,0.42,1579719600,0,16.093,55,1.64,0.87
21,0.79,0.8,-6.19,0.6,partly-cloudy-night,327.9,0,0,1037.1,Überwiegend bewölkt,0.79,1579723200,0,16.093,39,2.44,0.99
22,0.88,0.8,-5.77,0.61,partly-cloudy-night,327.5,0,0,1037.0,Überwiegend bewölkt,0.88,1579726800,0,16.093,24,2.94,1.08
23,1.0,0.73,-5.68,0.61,partly-cloudy-night,328.6,0,0,1037.1,Überwiegend bewölkt,1.0,1579730400,0,16.093,30,2.77,1.21
