,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windSpeed
0,13.64,0,9.41,0.76,13.64,1568498400,0,7.07,340.0,1.75
1,13.81,0,9.41,0.75,13.81,1568502000,0,7.07,11.0,0.87
2,13.4,0,9.0,0.75,13.4,1568505600,0,10.003,358.0,1.5
3,11.22,0,8.42,0.83,11.22,1568509200,0,10.003,80.0,0.62
4,10.81,0,8.42,0.85,10.81,1568512800,0,10.003,350.0,0.87
5,10.81,0,9.0,0.89,10.81,1568516400,0,10.003,0.0,0.87
6,10.22,0,8.0,0.86,10.22,1568520000,0,10.003,11.0,0.62
7,10.63,0,8.0,0.84,10.63,1568523600,0,10.003,11.0,1.08
8,10.81,0,8.0,0.83,10.81,1568527200,0,10.003,11.0,0.62
9,14.22,0,9.58,0.74,14.22,1568530800,1,10.003,260.0,1.5
10,15.64,0,9.99,0.69,15.64,1568534400,2,10.003,,0.0
11,18.22,0,10.41,0.6,18.22,1568538000,3,10.003,221.0,0.62
12,21.23,0,10.99,0.52,21.23,1568541600,4,10.003,,0.0
13,23.22,0,12.0,0.49,23.22,1568545200,5,10.003,200.0,2.89
14,25.22,0,11.58,0.43,25.22,1568548800,5,10.003,216.0,2.16
15,26.23,0,11.41,0.4,26.23,1568552400,4,10.003,250.0,3.22
16,26.81,0,10.41,0.36,26.81,1568556000,3,10.003,239.0,2.72
17,27.21,0,10.41,0.35,27.21,1568559600,1,10.003,235.0,3.39
18,27.21,0,7.65,0.29,27.21,1568563200,1,10.003,248.0,3.9
19,25.81,0,8.31,0.33,25.81,1568566800,0,10.003,244.0,2.3
20,22.39,0,10.41,0.47,22.39,1568570400,0,10.003,338.0,2.37
21,19.99,0,10.99,0.56,19.99,1568574000,0,10.003,341.0,1.96
22,18.98,0,8.65,0.51,18.98,1568577600,0,10.003,333.0,3.39
23,17.99,0,6.65,0.47,17.99,1568581200,0,10.003,341.0,2.37
