,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,22.81,0.0,15.41,0.63,22.81,1566943200,0.0,10.003,101.0,,0.62
1,21.85,0.0,15.82,0.69,21.82,1566946800,0.0,10.003,90.0,,0.62
2,20.93,0.0,16.41,0.76,20.81,1566950400,0.0,10.003,80.0,,0.62
3,20.2,,16.0,0.77,20.12,1566954000,0.0,10.003,90.0,,2.09
4,19.23,,16.0,0.82,19.12,1566957600,0.0,10.003,210.0,,1.5
5,19.23,,16.0,0.82,19.12,1566961200,0.0,10.003,0.0,,1.5
6,19.23,,16.0,0.82,19.12,1566964800,0.0,10.003,,,
7,19.23,,16.0,0.82,19.12,1566968400,,10.003,,,
8,20.48,0.0,16.0,0.76,20.4,1566972000,0.0,10.003,210.0,,0.87
9,22.44,0.0,16.0,0.67,22.39,1566975600,1.0,10.003,191.0,,0.87
10,24.92,0.08,16.58,0.6,24.81,1566979200,2.0,10.003,186.0,,2.93
11,27.23,0.52,16.17,0.53,26.64,1566982800,3.0,10.003,200.0,,2.81
12,28.37,0.33,15.59,0.46,28.23,1566986400,5.0,10.003,215.0,,3.22
13,29.23,0.44,15.0,0.42,29.23,1566990000,5.0,10.003,243.0,,2.37
14,31.65,0.19,13.0,0.32,31.65,1566993600,6.0,10.003,260.0,,3.01
15,32.64,0.19,12.0,0.28,32.64,1566997200,5.0,10.003,252.0,,3.3
16,32.23,0.0,10.99,0.27,32.23,1567000800,4.0,10.003,246.0,7.7,3.63
17,32.23,0.33,11.58,0.28,32.23,1567004400,2.0,10.003,237.0,9.3,4.01
18,31.05,0.19,13.17,0.34,31.05,1567008000,1.0,10.003,293.0,,3.52
19,27.49,0.44,17.07,0.55,26.74,1567011600,0.0,10.003,242.0,,2.78
20,26.26,0.19,16.31,0.55,26.16,1567015200,0.0,10.003,281.0,,1.49
21,24.34,0.0,17.24,0.65,24.16,1567018800,0.0,10.003,346.0,,1.85
22,23.23,0.0,16.24,0.65,23.16,1567022400,0.0,10.003,240.0,,0.21
23,21.85,0.0,15.82,0.69,21.82,1567026000,0.0,10.003,150.0,,1.08
