,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,-3.98,0.75,-1.01,0.89,0.64,1546902000,0,8.763,222,,4.76
1,-3.98,0.75,-0.31,0.93,0.64,1546905600,0,8.11,218,,4.76
2,-3.54,0.75,-0.31,0.93,0.64,1546909200,0,8.763,219,,4.06
3,-4.55,0.36,-0.31,0.95,0.34,1546912800,0,8.049,221,,5.1
4,-4.98,0.75,-0.31,0.95,0.34,1546916400,0,7.986,224,10.3,5.9
5,-5.05,0.75,0.34,1.0,0.34,1546920000,0,8.142,230,10.8,6.06
6,-4.52,0.75,0.37,0.95,1.03,1546923600,0,7.076,224,11.3,6.83
7,-4.37,0.75,0.37,0.95,1.03,1546927200,0,6.608,230,11.3,6.48
8,-4.2,0.75,0.37,0.93,1.33,1546930800,0,7.83,229,14.4,6.98
9,-3.79,0.75,0.37,0.93,1.33,1546934400,0,8.763,234,,6.06
10,-3.63,0.75,1.33,1.0,1.33,1546938000,0,9.383,234,,5.72
11,-2.98,0.75,1.38,0.98,1.64,1546941600,1,10.003,234,,5.22
12,-1.49,0.44,1.38,0.89,3.02,1546945200,1,10.003,229,,5.72
13,-0.8,0.75,1.38,0.83,4.02,1546948800,1,10.003,252,,7.16
14,-1.15,0.53,0.69,0.79,4.02,1546952400,1,10.003,251,12.39,8.16
15,-1.94,0.75,0.69,0.83,3.33,1546956000,0,10.003,247,,7.85
16,-2.5,0.53,0.69,0.87,2.65,1546959600,0,10.003,245,11.8,6.98
17,-2.83,0.75,1.38,0.93,2.34,1546963200,0,10.003,248,,6.82
18,-3.23,0.75,1.38,0.93,2.34,1546966800,0,9.07,256,,7.85
19,-3.1,0.53,0.69,0.89,2.34,1546970400,0,8.763,256,,7.51
20,-3.97,0.53,0.69,0.91,2.03,1546974000,0,9.07,257,,8.8
21,-3.48,0.75,0.69,0.91,2.03,1546977600,0,8.452,257,,7.43
22,-3.85,0.75,0.01,0.87,2.03,1546981200,0,10.003,265,,8.46
23,-4.5,0.53,-0.7,0.86,1.33,1546984800,0,10.003,260,,7.74
