,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,10.5,1.0,6.84,0.78,rain,339.8,0.237,0.31,rain,1008.3,Leichter Regen möglich,10.5,1582585200,0,16.093,232,14.09,6.52
1,10.18,1.0,7.11,0.81,rain,341.9,0.376,0.39,rain,1007.6,Leichter Regen möglich,10.18,1582588800,0,16.093,231,13.43,6.31
2,10.04,1.0,6.45,0.78,rain,341.1,0.4752,0.41,rain,1007.0,Leichter Regen möglich,10.04,1582592400,0,16.093,225,11.76,5.32
3,6.7,1.0,6.82,0.84,rain,342.7,0.6433,0.52,rain,1006.2,Leichter Regen möglich,9.43,1582596000,0,16.093,227,11.87,5.47
4,5.91,1.0,7.11,0.89,rain,344.1,0.7343,0.58,rain,1005.6,Leichter Regen möglich,8.84,1582599600,0,16.093,228,11.81,5.61
5,5.45,0.99,7.04,0.9,rain,345.3,0.5982,0.6,rain,1005.0,Leichter Regen möglich,8.51,1582603200,0,16.093,227,11.4,5.72
6,5.14,0.99,6.79,0.9,rain,346.3,0.3896,0.65,rain,1004.6,Leichter Regen,8.31,1582606800,0,16.093,224,10.9,5.87
7,5.24,0.99,6.37,0.86,rain,344.8,0.1262,0.54,rain,1004.3,Nieselregen möglich,8.53,1582610400,0,16.093,221,11.95,6.38
8,5.1,0.99,6.28,0.86,rain,346.4,0.1082,0.47,rain,1004.0,Nieselregen möglich,8.47,1582614000,0,16.093,222,12.23,6.59
9,5.14,1.0,6.16,0.85,rain,348.5,0.1449,0.54,rain,1003.8,Nieselregen möglich,8.55,1582617600,0,16.093,226,12.56,6.8
10,5.28,0.99,5.94,0.83,rain,350.7,0.2091,0.59,rain,1003.5,Nieselregen möglich,8.63,1582621200,1,16.093,230,12.49,6.69
11,5.52,0.99,5.42,0.8,rain,353.0,0.2853,0.52,rain,1003.1,Leichter Regen möglich,8.73,1582624800,1,16.093,236,11.52,6.33
12,6.11,0.99,5.08,0.76,rain,355.4,0.3775,0.49,rain,1002.7,Leichter Regen möglich,9.06,1582628400,2,16.093,243,10.15,5.8
13,6.88,0.99,4.89,0.72,rain,357.0,0.3959,0.41,rain,1002.3,Leichter Regen möglich,9.6,1582632000,2,16.093,248,9.36,5.55
14,10.92,0.94,3.47,0.6,cloudy,360.5,0.1237,0.2,rain,1002.2,Stark bewölkt,10.92,1582635600,1,16.093,259,9.5,5.59
15,10.83,0.86,2.67,0.57,partly-cloudy-day,358.9,0.024,0.16,rain,1001.6,Überwiegend bewölkt,10.83,1582639200,1,16.093,258,10.19,6.08
16,6.32,0.8,1.85,0.6,partly-cloudy-day,358.9,0.0,0.0,,1001.4,Überwiegend bewölkt,9.3,1582642800,0,16.093,255,10.52,6.1
17,5.7,0.71,1.92,0.62,partly-cloudy-day,362.6,0.0,0.0,,1000.9,Überwiegend bewölkt,8.7,1582646400,0,16.093,247,10.89,5.69
18,5.08,0.63,2.37,0.68,partly-cloudy-night,368.0,0.0,0.0,,1000.6,Überwiegend bewölkt,7.93,1582650000,0,16.093,237,11.27,4.83
19,4.86,0.59,2.28,0.7,partly-cloudy-night,371.3,0.0,0.0,,1000.2,Leicht bewölkt,7.39,1582653600,0,16.093,221,10.45,3.88
20,4.34,0.66,2.45,0.71,partly-cloudy-night,373.8,0.0074,0.14,rain,999.8,Überwiegend bewölkt,7.29,1582657200,0,16.093,222,11.61,4.7
21,3.61,0.78,2.52,0.72,partly-cloudy-night,375.8,0.0279,0.22,rain,998.8,Überwiegend bewölkt,7.21,1582660800,0,16.093,229,13.12,6.24
22,3.05,0.85,2.48,0.73,rain,378.1,0.0431,0.26,rain,998.1,Nieselregen möglich,6.96,1582664400,0,16.093,234,13.79,6.92
23,2.67,0.84,2.38,0.75,rain,380.9,0.0294,0.3,rain,997.7,Nieselregen möglich,6.48,1582668000,0,16.093,236,12.37,6.26
