,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipAccumulation,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,-1.61,1.0,-4.59,0.8,fog,312.2,0.0413,0.0394,0.03,snow,1013.3,Nebel,-1.61,1609887600,0,0.795,166,2.54,0.49
1,-1.09,1.0,-3.53,0.83,fog,309.7,0.0286,0.0287,0.04,snow,1012.6,Nebel,-1.09,1609891200,0,0.304,270,2.44,0.96
2,-1.38,1.0,-3.57,0.85,fog,308.9,0.0863,0.0848,0.07,snow,1012.7,Nebel,-1.38,1609894800,0,0.097,287,2.27,0.92
3,-1.47,1.0,-3.73,0.85,fog,308.4,0.1011,0.0987,0.08,snow,1012.4,Nebel,-1.47,1609898400,0,0.093,285,2.38,0.91
4,-1.47,1.0,-3.85,0.84,fog,308.0,0.1121,0.1096,0.08,snow,1012.4,Nebel,-1.47,1609902000,0,0.283,291,2.31,0.92
5,-1.55,1.0,-3.82,0.85,fog,308.2,0.2104,0.2042,0.12,snow,1012.3,Nebel,-1.55,1609905600,0,2.55,300,2.12,0.97
6,-1.57,1.0,-3.66,0.86,cloudy,308.4,0.2578,0.2496,0.13,snow,1012.4,Stark bewölkt,-1.57,1609909200,0,3.99,313,1.86,1.03
7,-1.49,1.0,-3.44,0.87,cloudy,309.3,0.225,0.2203,0.12,snow,1012.5,Stark bewölkt,-1.49,1609912800,0,5.283,322,2.01,1.1
8,-1.49,1.0,-3.34,0.87,cloudy,309.2,0.2246,0.219,0.12,snow,1012.7,Stark bewölkt,-1.49,1609916400,0,7.361,324,2.24,1.16
9,-1.38,1.0,-3.38,0.86,cloudy,309.0,0.2725,0.2668,0.13,snow,1013.1,Stark bewölkt,-1.38,1609920000,0,9.498,320,2.64,1.24
10,-2.9,1.0,-3.62,0.84,cloudy,308.1,0.3192,0.3145,0.16,snow,1013.5,Stark bewölkt,-1.23,1609923600,0,11.0,317,2.86,1.35
11,-3.04,1.0,-3.72,0.82,cloudy,308.2,0.2571,0.2561,0.16,snow,1013.7,Stark bewölkt,-1.04,1609927200,1,11.216,315,3.01,1.56
12,-2.82,1.0,-3.36,0.81,cloudy,308.0,0.2027,0.2122,0.17,snow,1013.5,Stark bewölkt,-0.52,1609930800,1,10.368,312,3.29,1.82
13,-3.07,1.0,-3.11,0.83,cloudy,307.4,0.2323,0.2412,0.22,snow,1013.1,Stark bewölkt,-0.54,1609934400,1,9.819,309,3.19,1.99
14,-2.56,1.0,-3.01,0.81,snow,307.0,0.2882,0.318,0.28,snow,1013.0,Schneefall,-0.06,1609938000,1,9.714,305,2.86,2.03
15,-3.04,1.0,-2.76,0.86,snow,307.0,0.406,0.4186,0.35,snow,1013.3,Schneefall,-0.65,1609941600,0,9.727,285,2.46,1.87
16,-3.77,1.0,-2.84,0.9,snow,307.6,0.403,0.3884,0.32,snow,1013.6,Schneefall,-1.35,1609945200,0,9.645,285,2.06,1.81
17,-3.69,1.0,-3.15,0.87,snow,302.5,0.3822,0.3724,0.33,snow,1014.1,Schneefall,-1.31,1609948800,0,9.26,320,2.15,1.79
18,-3.74,1.0,-3.2,0.87,snow,303.8,0.3509,0.3417,0.27,snow,1014.3,Schneefall,-1.37,1609952400,0,8.82,255,2.45,1.78
19,-3.57,1.0,-3.05,0.88,cloudy,304.7,0.3043,0.3006,0.2,snow,1014.6,Stark bewölkt,-1.26,1609956000,0,8.857,281,2.39,1.75
20,-3.49,1.0,-3.12,0.87,cloudy,305.7,0.2796,0.2759,0.18,snow,1014.8,Stark bewölkt,-1.25,1609959600,0,9.757,272,2.2,1.7
21,-3.39,0.99,-3.22,0.86,cloudy,305.8,0.2557,0.2518,0.2,snow,1015.3,Stark bewölkt,-1.24,1609963200,0,11.173,270,2.18,1.64
22,-3.53,0.96,-3.38,0.86,cloudy,305.8,0.2329,0.2242,0.19,snow,1015.5,Stark bewölkt,-1.4,1609966800,0,12.172,269,2.46,1.61
23,-3.68,0.97,-3.52,0.86,cloudy,308.2,0.2127,0.2011,0.16,snow,1015.8,Stark bewölkt,-1.53,1609970400,0,12.561,340,2.65,1.61
