,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windSpeed
0,0.21,,-2.3,0.75,1.72,1550444400,0.0,10.003,290.0,1.5
1,-1.37,,-2.61,0.81,0.34,1550448000,0.0,10.003,180.0,1.5
2,-1.66,,-3.99,0.84,-1.66,1550451600,0.0,10.003,290.0,1.0
3,-2.36,,-3.99,0.89,-2.36,1550455200,0.0,10.003,230.0,0.31
4,-4.17,,-3.3,0.93,-2.36,1550458800,0.0,10.003,272.0,1.34
5,-3.35,,-4.3,0.93,-3.35,1550462400,0.0,10.003,79.0,1.19
6,-4.03,,-4.3,0.98,-4.03,1550466000,0.0,10.003,193.0,0.81
7,-4.03,0.19,-4.3,0.98,-4.03,1550469600,0.0,10.003,96.0,1.0
8,-3.35,0.19,-4.3,0.93,-3.35,1550473200,0.0,10.003,117.0,1.0
9,-1.66,0.19,-2.92,0.91,-1.66,1550476800,0.0,10.003,80.0,0.69
10,-2.37,0.19,-2.61,0.79,0.64,1550480400,1.0,10.003,230.0,2.6
11,2.77,,-0.61,0.7,4.34,1550484000,,10.003,131.0,1.84
12,7.33,,-0.61,0.57,7.33,1550487600,,10.003,,
13,10.02,,0.37,0.51,10.02,1550491200,,10.003,,
14,12.33,,-0.31,0.42,12.33,1550494800,,10.003,95.0,1.91
15,13.33,,-2.38,0.34,13.33,1550498400,,10.003,103.0,1.5
16,14.33,,-2.0,0.32,14.33,1550502000,,10.003,240.0,1.5
17,14.03,0.19,-1.37,0.35,14.03,1550505600,0.0,10.003,58.0,1.5
18,9.76,0.19,-1.37,0.45,9.95,1550509200,0.0,10.003,85.0,1.35
19,4.52,0.19,-2.38,0.55,5.95,1550512800,0.0,10.003,285.0,1.95
20,2.84,,-1.69,0.64,4.64,1550516400,0.0,10.003,279.0,2.11
21,-0.28,0.19,-2.38,0.71,2.27,1550520000,0.0,10.003,253.0,2.44
22,1.27,0.19,-2.68,0.68,2.65,1550523600,0.0,10.003,242.0,1.5
23,0.73,0.19,-2.0,0.71,2.65,1550527200,0.0,10.003,264.0,1.91
