,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,13.12,,9.99,0.81,13.12,1569880800,0,10.003,180,,3.1
1,12.12,0.19,10.99,0.93,12.12,1569884400,0,10.003,180,,3.1
2,12.21,0.66,10.41,0.89,12.21,1569888000,0,10.003,221,,0.42
3,11.79,1.0,9.99,0.89,11.79,1569891600,0,10.003,100,,1.29
4,11.2,1.0,9.99,0.92,11.2,1569895200,0,10.003,230,,0.62
5,12.21,0.66,9.99,0.86,12.21,1569898800,0,10.003,191,,1.08
6,12.21,0.62,9.99,0.86,12.21,1569902400,0,10.003,191,,1.91
7,12.62,0.77,9.99,0.84,12.62,1569906000,0,10.003,200,,1.7
8,12.62,0.9,10.58,0.87,12.62,1569909600,0,10.003,199,,3.93
9,13.21,0.9,10.58,0.84,13.21,1569913200,0,10.003,210,,3.01
10,14.79,0.9,11.58,0.81,14.79,1569916800,1,10.003,233,,3.93
11,15.21,0.9,12.0,0.81,15.21,1569920400,2,10.003,225,,5.74
12,16.62,0.9,13.0,0.79,16.62,1569924000,2,10.003,237,,7.12
13,17.62,0.9,13.42,0.76,17.62,1569927600,3,10.003,235,,6.17
14,18.21,0.9,14.0,0.76,18.21,1569931200,3,10.003,231,,5.76
15,18.8,0.9,14.58,0.77,18.8,1569934800,2,10.003,219,,6.63
16,19.21,0.62,14.0,0.72,19.21,1569938400,2,10.003,241,,6.62
17,18.62,0.9,14.41,0.77,18.62,1569942000,1,10.003,218,10.3,5.83
18,17.31,0.9,15.41,0.89,17.21,1569945600,0,10.003,226,,3.1
19,17.31,0.75,15.41,0.89,17.21,1569949200,0,9.174,211,,4.52
20,16.21,0.62,14.41,0.89,16.21,1569952800,0,10.003,190,,4.01
21,15.79,0.52,14.0,0.89,15.79,1569956400,0,10.003,214,,4.89
22,15.79,0.33,13.42,0.86,15.79,1569960000,0,10.003,214,,4.31
23,15.21,0.52,13.42,0.89,15.21,1569963600,0,10.003,211,,3.52
