,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,-10.09,0.03,-10.31,0.7,clear-night,359.0,0,0,1032.5,Klar,-5.75,1613084400,0,16.093,48,6.64,2.71
1,-10.13,0.45,-10.86,0.68,partly-cloudy-night,356.3,0,0,1032.4,Leicht bewölkt,-5.87,1613088000,0,16.093,50,5.54,2.63
2,-10.74,0.36,-11.17,0.68,partly-cloudy-night,352.9,0,0,1032.2,Leicht bewölkt,-6.29,1613091600,0,16.093,54,5.95,2.72
3,-11.34,0.39,-11.77,0.68,partly-cloudy-night,349.9,0,0,1032.0,Leicht bewölkt,-6.84,1613095200,0,16.093,53,5.94,2.68
4,-12.26,0.45,-12.59,0.67,partly-cloudy-night,349.4,0,0,1032.0,Leicht bewölkt,-7.58,1613098800,0,16.093,56,6.3,2.7
5,-12.96,0.5,-13.13,0.67,partly-cloudy-night,350.3,0,0,1032.1,Leicht bewölkt,-8.02,1613102400,0,16.093,58,6.53,2.85
6,-13.56,0.47,-13.4,0.67,partly-cloudy-night,349.3,0,0,1031.6,Leicht bewölkt,-8.29,1613106000,0,16.093,58,7.38,3.09
7,-13.42,0.31,-13.15,0.66,partly-cloudy-night,347.2,0,0,1031.8,Leicht bewölkt,-8.0,1613109600,0,16.093,60,7.99,3.28
8,-13.61,0.04,-13.2,0.66,clear-day,349.6,0,0,1031.9,Klar,-7.96,1613113200,0,16.093,62,8.31,3.51
9,-13.21,0.01,-13.01,0.64,clear-day,351.6,0,0,1032.3,Klar,-7.35,1613116800,0,16.093,65,9.04,3.87
10,-12.58,0.02,-12.42,0.63,clear-day,351.8,0,0,1032.3,Klar,-6.61,1613120400,1,16.093,69,8.71,4.2
11,-11.31,0.03,-11.88,0.61,clear-day,353.8,0,0,1032.3,Klar,-5.44,1613124000,1,16.093,72,8.81,4.42
12,-9.96,0.03,-11.21,0.58,clear-day,355.8,0,0,1032.3,Klar,-4.22,1613127600,1,16.093,77,8.63,4.65
13,-8.7,0.05,-10.97,0.54,clear-day,358.6,0,0,1032.8,Klar,-3.03,1613131200,1,16.093,77,8.33,4.98
14,-6.66,0.1,-11.5,0.46,clear-day,361.8,0,0,1032.5,Klar,-1.38,1613134800,1,16.093,77,8.32,5.03
15,-6.46,0.16,-11.25,0.46,clear-day,364.2,0,0,1032.6,Klar,-1.15,1613138400,1,16.093,76,8.48,5.18
16,-7.81,0.3,-10.93,0.51,clear-day,365.9,0,0,1032.7,Klar,-2.24,1613142000,0,16.093,73,8.48,5.14
17,-7.95,0.16,-10.59,0.55,clear-day,366.4,0,0,1033.3,Klar,-2.67,1613145600,0,16.093,75,8.44,4.52
18,-8.22,0.11,-10.34,0.57,clear-night,369.7,0,0,1034.1,Klar,-2.97,1613149200,0,16.093,73,8.99,4.39
19,-9.01,0.01,-10.12,0.6,clear-night,371.5,0,0,1034.6,Klar,-3.46,1613152800,0,16.093,73,9.66,4.65
20,-9.7,0.0,-10.49,0.6,clear-night,371.5,0,0,1034.6,Klar,-3.95,1613156400,0,16.093,71,10.21,4.76
21,-10.4,0.0,-11.22,0.6,clear-night,373.1,0,0,1035.1,Klar,-4.58,1613160000,0,16.093,71,10.4,4.65
22,-10.97,0.0,-12.13,0.58,clear-night,375.6,0,0,1035.6,Klar,-5.12,1613163600,0,16.093,73,10.61,4.51
23,-11.65,0.0,-13.26,0.55,clear-night,378.1,0,0,1036.0,Klar,-5.63,1613167200,0,16.093,73,10.68,4.57
