,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windSpeed
0,1.46,0.75,3.31,0.89,4.95,1551481200,0,10.003,250,4.63
1,2.59,0.75,3.31,0.85,5.64,1551484800,0,10.003,257,4.11
2,2.55,0.92,3.0,0.87,4.95,1551488400,0,9.07,251,2.87
3,1.48,0.92,3.0,0.89,4.64,1551492000,0,9.07,251,3.91
4,1.48,0.92,3.0,0.89,4.64,1551495600,0,9.07,247,3.91
5,2.38,0.75,3.0,0.89,4.64,1551499200,0,8.763,232,2.62
6,2.03,0.92,3.0,0.89,4.64,1551502800,0,8.763,234,3.07
7,2.3,1.0,3.0,0.89,4.64,1551506400,0,8.763,230,2.72
8,2.56,0.61,3.0,0.89,4.64,1551510000,0,8.763,228,2.41
9,2.0,0.61,3.0,0.89,4.64,1551513600,1,8.763,220,3.1
10,1.77,0.61,3.0,0.89,4.64,1551517200,1,8.763,223,3.44
11,2.09,0.44,3.0,0.85,5.33,1551520800,2,8.763,231,4.32
12,3.43,0.83,3.7,0.87,5.64,1551524400,2,10.003,232,2.79
13,5.37,0.75,4.38,0.83,7.03,1551528000,3,10.003,218,2.41
14,6.52,0.53,3.7,0.74,8.02,1551531600,2,10.003,190,2.44
15,6.21,0.53,3.0,0.68,8.64,1551535200,2,10.003,254,4.26
16,5.83,0.36,3.7,0.73,8.33,1551542400,0,10.003,240,4.26
17,5.05,0.53,3.0,0.74,7.33,1551549600,0,10.003,224,3.41
18,4.29,0.44,3.0,0.76,7.03,1551553200,0,10.003,227,4.11
19,3.65,0.53,3.0,0.76,7.03,1551556800,0,10.003,237,5.51
20,3.08,0.36,3.0,0.81,5.95,1551560400,0,10.003,230,3.91
21,3.58,0.75,3.7,0.81,6.65,1551564000,0,10.003,230,4.6
