,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windSpeed
0,5.44,0.19,4.69,0.87,6.65,1554588000,0.0,10.003,342.0,1.84
1,5.95,,4.01,0.87,5.95,1554591600,0.0,10.003,20.0,0.5
2,1.61,,2.31,0.91,3.58,1554595200,0.0,10.003,30.0,2.09
3,3.95,0.19,3.7,0.98,3.95,1554598800,0.0,10.003,285.0,1.0
4,2.27,0.44,2.27,1.0,2.27,1554602400,0.0,10.003,251.0,1.04
5,2.27,0.44,1.3,0.93,2.27,1554606000,0.0,10.003,57.0,1.19
6,1.95,0.44,1.95,1.0,1.95,1554609600,0.0,10.003,183.0,0.5
7,1.95,0.44,1.95,1.0,1.95,1554613200,0.0,7.927,0.0,0.69
8,2.96,0.75,2.96,1.0,2.96,1554616800,0.0,8.625,221.0,1.0
9,4.64,0.53,4.01,0.96,4.64,1554620400,1.0,10.003,,
10,5.64,0.36,4.69,0.85,7.03,1554624000,2.0,10.003,221.0,2.09
11,7.97,0.36,5.69,0.8,9.02,1554627600,4.0,10.003,260.0,2.09
12,10.33,0.36,5.0,0.7,10.33,1554631200,5.0,10.003,251.0,2.6
13,11.71,0.36,4.69,0.62,11.71,1554634800,5.0,10.003,60.0,1.5
14,12.64,0.36,4.32,0.57,12.64,1554638400,5.0,10.003,21.0,2.44
15,13.33,0.53,5.38,0.59,13.33,1554642000,4.0,10.003,6.0,3.14
16,13.33,0.75,4.69,0.56,13.33,1554645600,3.0,10.003,26.0,2.26
17,13.64,0.75,5.38,0.57,13.64,1554649200,2.0,10.003,351.0,3.48
18,13.64,0.36,4.69,0.55,13.64,1554652800,1.0,10.003,351.0,3.48
19,12.95,,4.69,0.57,12.95,1554656400,,10.003,352.0,2.09
20,11.96,0.36,4.69,0.61,11.96,1554660000,0.0,10.003,340.0,2.6
21,11.65,0.75,5.38,0.65,11.65,1554663600,0.0,10.003,298.0,2.11
22,11.33,0.75,6.07,0.7,11.33,1554667200,0.0,10.003,275.0,4.25
23,7.85,0.75,6.69,0.82,9.64,1554670800,0.0,10.003,232.0,3.41
