,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,15.26,0.44,9.69,0.69,15.26,1563314400,0,10.003,183.0,,1.0
1,13.26,0.75,9.99,0.81,13.26,1563318000,0,10.003,290.0,,1.45
2,12.27,0.75,9.31,0.82,12.27,1563321600,0,10.003,,,0.0
3,12.64,0.75,9.99,0.84,12.64,1563325200,0,10.003,246.0,,0.65
4,11.26,0.75,9.99,0.92,11.26,1563328800,0,10.003,286.0,,0.65
5,10.26,0.75,9.31,0.94,10.26,1563332400,0,10.003,303.0,,1.0
6,9.57,0.75,9.31,0.98,9.57,1563336000,0,10.003,80.0,,0.34
7,12.33,0.75,10.68,0.9,12.33,1563339600,0,10.003,115.0,,0.5
8,13.64,0.75,11.69,0.88,13.64,1563343200,1,10.003,,,
9,16.33,0.75,12.0,0.76,16.33,1563346800,2,10.003,,,
10,19.03,0.44,12.38,0.65,19.03,1563350400,4,10.003,240.0,,1.0
11,20.34,0.36,11.69,0.58,20.34,1563354000,5,10.003,260.0,,1.0
12,22.33,0.36,11.38,0.5,22.33,1563357600,7,10.003,320.0,,1.0
13,22.64,0.36,10.68,0.47,22.64,1563361200,7,10.003,334.0,,2.95
14,23.64,0.44,10.68,0.44,23.64,1563364800,7,10.003,240.0,,1.5
15,24.65,0.44,10.68,0.41,24.65,1563368400,6,10.003,342.0,9.3,3.29
16,24.65,0.44,11.38,0.43,24.65,1563372000,5,10.003,291.0,7.2,2.79
17,24.96,0.44,11.07,0.42,24.96,1563375600,4,10.003,333.0,,3.29
18,24.65,0.44,8.38,0.36,24.65,1563379200,2,10.003,321.0,,3.82
19,23.95,0.44,7.69,0.35,23.95,1563382800,1,10.003,328.0,,4.14
20,22.95,0.19,9.31,0.42,22.95,1563386400,0,10.003,335.0,,3.48
21,21.27,0.19,10.3,0.5,21.27,1563390000,0,10.003,345.0,,1.69
22,18.96,0.19,10.3,0.57,18.96,1563393600,0,10.003,352.0,,1.35
23,16.57,0.44,10.99,0.7,16.57,1563397200,0,10.003,315.0,,1.5
