,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,2.4,0.96,1.63,0.84,cloudy,330.6,0.0677,0.16,rain,997.1,Stark bewölkt,4.03,1611356400,0,16.093,274,5.59,1.85
1,2.02,0.85,1.51,0.85,rain,338.3,0.0646,0.28,rain,997.2,Nieselregen möglich,3.84,1611360000,0,16.093,295,7.08,1.99
2,1.96,0.88,1.53,0.85,cloudy,339.7,0.0,0.0,,997.9,Stark bewölkt,3.82,1611363600,0,16.093,272,5.64,2.03
3,1.99,0.95,1.38,0.85,cloudy,341.3,0.0,0.0,,998.4,Stark bewölkt,3.7,1611367200,0,16.093,258,5.05,1.87
4,2.22,0.99,1.25,0.84,cloudy,333.4,0.0,0.0,,999.3,Stark bewölkt,3.78,1611370800,0,16.093,252,5.91,1.76
5,2.44,0.99,0.91,0.83,cloudy,335.4,0.0,0.0,,999.5,Stark bewölkt,3.48,1611374400,0,16.093,226,2.41,1.34
6,1.36,0.98,0.41,0.83,cloudy,337.8,0.0,0.0,,999.6,Stark bewölkt,3.02,1611378000,0,16.093,217,3.53,1.74
7,0.54,0.9,0.17,0.84,cloudy,338.0,0.0,0.0,,1000.1,Stark bewölkt,2.65,1611381600,0,16.093,217,4.53,2.08
8,-0.07,0.95,0.15,0.85,cloudy,340.2,0.0,0.0,,999.9,Stark bewölkt,2.49,1611385200,0,16.093,211,6.11,2.5
9,-0.3,0.97,0.31,0.85,cloudy,341.6,0.0058,0.07,rain,1000.0,Stark bewölkt,2.64,1611388800,0,16.093,208,7.46,2.95
10,0.01,0.99,0.74,0.85,cloudy,346.0,0.013,0.15,rain,999.3,Stark bewölkt,2.93,1611392400,0,16.093,204,6.07,3.02
11,0.57,0.99,0.89,0.83,rain,345.0,0.0822,0.31,rain,999.1,Nieselregen möglich,3.59,1611396000,1,16.093,200,7.26,3.32
12,1.35,0.99,1.07,0.8,rain,344.6,0.0589,0.25,rain,998.0,Nieselregen möglich,4.14,1611399600,1,16.093,199,7.14,3.18
13,2.58,0.99,1.32,0.77,cloudy,346.7,0.0276,0.11,rain,997.3,Stark bewölkt,5.04,1611403200,1,16.093,198,6.32,2.97
14,3.21,0.97,1.71,0.76,cloudy,350.5,0.0642,0.11,rain,996.6,Stark bewölkt,5.54,1611406800,1,15.383,181,6.03,2.92
15,3.75,0.95,2.19,0.77,cloudy,352.0,0.0984,0.13,rain,995.7,Stark bewölkt,5.9,1611410400,0,16.093,168,5.86,2.77
16,3.75,0.99,1.77,0.76,cloudy,351.6,0.166,0.2,rain,995.2,Stark bewölkt,5.76,1611414000,0,16.093,157,5.52,2.56
17,3.04,0.99,1.82,0.79,rain,350.7,0.2494,0.3,rain,994.7,Leichter Regen möglich,5.2,1611417600,0,16.093,145,6.3,2.62
18,2.23,0.99,1.92,0.82,rain,347.8,0.3415,0.42,rain,994.2,Leichter Regen möglich,4.69,1611421200,0,16.093,137,7.34,2.87
19,2.08,0.99,1.88,0.83,rain,352.2,0.272,0.47,rain,993.9,Leichter Regen möglich,4.51,1611424800,0,16.093,131,7.75,2.78
20,1.71,0.99,1.76,0.84,rain,356.0,0.2813,0.56,rain,993.7,Leichter Regen möglich,4.19,1611428400,0,16.093,129,8.1,2.77
21,1.41,0.99,1.87,0.87,rain,358.4,0.429,0.66,rain,993.4,Leichter Regen,3.92,1611432000,0,12.221,132,7.42,2.74
22,1.37,0.98,1.51,0.86,rain,363.4,0.4141,0.58,rain,993.2,Leichter Regen möglich,3.65,1611435600,0,12.171,145,6.21,2.42
23,1.38,0.99,1.55,0.87,rain,366.9,0.4282,0.58,rain,992.8,Leichter Regen möglich,3.43,1611439200,0,13.852,157,4.91,2.15
