,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,-0.3,0.62,0.39,0.82,partly-cloudy-night,291.1,0,0,1011.6,Überwiegend bewölkt,3.09,1611097200,0,16.093,196,12.64,3.7
1,-1.27,0.62,-0.79,0.81,partly-cloudy-night,288.0,0,0,1011.6,Überwiegend bewölkt,2.19,1611100800,0,16.093,198,10.18,3.53
2,-1.0,0.74,-1.2,0.78,partly-cloudy-night,286.6,0,0,1010.9,Überwiegend bewölkt,2.25,1611104400,0,16.093,195,10.77,3.26
3,-0.9,0.91,-0.68,0.79,cloudy,286.2,0,0,1010.3,Stark bewölkt,2.58,1611108000,0,16.093,199,12.35,3.67
4,-1.12,0.9,-0.25,0.82,cloudy,287.5,0,0,1009.7,Stark bewölkt,2.57,1611111600,0,16.093,204,12.88,4.0
5,-1.08,0.9,-0.2,0.82,cloudy,287.7,0,0,1009.7,Stark bewölkt,2.56,1611115200,0,16.093,205,13.26,3.91
6,-1.02,0.89,-0.01,0.84,cloudy,289.2,0,0,1009.6,Stark bewölkt,2.5,1611118800,0,16.093,207,13.51,3.72
7,-1.47,0.88,-0.82,0.81,cloudy,288.9,0,0,1009.5,Stark bewölkt,2.03,1611122400,0,16.093,199,11.11,3.54
8,-1.21,0.97,-0.46,0.83,cloudy,286.7,0,0,1009.0,Stark bewölkt,2.17,1611126000,0,16.093,195,11.56,3.41
9,-0.99,0.93,-0.08,0.84,cloudy,285.1,0,0,1008.6,Stark bewölkt,2.38,1611129600,0,16.093,193,12.37,3.45
10,0.03,0.9,0.86,0.84,cloudy,284.7,0,0,1008.1,Stark bewölkt,3.24,1611133200,0,16.093,194,13.74,3.5
11,1.72,0.88,2.09,0.83,cloudy,284.9,0,0,1007.8,Stark bewölkt,4.77,1611136800,1,16.093,195,14.15,3.76
12,3.61,0.86,3.15,0.79,partly-cloudy-day,284.9,0,0,1006.9,Überwiegend bewölkt,6.45,1611140400,1,16.093,196,13.79,4.06
13,5.67,0.93,4.47,0.77,cloudy,284.7,0,0,1005.8,Stark bewölkt,8.28,1611144000,1,16.093,199,13.21,4.48
14,7.51,0.86,3.74,0.67,partly-cloudy-day,283.7,0,0,1004.9,Überwiegend bewölkt,9.54,1611147600,1,16.093,187,12.47,3.83
15,7.89,0.86,4.26,0.68,partly-cloudy-day,283.9,0,0,1004.3,Überwiegend bewölkt,9.83,1611151200,0,16.093,185,13.13,3.78
16,6.79,0.79,4.04,0.72,partly-cloudy-day,285.7,0,0,1003.9,Überwiegend bewölkt,8.86,1611154800,0,16.093,181,11.15,3.63
17,5.51,0.86,3.61,0.75,partly-cloudy-night,284.8,0,0,1003.6,Überwiegend bewölkt,7.78,1611158400,0,16.093,180,10.57,3.56
18,4.71,0.89,3.28,0.76,cloudy,285.9,0,0,1003.1,Stark bewölkt,7.16,1611162000,0,16.093,176,10.41,3.63
19,4.34,0.84,2.96,0.76,partly-cloudy-night,286.1,0,0,1002.5,Überwiegend bewölkt,6.93,1611165600,0,16.093,177,13.05,3.81
20,4.06,0.94,2.87,0.76,cloudy,285.9,0,0,1002.1,Stark bewölkt,6.76,1611169200,0,16.093,178,15.17,3.93
21,3.53,0.92,2.64,0.77,cloudy,285.4,0,0,1001.8,Stark bewölkt,6.38,1611172800,0,16.093,180,14.99,4.05
22,3.17,0.88,2.57,0.78,wind,287.7,0,0,1001.4,Frische Brise und stark bewölkt,6.11,1611176400,0,16.093,183,17.73,4.09
23,3.12,0.83,2.52,0.77,wind,290.4,0,0,1001.3,Frische Brise und überwiegend bewölkt,6.22,1611180000,0,16.093,186,18.95,4.45
