,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windSpeed
0,11.65,1.0,11.65,1.0,11.65,1566338400,0,8.452,220.0,1.34
1,11.65,1.0,11.65,1.0,11.65,1566342000,0,8.452,210.0,2.09
2,10.26,0.75,10.26,1.0,10.26,1566345600,0,8.763,185.0,1.0
3,9.57,0.75,9.57,1.0,9.57,1566349200,0,8.763,221.0,1.0
4,9.57,0.75,9.57,1.0,9.57,1566352800,0,7.759,308.0,0.85
5,8.89,0.36,8.89,1.0,8.89,1566356400,0,5.693,285.0,1.0
6,8.58,0.36,8.58,1.0,8.58,1566360000,0,0.858,32.0,0.5
7,8.58,0.36,8.58,1.0,8.58,1566363600,0,1.412,20.0,0.5
8,9.26,0.61,9.26,1.0,9.26,1566367200,0,0.306,131.0,1.19
9,9.95,0.83,9.95,1.0,9.95,1566370800,1,0.72,,
10,11.26,0.75,11.26,1.0,11.26,1566374400,2,3.31,60.0,2.09
11,13.26,0.65,12.69,0.96,13.26,1566378000,4,8.625,41.0,2.6
12,15.64,0.27,11.38,0.76,15.64,1566381600,6,10.003,59.0,2.62
13,18.02,0.27,11.38,0.65,18.02,1566385200,6,10.003,66.0,4.06
14,18.72,0.27,10.68,0.6,18.72,1566388800,6,10.003,70.0,3.56
15,20.03,0.27,10.68,0.55,20.03,1566392400,5,10.003,83.0,4.41
16,19.72,0.27,10.68,0.56,19.72,1566396000,4,10.003,71.0,3.57
17,19.72,0.27,9.69,0.52,19.72,1566399600,3,10.003,80.0,4.25
18,19.34,0.27,9.0,0.51,19.34,1566403200,1,10.003,86.0,3.72
19,19.03,0.27,9.69,0.55,19.03,1566406800,0,10.003,71.0,4.75
20,16.64,0.27,10.68,0.68,16.64,1566410400,0,10.003,87.0,3.1
21,15.64,0.75,10.99,0.74,15.64,1566414000,0,10.003,65.0,2.0
22,13.95,0.75,11.31,0.84,13.95,1566417600,0,10.003,75.0,2.0
23,13.64,0.75,10.3,0.8,13.64,1566421200,0,10.003,33.0,1.84
