,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windSpeed
0,-8.45,0.83,-5.61,0.96,-5.03,1548284400,0,3.966,24,2.09
1,-9.11,0.83,-5.61,0.96,-5.03,1548288000,0,3.277,12,2.6
2,-8.47,0.83,-6.31,0.91,-5.03,1548291600,0,3.966,357,2.11
3,-8.45,0.83,-6.31,0.91,-5.03,1548295200,0,4.313,326,2.09
4,-8.45,0.83,-6.31,0.91,-5.03,1548298800,0,4.655,304,2.09
5,-8.68,0.83,-6.31,0.91,-5.03,1548302400,0,3.463,305,2.26
6,-9.74,0.83,-6.0,0.98,-5.73,1548306000,0,3.251,292,2.45
7,-10.3,0.75,-6.69,0.95,-6.04,1548309600,0,3.383,330,2.6
8,-8.53,0.75,-6.69,0.95,-6.04,1548313200,0,3.537,320,1.45
9,-8.33,0.75,-6.69,0.95,-6.04,1548316800,0,4.072,314,1.35
10,-7.55,0.75,-6.69,0.9,-5.34,1548320400,0,2.595,347,1.35
11,-8.83,0.75,-6.69,0.9,-5.34,1548324000,1,3.972,307,2.11
12,-9.32,0.75,-6.31,0.91,-5.03,1548327600,1,4.227,327,2.79
13,-7.66,0.75,-6.31,0.86,-4.34,1548331200,1,4.319,348,2.11
14,-7.87,0.75,-6.31,0.86,-4.34,1548334800,1,4.692,336,2.26
15,-6.42,0.75,-6.31,0.86,-4.34,1548338400,0,3.656,351,1.35
16,-7.55,0.75,-6.31,0.84,-4.03,1548342000,0,3.121,326,2.29
17,-9.11,0.75,-6.31,0.91,-5.03,1548345600,0,4.406,301,2.6
18,-7.5,0.75,-6.0,0.93,-5.03,1548349200,0,3.5,297,1.5
19,-5.03,0.75,-6.31,0.91,-5.03,1548352800,0,4.004,290,1.19
20,-7.5,0.75,-6.31,0.91,-5.03,1548356400,0,3.656,311,1.5
21,-8.44,0.75,-6.62,0.91,-5.34,1548360000,0,4.846,269,1.84
22,-8.44,0.75,-6.62,0.91,-5.34,1548363600,0,6.004,259,1.84
23,-8.44,0.75,-6.62,0.91,-5.34,1548367200,0,7.759,276,1.84
