,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,14.33,0.36,13.69,0.96,14.33,1562882400,0,10.003,240,,1.0
1,13.64,0.36,13.0,0.96,13.64,1562886000,0,10.003,217,,1.5
2,13.64,0.44,13.0,0.96,13.64,1562889600,0,9.383,147,,1.34
3,12.95,0.75,12.31,0.96,12.95,1562893200,0,9.383,200,,2.6
4,12.95,0.75,12.31,0.96,12.95,1562896800,0,9.383,230,,1.5
5,12.95,0.75,12.69,0.98,12.95,1562900400,0,9.383,221,,1.0
6,12.95,0.36,12.69,0.98,12.95,1562904000,0,10.003,143,,1.16
7,12.99,0.36,12.95,1.0,12.95,1562907600,0,9.691,182,,2.0
8,15.02,0.36,12.69,0.86,15.02,1562911200,1,9.691,196,,2.25
9,15.33,0.53,13.69,0.9,15.33,1562914800,2,10.003,240,,3.25
10,15.33,0.53,13.0,0.86,15.33,1562918400,4,10.003,215,,3.44
11,15.33,0.53,13.69,0.9,15.33,1562922000,5,10.003,216,,2.25
12,15.38,0.53,14.38,0.94,15.33,1562925600,6,9.07,194,,3.07
13,15.71,0.36,13.69,0.88,15.71,1562929200,7,8.452,230,,4.11
14,16.72,0.53,13.69,0.82,16.72,1562932800,7,10.003,212,,4.6
15,15.33,0.53,13.69,0.9,15.33,1562936400,6,10.003,232,,3.57
16,15.74,0.53,14.38,0.92,15.71,1562940000,5,10.003,194,,2.91
17,17.79,0.53,15.38,0.86,17.71,1562943600,4,10.003,180,,2.6
18,17.65,0.75,14.31,0.81,17.65,1562947200,2,10.003,198,,2.91
19,17.48,0.53,15.69,0.9,17.34,1562950800,1,9.383,175,,2.45
20,14.95,0.75,13.0,0.88,14.95,1562954400,0,7.244,270,13.4,7.7
21,14.31,0.75,14.0,0.98,14.26,1562958000,0,10.003,229,,2.79
22,13.4,0.53,13.33,1.0,13.33,1562961600,0,8.452,255,9.3,2.26
23,14.04,0.75,13.69,0.98,14.03,1562965200,0,9.383,271,,4.16
