,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,15.12,0.67,10.18,0.72,partly-cloudy-night,343.8,0.0,0.0,,1009.5,Überwiegend bewölkt,15.12,1589061600,0,16.093,30,2.14,1.43
1,14.47,0.69,10.39,0.77,partly-cloudy-night,343.5,0.0,0.0,,1009.2,Überwiegend bewölkt,14.47,1589065200,0,16.093,34,1.71,1.39
2,13.88,0.69,10.6,0.81,partly-cloudy-night,344.2,0.0,0.0,,1008.8,Überwiegend bewölkt,13.88,1589068800,0,16.093,36,1.48,1.27
3,13.16,0.76,10.95,0.86,partly-cloudy-night,350.4,0.0,0.0,,1008.1,Überwiegend bewölkt,13.16,1589072400,0,16.093,60,1.45,0.87
4,12.59,0.88,10.72,0.88,cloudy,354.6,0.0,0.0,,1007.5,Stark bewölkt,12.59,1589076000,0,16.093,54,1.96,0.94
5,13.19,0.98,10.61,0.84,cloudy,357.6,0.0,0.0,,1007.0,Stark bewölkt,13.19,1589079600,0,16.093,56,2.3,0.96
6,13.44,1.0,10.52,0.82,cloudy,358.5,0.0062,0.05,rain,1007.3,Stark bewölkt,13.44,1589083200,0,16.093,80,2.2,0.93
7,13.9,1.0,10.67,0.81,cloudy,358.1,0.0351,0.07,rain,1006.9,Stark bewölkt,13.9,1589086800,0,16.093,109,1.95,0.72
8,14.43,0.98,10.57,0.78,cloudy,361.9,0.5328,0.24,rain,1007.0,Stark bewölkt,14.43,1589090400,1,9.299,180,0.65,0.41
9,14.83,0.97,10.98,0.78,cloudy,359.5,0.4463,0.22,rain,1006.9,Stark bewölkt,14.83,1589094000,1,12.454,174,1.1,0.51
10,15.43,0.95,11.72,0.79,cloudy,355.6,0.2372,0.16,rain,1006.8,Stark bewölkt,15.43,1589097600,2,16.093,185,1.96,0.74
11,16.27,0.94,12.48,0.78,cloudy,352.4,0.1097,0.08,rain,1006.5,Stark bewölkt,16.27,1589101200,3,16.093,199,2.76,1.04
12,17.9,0.95,12.85,0.72,cloudy,350.9,0.0475,0.04,rain,1006.1,Stark bewölkt,17.9,1589104800,3,16.093,209,3.4,1.25
13,19.91,0.92,12.62,0.63,cloudy,350.0,0.012,0.03,rain,1005.8,Stark bewölkt,19.91,1589108400,4,16.093,204,3.99,1.59
14,21.49,0.87,12.38,0.56,partly-cloudy-day,349.2,0.0,0.0,,1005.3,Überwiegend bewölkt,21.49,1589112000,4,16.093,190,4.45,1.83
15,22.76,0.71,12.36,0.52,partly-cloudy-day,338.9,0.0313,0.02,rain,1005.0,Überwiegend bewölkt,22.76,1589115600,4,16.093,134,3.79,1.62
16,23.37,0.52,12.39,0.5,partly-cloudy-day,338.1,0.0287,0.06,rain,1004.2,Leicht bewölkt,23.37,1589119200,4,16.093,301,4.44,1.35
17,23.3,0.4,12.72,0.51,partly-cloudy-day,337.5,0.04,0.06,rain,1003.6,Leicht bewölkt,23.3,1589122800,3,16.093,256,4.81,1.38
18,23.07,0.43,12.97,0.53,partly-cloudy-day,337.0,0.0571,0.07,rain,1003.4,Leicht bewölkt,23.07,1589126400,1,16.093,263,4.57,2.05
19,22.06,0.59,13.32,0.58,partly-cloudy-day,336.5,0.0732,0.08,rain,1003.2,Leicht bewölkt,22.06,1589130000,1,16.093,353,4.22,3.06
20,21.08,0.69,13.87,0.63,partly-cloudy-day,335.9,0.0716,0.09,rain,1003.3,Überwiegend bewölkt,21.08,1589133600,0,16.093,330,4.01,3.33
21,19.8,0.67,14.05,0.69,partly-cloudy-night,337.4,0.5421,0.16,rain,1003.7,Überwiegend bewölkt,19.8,1589137200,0,11.204,340,4.62,3.02
22,18.78,0.59,13.89,0.73,partly-cloudy-night,336.4,0.2931,0.09,rain,1003.9,Leicht bewölkt,18.78,1589140800,0,16.093,354,5.54,2.65
23,17.82,0.56,13.87,0.78,partly-cloudy-night,335.4,0.1579,0.07,rain,1004.0,Leicht bewölkt,17.82,1589144400,0,16.093,6,6.6,2.59
