,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windSpeed
0,11.22,0.75,5.41,0.67,11.22,1567807200,0,10.003,287,1.5
1,11.22,0.75,5.41,0.67,11.22,1567810800,0,10.003,251,0.87
2,11.39,0.44,5.41,0.67,11.39,1567814400,0,10.003,240,0.62
3,10.98,0.0,5.41,0.69,10.98,1567818000,0,10.003,191,0.87
4,11.98,0.0,5.41,0.64,11.98,1567821600,0,10.003,258,1.5
5,11.39,0.0,6.0,0.69,11.39,1567825200,0,10.003,221,0.41
6,11.98,0.0,6.41,0.69,11.98,1567828800,0,10.003,249,1.5
7,11.39,0.0,6.41,0.71,11.39,1567832400,0,10.003,238,2.6
8,12.4,0.44,6.99,0.7,12.4,1567836000,0,10.003,221,2.15
9,12.4,0.29,8.59,0.78,12.4,1567839600,1,10.003,239,1.5
10,11.81,0.18,9.99,0.89,11.81,1567843200,2,10.003,230,1.85
11,12.22,0.44,10.41,0.89,12.22,1567846800,3,7.657,251,0.87
12,12.22,0.67,10.99,0.92,12.22,1567850400,4,10.003,191,2.3
13,12.64,0.85,10.99,0.9,12.64,1567854000,4,10.003,203,1.85
14,13.23,0.9,12.0,0.92,13.23,1567857600,4,10.003,209,2.81
15,13.23,0.9,11.58,0.9,13.23,1567861200,3,10.003,217,2.93
16,14.22,0.9,12.17,0.87,14.22,1567864800,2,10.003,180,1.28
17,14.64,0.9,11.58,0.82,14.64,1567868400,2,10.003,200,1.08
18,15.22,0.77,10.99,0.76,15.22,1567872000,1,10.003,191,0.62
19,15.22,0.77,11.41,0.78,15.22,1567875600,0,10.003,210,0.62
20,14.22,0.9,12.0,0.86,14.22,1567879200,0,10.003,191,0.62
21,13.81,0.19,12.0,0.89,13.81,1567882800,0,10.003,200,0.62
22,13.81,0.77,12.0,0.89,13.81,1567886400,0,10.003,230,0.41
23,13.23,0.44,12.59,0.96,13.23,1567890000,0,10.003,330,0.62
