,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipAccumulation,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,-6.73,0.95,-4.49,0.83,fog,386.3,0.2672,0.2405,0.19,snow,1014.9,Nebel,-1.98,1611615600,0,0.547,272,8.98,4.01
1,-6.37,0.94,-4.44,0.83,fog,376.0,0.1965,0.1764,0.06,snow,1015.7,Nebel,-2.01,1611619200,0,0.443,280,8.25,3.52
2,-6.77,0.96,-4.9,0.82,fog,370.7,0.1149,0.1012,0.04,snow,1016.4,Nebel,-2.25,1611622800,0,1.561,302,8.58,3.64
3,-7.47,0.9,-5.46,0.81,cloudy,366.3,0.0713,0.0614,0.03,snow,1017.1,Stark bewölkt,-2.58,1611626400,0,14.736,230,9.43,4.02
4,-8.46,0.98,-6.04,0.8,cloudy,360.3,0.0447,0.037,0.03,snow,1017.5,Stark bewölkt,-3.12,1611630000,0,9.634,263,11.04,4.47
5,-8.77,1.0,-6.03,0.8,cloudy,355.9,0.0568,0.0472,0.03,snow,1018.0,Stark bewölkt,-3.11,1611633600,0,16.093,293,11.54,4.94
6,-8.95,1.0,-5.91,0.81,cloudy,355.6,0.0989,0.0821,0.04,snow,1018.1,Stark bewölkt,-3.15,1611637200,0,10.599,229,11.78,5.15
7,-9.47,0.95,-5.75,0.81,fog,358.3,0.1749,0.1476,0.05,snow,1018.7,Nebel,-2.96,1611640800,0,1.197,254,14.17,6.51
8,-9.42,0.93,-5.57,0.81,fog,356.8,0.2659,0.2275,0.07,snow,1018.7,Nebel,-2.79,1611644400,0,2.113,252,14.43,6.84
9,-9.22,0.92,-5.53,0.8,cloudy,355.7,0.3297,0.2857,0.09,snow,1019.1,Stark bewölkt,-2.62,1611648000,0,4.871,271,14.23,6.87
10,-8.96,0.94,-5.33,0.8,fog,353.5,0.3831,0.3399,0.13,snow,1019.3,Nebel,-2.3,1611651600,0,1.657,265,13.81,7.2
11,-8.33,0.95,-5.18,0.78,fog,351.1,0.3341,0.308,0.18,snow,1019.6,Nebel,-1.79,1611655200,1,2.993,261,13.41,7.26
12,-7.35,0.97,-4.94,0.75,cloudy,348.9,0.2548,0.2488,0.23,snow,1020.0,Stark bewölkt,-1.07,1611658800,1,3.498,271,12.87,7.14
13,-6.4,0.96,-4.6,0.73,cloudy,352.0,0.1758,0.1824,0.22,snow,1020.2,Stark bewölkt,-0.4,1611662400,1,3.609,271,12.47,6.95
14,-6.38,0.95,-4.72,0.73,cloudy,352.5,0.1122,0.1152,0.16,snow,1020.3,Stark bewölkt,-0.49,1611666000,1,4.94,301,12.06,6.62
15,-5.34,0.97,-4.57,0.71,cloudy,353.5,0.0761,0.0838,0.16,snow,1020.1,Stark bewölkt,0.1,1611669600,0,6.58,249,11.4,6.04
16,-6.46,0.92,-4.49,0.78,cloudy,348.8,0.0752,0.0734,0.15,snow,1020.5,Stark bewölkt,-1.12,1611673200,0,10.066,271,10.68,5.25
17,-6.7,0.91,-4.59,0.79,cloudy,346.5,0.0674,0.0639,0.1,snow,1021.0,Stark bewölkt,-1.49,1611676800,0,10.321,260,10.58,4.87
18,-6.69,0.9,-4.59,0.8,cloudy,343.4,0.0697,0.0653,0.05,snow,1021.7,Stark bewölkt,-1.66,1611680400,0,9.215,291,10.36,4.51
19,-6.42,0.91,-4.42,0.81,cloudy,344.5,0.0601,0.0569,0.04,snow,1022.4,Stark bewölkt,-1.56,1611684000,0,9.694,260,10.17,4.3
20,-6.29,0.91,-4.54,0.81,cloudy,342.4,0.064,0.0599,0.04,snow,1022.4,Stark bewölkt,-1.68,1611687600,0,11.337,282,10.05,3.93
21,-6.22,0.93,-4.61,0.81,cloudy,340.7,0.0345,0.032,0.03,snow,1022.7,Stark bewölkt,-1.74,1611691200,0,11.385,224,9.98,3.73
22,-6.07,0.93,-4.58,0.81,cloudy,337.6,0.036,0.0334,0.02,snow,1022.9,Stark bewölkt,-1.73,1611694800,0,16.093,251,9.97,3.55
23,-6.11,0.92,-4.67,0.81,cloudy,336.1,0.0268,0.0244,0.02,snow,1022.9,Stark bewölkt,-1.9,1611698400,0,16.093,251,9.73,3.37
