,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,12.64,0.75,12.64,1.0,12.64,1569621600,0,10.003,215,,2.0
1,12.64,0.75,12.0,0.96,12.64,1569625200,0,10.003,191,,1.84
2,11.26,0.75,11.26,1.0,11.26,1569628800,0,10.003,230,,2.09
3,11.96,1.0,11.96,1.0,11.96,1569632400,0,10.003,200,,2.6
4,11.96,0.44,11.96,1.0,11.96,1569636000,0,10.003,243,,1.84
5,11.96,0.36,11.96,1.0,11.96,1569639600,0,10.003,235,,2.0
6,11.96,0.75,11.96,1.0,11.96,1569643200,0,10.003,270,,3.75
7,11.96,0.53,11.96,1.0,11.96,1569646800,0,10.003,200,,2.87
8,11.96,0.36,10.99,0.94,11.96,1569650400,0,10.003,209,,2.72
9,11.96,0.36,11.69,0.98,11.96,1569654000,1,10.003,240,,3.25
10,12.64,0.27,11.69,0.94,12.64,1569657600,1,10.003,214,,4.06
11,13.64,0.27,10.68,0.82,13.64,1569661200,3,10.003,221,,5.1
12,15.33,0.53,9.99,0.7,15.33,1569664800,3,10.003,229,,5.22
13,15.64,0.53,9.69,0.68,15.64,1569668400,3,10.003,246,,6.06
14,15.64,0.36,9.69,0.68,15.64,1569672000,4,10.003,240,,5.9
15,16.64,0.36,8.38,0.58,16.64,1569675600,3,10.003,256,,7.04
16,16.64,0.36,8.69,0.59,16.64,1569679200,2,10.003,251,10.8,5.86
17,15.95,0.36,8.69,0.62,15.95,1569682800,1,10.003,240,,5.22
18,16.26,0.36,9.69,0.65,16.26,1569686400,0,10.003,238,,3.07
19,15.95,0.36,8.69,0.62,15.95,1569690000,0,10.003,244,,2.25
20,13.95,0.36,9.38,0.74,13.95,1569693600,0,10.003,226,,1.84
21,12.95,0.36,9.0,0.77,12.95,1569697200,0,10.003,226,,1.69
22,11.26,0.36,9.0,0.86,11.26,1569700800,0,10.003,222,,1.84
23,10.57,0.36,9.0,0.9,10.57,1569704400,0,10.003,270,,2.09
