,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windSpeed
0,18.89,0.19,12.69,0.67,18.89,1559685600,0,10.003,101,3.1
1,18.33,0.44,13.38,0.73,18.33,1559689200,0,10.003,20,1.0
2,17.34,0.44,13.38,0.78,17.34,1559692800,0,10.003,277,1.19
3,17.71,0.44,13.38,0.76,17.71,1559696400,0,10.003,300,3.94
4,16.33,0.44,12.69,0.79,16.33,1559700000,0,10.003,326,1.5
5,15.64,0.44,12.69,0.83,15.64,1559703600,0,10.003,251,2.09
6,14.64,0.19,12.0,0.84,14.64,1559707200,0,10.003,300,2.41
7,16.02,0.19,13.38,0.84,16.02,1559710800,0,10.003,210,1.5
8,19.41,0.19,13.69,0.7,19.41,1559714400,1,10.003,221,1.0
9,20.71,0.19,14.38,0.67,20.71,1559718000,3,10.003,251,2.09
10,22.71,0.19,13.31,0.55,22.71,1559721600,4,10.003,101,1.5
11,25.02,0.19,13.31,0.48,25.02,1559725200,6,10.003,85,2.11
12,25.33,0.19,12.62,0.45,25.33,1559728800,8,10.003,44,1.69
13,24.57,0.19,13.38,0.5,24.57,1559732400,8,10.003,332,3.64
14,25.95,0.19,14.38,0.49,25.95,1559736000,8,10.003,12,3.75
15,26.26,0.19,13.07,0.44,26.26,1559739600,7,10.003,14,3.91
16,26.96,0.19,12.38,0.4,26.96,1559743200,6,10.003,25,4.6
17,27.96,0.19,13.38,0.41,27.96,1559746800,4,10.003,32,4.26
18,27.96,0.19,13.07,0.4,27.96,1559750400,2,10.003,61,4.06
19,27.65,0.19,10.99,0.35,27.65,1559754000,1,10.003,77,5.51
20,25.95,0.19,11.38,0.4,25.95,1559757600,0,10.003,77,4.75
21,24.26,0.19,13.07,0.5,24.26,1559761200,0,10.003,86,3.41
22,22.26,0.75,12.0,0.52,22.26,1559764800,0,10.003,101,2.56
23,20.89,0.44,11.69,0.56,20.89,1559768400,0,10.003,104,2.46
