,apparentTemperature,cloudCover,dewPoint,humidity,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,16.64,0.19,12.69,0.77,16.64,1564783200,0,9.383,4,,2.95
1,15.64,0.19,12.38,0.81,15.64,1564786800,0,9.07,117,,1.35
2,14.95,,12.69,0.86,14.95,1564790400,0,9.07,210,,1.0
3,14.64,,12.69,0.88,14.64,1564794000,0,9.383,297,,1.5
4,13.95,,12.0,0.88,13.95,1564797600,0,9.383,250,,1.16
5,13.64,,12.69,0.94,13.64,1564801200,0,9.383,225,,1.84
6,12.95,0.19,12.0,0.94,12.95,1564804800,0,9.383,230,,3.1
7,13.64,0.19,12.0,0.9,13.64,1564808400,0,10.003,215,,2.15
8,15.33,0.19,12.0,0.81,15.33,1564812000,1,10.003,230,,3.1
9,16.33,0.19,12.0,0.76,16.33,1564815600,2,10.003,243,,3.25
10,16.95,0.58,12.0,0.73,16.95,1564819200,3,10.003,254,,3.41
11,18.65,0.36,12.69,0.68,18.65,1564822800,5,10.003,275,,5.51
12,18.96,0.27,11.69,0.63,18.96,1564826400,6,10.003,272,,5.55
13,19.27,0.65,12.38,0.64,19.27,1564830000,6,10.003,287,,5.55
14,18.96,0.65,11.69,0.63,18.96,1564833600,6,10.003,283,,7.43
15,19.65,0.53,12.07,0.62,19.65,1564837200,5,10.003,292,10.3,5.71
16,20.65,0.53,11.69,0.56,20.65,1564840800,4,10.003,319,,3.07
17,21.02,0.53,11.31,0.54,21.02,1564844400,3,10.003,338,8.21,3.44
18,21.02,0.36,10.99,0.53,21.02,1564848000,2,10.003,333,,3.79
19,21.02,0.27,10.99,0.53,21.02,1564851600,1,10.003,337,,2.76
20,20.65,0.19,10.99,0.54,20.65,1564855200,0,10.003,307,,2.79
21,19.34,0.19,11.69,0.61,19.34,1564858800,0,9.383,12,,1.69
22,17.34,0.19,10.99,0.66,17.34,1564862400,0,8.763,328,,1.35
